village,taluk,district,census_code,lat,lng,name_ta,place_type
Akkamalai Estate,,Coimbatore,,10.32862,77.00993,,hamlet
Alangadavu,,Coimbatore,,10.63764,76.89392,ஆலங்கடவு,village
Alangombu,,Coimbatore,,11.31021,76.99480,ஆலாங்கொம்பு,village
Alanthurai,,Coimbatore,,10.95412,76.79053,ஆலாந்துறை,village
Aliyar,,Coimbatore,,10.48833,76.96987,ஆழியாறு,village
Ambarampalayam,,Coimbatore,,10.63689,76.94974,அம்பரம்பாளையம்,village
Amichiya Gavundanoor,,Coimbatore,,10.54443,77.06669,அமிசியா கவுண்டணூர்,village
Anaikatti,,Coimbatore,,11.11612,76.74804,ஆனைகட்டி,village
Anaimalai,,Coimbatore,,10.58230,76.93432,ஆனைமலை,town
Anaimudi Estate,,Coimbatore,,10.26746,76.93563,,hamlet
Andipalayam,,Coimbatore,,10.80100,77.10119,ஆண்டிபாளையம்,village
Angalakurichi,,Coimbatore,,10.52836,76.99448,அங்கலக்குறிச்சி,village
Annadhasampalayam,,Coimbatore,,11.33034,77.02914,,village
Annur,,Coimbatore,,11.23297,77.10352,அன்னூர்,town
Arasampalayam,,Coimbatore,,10.84691,77.04329,அரசம்பாளையம்,village
Arasur,,Coimbatore,,10.55461,77.02859,அரசூர்,village
Arisipalayam,,Coimbatore,,10.86574,76.96945,அரிசிபாளையம்,village
Arthanaripalayam,,Coimbatore,,10.53728,77.05713,அர்த்தனாரிபாளையம்,village
Athikadavu,,Coimbatore,,11.21361,76.75578,அத்திக்கடவு,village
Athipalayam,,Coimbatore,,11.12914,76.98073,அத்திபாளையம் சாலை,village
Athupollachi,,Coimbatore,,10.64939,76.91883,ஆத்துப்பொள்ளாச்சி,village
Attakatty,,Coimbatore,,10.44402,76.98590,அட்டகட்டி,village
Bellapalayam,,Coimbatore,,11.29794,77.01786,பெள்ளேபாளையம்,village
Bodipalayam,,Coimbatore,,10.90133,76.97671,போடிபாளையம்,village
Bujanganur,,Coimbatore,,11.22647,76.89128,புஜங்கனூர்,village
Chemmanampathy,,Coimbatore,,10.57451,76.83693,செம்மனாம்பதி,village
Chenniyur,,Coimbatore,,10.76433,76.96371,சென்னியூர்,village
Cherippalayam,,Coimbatore,,10.78993,77.09052,சேரிப்பாளையம்,village
Chettipalayam,,Coimbatore,,10.91383,77.03747,செட்டிபாளையம்,village
Chettipudur,,Coimbatore,,10.76469,77.09897,செட்டிபுதூர்,village
Chinna Thadagam,,Coimbatore,,11.08158,76.86522,சின்ன தடாகம்,village
Chinnakallipatti,,Coimbatore,,11.38566,77.10933,சின்னகள்ளிபட்டி,village
Cinkona,,Coimbatore,,10.28352,76.97897,சின்கோனா,village
Coimbatore,,Coimbatore,,11.00181,76.96284,கோயம்புத்தூர்,city
Dayanur,,Coimbatore,,11.21050,76.87025,தாயனூர்,village
Devambadi,,Coimbatore,,10.70745,76.94075,தேவம்பாடி,village
Devanampalayam,,Coimbatore,,10.76883,77.07633,தேவனாம்பாளையம்,village
Devarayapuram,,Coimbatore,,10.99621,76.81509,தேவராயபுரம்,village
Devipattinam,,Coimbatore,,10.54393,76.90813,தேவிபட்டினம்,village
Dhaliyur,,Coimbatore,,11.00925,76.84846,தளியூர்,village
Eachanari,,Coimbatore,,10.92523,76.98200,ஈச்சனாரி,village
Ettimadai,,Coimbatore,,10.89068,76.90829,எட்டிமடை,village
Gajamudi Estate,,Coimbatore,,10.29811,76.92447,,hamlet
Ganapathipalayam,,Coimbatore,,10.62089,76.82843,கணபதிபாளையம்,village
Gomangalam,,Coimbatore,,10.62333,77.15063,கோமங்கலம்,village
Govindanaikenpalayam,,Coimbatore,,11.12817,76.97630,கோவிந்தநாயக்கன்பாளையம்,village
Govindanur,,Coimbatore,,10.72973,76.93733,கோவிந்தனூர்,village
High Forest Estate,,Coimbatore,,10.25069,76.91601,,hamlet
Illuppanatham,,Coimbatore,,11.33093,77.01996,இலுப்பநத்தம்,village
Ilupanatham,,Coimbatore,,11.32917,77.05903,,village
Irumborai,,Coimbatore,,11.34734,77.09535,இரும்பொறை,village
Irutupallam,,Coimbatore,,10.94502,76.77045,இருட்டுப்பள்ளம்,village
Iyerpaddy,,Coimbatore,,10.36754,76.99211,ஐய்யர்பாடி,village
Iyerpaddy Estate,,Coimbatore,,10.36292,76.98360,,hamlet
J. Krishnapuram,,Coimbatore,,10.80555,77.23869,ஜே.கிருஷ்ணாபுரம்,village
Jadayampalayam,,Coimbatore,,11.29559,76.98023,,village
Jakkarpalayam,,Coimbatore,,10.78489,77.14260,ஜக்கார்பாளையம்,village
Jalathur,,Coimbatore,,10.69071,76.93874,ஜலத்தூர்,village
Kadampadi,,Coimbatore,,11.03324,77.16067,காடம்பாடி,village
Kaduvettipalayam,,Coimbatore,,11.17820,77.14327,காடுவெட்டிபாளையம்,village
Kakkadavu,,Coimbatore,,10.74250,77.06075,கக்கடவு,village
Kalaiyar Estate,,Coimbatore,,10.28494,76.95592,,hamlet
Kalangal,,Coimbatore,,10.99290,77.13775,கலங்கல்,village
Kalattiyur,,Coimbatore,,11.22569,76.97441,காளட்டியூர்,village
Kaliyapuram,,Coimbatore,,10.87237,76.91562,காளியாபுரம்,village
Kallapalayam,,Coimbatore,,10.95241,77.08063,கல்லாபாளையம்,village
Kallar,,Coimbatore,,11.33780,76.88250,கல்லார்,village
Kallipalayam,,Coimbatore,,11.11603,77.06384,கள்ளிபாளையம்,village
Kambalapatti,,Coimbatore,,10.55253,77.03669,கம்பாலபட்டி,village
Kammalapatti,,Coimbatore,,10.84934,77.24652,கம்மாளபட்டி,village
Kandhe Gounden Chavadi,,Coimbatore,,10.87646,76.89820,கந்தே கவுண்டன் சாவடி,village
Kaniyur,,Coimbatore,,11.09461,77.15532,கணியூர்,village
Kannamanaickanur,,Coimbatore,,10.81672,76.94506,கண்ணமநாயக்கனூர்,village
Kannampalayam,,Coimbatore,,10.99509,77.09846,கண்ணம்பாளையம்,village
Kappalankarai,,Coimbatore,,10.77362,77.09558,கப்பளாங்கரை,village
Kappinipalayam,,Coimbatore,,10.79696,77.11959,கப்பினிபாளையம்,village
Karacheri,,Coimbatore,,10.86974,77.06209,காரச்சேரி,village
Karamadai,,Coimbatore,,11.23932,76.96008,காரமடை,town
Karayampalayam,,Coimbatore,,11.06516,77.06382,கரையம்பாளையம்,village
Kariampalayam,,Coimbatore,,11.20190,77.07785,கரியம்பாளையம்,village
Karichipalayam,,Coimbatore,,11.14568,77.12450,கரிச்சிபாளையம்,village
Kariyanur,,Coimbatore,,11.32606,77.07637,கரியனுர்,village
Karumalai Estate,,Coimbatore,,10.33637,76.99425,,hamlet
Karumathampatti,,Coimbatore,,11.10765,77.17709,கருமத்தம்பட்டி,town
Karuppampalayam,,Coimbatore,,10.63131,76.98197,கருப்பம்பாளையம்,village
Kasikavundanpudur,,Coimbatore,,11.00390,77.14434,காசிகவுண்டன்புதூர்,village
Kattampatti,,Coimbatore,,10.80836,77.14458,காட்டம்பட்டி,village
Kedimedu,,Coimbatore,,10.62205,77.13215,கெடிமேடு,village
Keeranatham,,Coimbatore,,11.11415,76.99426,கீரனத்தம்,village
Kembanur,,Coimbatore,,11.24274,76.90017,கெம்பனூர்,village
Ketchan kinaru,,Coimbatore,,11.25050,77.02584,,village
Kilavanputhur,,Coimbatore,,10.59097,76.84437,கிழவன்புதூர்,village
Kinathukadavu,,Coimbatore,,10.82212,77.01790,கிணத்துக்கடவு,town
Kittampalayam,,Coimbatore,,11.26315,76.92246,கிட்டாம்பாளையம்,village
Kolarpatti,,Coimbatore,,10.62482,77.11208,கோலார்பட்டி,village
Kondampatti,,Coimbatore,,10.82982,77.05500,கொண்டம்பட்டி,village
Korangumudi,,Coimbatore,,10.31203,76.89828,கொரங்குமுடி,village
Kottur-Malayandipattinam,,Coimbatore,,10.53305,76.97813,கோட்டூர்-மலையாண்டிபட்டினம்,village
Kovilpalaiyam,,Coimbatore,,10.74458,77.02367,கோவில்பாளையம்,village
Krishnarayapuram,,Coimbatore,,10.72078,77.06095,கிருஷ்ணராயபுரம்,village
Kulathupalayam,,Coimbatore,,10.99600,76.84654,குளத்துப்பாளையம்,village
Kulathur,,Coimbatore,,11.04885,77.08192,குளத்தூர்,village
Kullakkapalayam,,Coimbatore,,10.71122,77.03897,குள்ளக்காபாளையம்,village
Kumarapalayam,,Coimbatore,,11.21524,77.10320,குமாரபாளையம்,village
Kumittipathi,,Coimbatore,,10.83421,76.89023,குமிட்டிபதி,village
Kunnathur,,Coimbatore,,11.15223,77.04823,குன்னத்தூர்,village
Kurumbanur,,Coimbatore,,11.28231,76.92716,குரும்பனுர்,village
Kurumbapalayam,,Coimbatore,,10.69992,77.03396,குறும்பபாளையம்,village
Kurunallipalayam,,Coimbatore,,10.81178,77.08223,குருநல்லிபாளையம்,village
Kuttygoundenpathy,,Coimbatore,,10.83327,76.90849,குட்டிகவுண்டன்பதி,village
Lower Paralai Estate,,Coimbatore,,10.35477,76.96506,,hamlet
Madappur,,Coimbatore,,11.06832,77.15941,மாதப்பூர்,village
Madhampatti,,Coimbatore,,10.97284,76.86000,மாதம்பட்டி,village
Madukkarai,,Coimbatore,,10.91483,76.95348,மதுக்கரை,town
Malumachampatti,,Coimbatore,,10.90438,76.99883,மலுமாச்சம்பட்டி,village
Mangarai,,Coimbatore,,11.08008,76.83637,மாங்கரை,village
Mannur,,Coimbatore,,10.69133,76.90679,மண்ணூர்,village
Mappillai Goundenpudur,,Coimbatore,,10.72436,76.91577,மாப்பிள்ளை கௌண்டன்புதூர்,village
Marudur,,Coimbatore,,11.23467,76.90657,மருதூர்,village
Meenakshipuram,,Coimbatore,,10.63322,76.86668,மீனாட்சிபுரம்,village
Mettupalayam,,Coimbatore,,11.30594,76.93565,மேட்டுப்பாளையம்,town
Molapalayam,,Coimbatore,,11.11556,77.07900,மோளபாளையம்,village
Moottampalayam,,Coimbatore,,10.73468,77.08822,மூட்டாம்பாளையம்,village
Mothepalayam,,Coimbatore,,11.30832,76.97504,மோத்தேபாளையம்,village
Mudis,,Coimbatore,,10.27690,76.92684,,village
Muduthurai,,Coimbatore,,11.35160,77.13151,முடுதுறை,village
Mugasi Semsampatti,,Coimbatore,,11.23729,77.03826,முகாசி செம்சம்பட்டி,village
Mullangadu,,Coimbatore,,10.95581,76.73673,,hamlet
Muthalipalayam,,Coimbatore,,11.07587,77.09920,முதலிபாளையம்,village
Muthugoundanur,,Coimbatore,,10.79105,76.93926,முத்துகவுண்டனூர்,village
Muthugoundenpudur,,Coimbatore,,11.04680,77.11975,முத்துகவுண்டன்புதூர்,village
Muthukallur,,Coimbatore,,11.20640,76.82641,முத்துக்கல்லூர்,village
Muttathuvayal,,Coimbatore,,10.96237,76.74409,முட்டத்துவயல்,village
Mylampatti,,Coimbatore,,11.07923,77.06402,மயிலம்பட்டி,village
Myleripalayam,,Coimbatore,,10.87025,77.02286,மயிலேறிபாளையம்,village
Nachipalayam,,Coimbatore,,10.85912,76.96213,நாச்சிபாளையம்,village
Nallamudi,,Coimbatore,,10.25426,76.92535,,hamlet
Nallattipalayam,,Coimbatore,,10.78098,77.01630,நல்லட்டிபாளையம்,village
Nalligoundanpalayam,,Coimbatore,,10.69719,76.96903,நல்லிகவுண்டன்பாளையம்,village
Nallur,,Coimbatore,,10.56610,77.07872,நல்லூர்,village
Nanjundapuram,,Coimbatore,,10.97662,76.99519,நஞ்சுண்டாபுரம்,village
Narasipuram,,Coimbatore,,10.98869,76.77322,நரசிபுரம்,village
Narikkalpathy,,Coimbatore,,10.48824,76.91700,நரிக்கல்பதி,village
Navakkarai,,Coimbatore,,10.86510,76.87582,நவக்கரை,village
Nellithurai,,Coimbatore,,11.28552,76.88581,நெல்லிதுறை,village
Nimed Estate,,Coimbatore,,10.26467,76.90408,,hamlet
