village,taluk,district,census_code,lat,lng,name_ta,place_type
Agaramseegur,,Cuddalore,,11.39466,79.10457,அகரம் சிகூர்,village
Alapakkam,,Cuddalore,,11.60179,79.72016,ஆலப்பாக்கம்,village
Allpettai,,Cuddalore,,11.76136,79.76628,,village
Anandadhi Nagar,,Cuddalore,,11.76645,79.76679,,village
Anantha Kaadai,,Cuddalore,,11.68338,79.74442,,village
Annapan Pettai,,Cuddalore,,11.57356,79.75544,,village
Ariyakoshts̆rī,,Cuddalore,,11.56889,79.74125,,village
Ayangudi,,Cuddalore,,11.21739,79.53772,ஆயங்குடி,village
Ayyampettai,,Cuddalore,,11.58686,79.75523,அய்யம்பேட்டை,village
B.Mutlur,,Cuddalore,,11.47069,79.70753,பி.முட்லூர்,village
Bhuvanagiri,,Cuddalore,,11.44142,79.64884,புவனகிரி,village
C.Mutlur,,Cuddalore,,11.44366,79.70906,சி.முட்லூர்,village
Chidambaram,,Cuddalore,,11.39948,79.69094,சிதம்பரம்,town
Chinnakanganankuppam,,Cuddalore,,11.78610,79.76773,சின்னகங்கனான்குப்பம்,village
Chinnandikuli,,Cuddalore,,11.54977,79.74164,,village
Chinnur Puthupettai,,Cuddalore,,11.51577,79.76488,சின்னூர் புதுப்பேட்டை,village
Chitiraipettai,,Cuddalore,,11.63813,79.76170,சித்திரைப்பேட்டை,village
Cuddalore,,Cuddalore,,11.75643,79.76346,கடலூர்,city
Cuddalore Old Town,,Cuddalore,,11.71572,79.77113,கடலூர்‌ பழைய நகரம்,town
Devanampattanam,,Cuddalore,,11.74817,79.78528,தேவனாம்பட்டினம்,village
Irulankuppam,,Cuddalore,,11.75278,79.57548,இருளன் குப்பம்,village
K. Puthur,,Cuddalore,,11.69034,79.74224,,hamlet
K.Panchankuppam,,Cuddalore,,11.52768,79.74101,,village
Kadampuliyur,,Cuddalore,,11.70135,79.55118,காடாம்புலியூர்,village
Kandarakottai,,Cuddalore,,11.82871,79.55624,கண்டரக்கோட்டை,village
Kannarapettai,,Cuddalore,,11.69476,79.74163,கண்ணாரப்பேட்டை,village
Karaikkadu,,Cuddalore,,11.67898,79.75536,காரைக்காடு,town
Karuppattankurichi,,Cuddalore,,11.36911,79.11367,,hamlet
Karuveppilankurichi,,Cuddalore,,11.46526,79.32196,கருவேப்பிலாங்குறிச்சி,village
Kattumannarkoil,,Cuddalore,,11.27478,79.55251,காட்டுமன்னார்கோயில்,town
Keezhachavadi,,Cuddalore,,11.43960,79.75552,கீழச்சாவடி,village
Keezhkalpoondi,,Cuddalore,,11.42875,78.95288,கீழக்கல்பூண்டி,village
Kezha Kadambur,,Cuddalore,,11.24222,79.53520,கீழக்கடம்பூர்,village
Killai,,Cuddalore,,11.44780,79.76800,கிள்ளை,village
Komaratchi,,Cuddalore,,11.31105,79.62803,குமராட்சி,village
Koppadi,,Cuddalore,,11.32403,79.62900,கோப்பாடி,village
Kudikkadu,,Cuddalore,,11.66258,79.74742,குடிக்காடு,village
Kullanchavadi,,Cuddalore,,11.62808,79.66922,குள்ளஞ்சாவடி,village
Kumalankulam,,Cuddalore,,11.72906,79.64360,,hamlet
Kumarapettai,,Cuddalore,,11.55664,79.75678,குமாரப்பேட்டை,hamlet
Kurinjippadi,,Cuddalore,,11.56674,79.59447,குறிஞ்சிப்பாடி,village
Kurungudi,,Cuddalore,,11.25924,79.53145,குருங்குடி,village
Kuttiyankuppam,,Cuddalore,,11.82610,79.71138,குட்டியாங்குப்பம்,village
Madava Pallam,,Cuddalore,,11.56169,79.75675,,hamlet
Mangalampet,,Cuddalore,,11.63386,79.27912,மங்கலம்பேட்டை,village
Mannargorai,,Cuddalore,,11.34690,79.43398,,hamlet
Mannargudi,,Cuddalore,,11.27550,79.54770,மன்னார்குடி,village
Mela Kadambur,,Cuddalore,,11.23685,79.52602,,hamlet
Mudasal Odai,,Cuddalore,,11.48293,79.77265,,village
Muttam,,Cuddalore,,11.22000,79.58139,,hamlet
Muzhukkuthurai,,Cuddalore,,11.46639,79.77851,,village
NGO Nagar,,Cuddalore,,11.76521,79.77500,,village
Naanamedu,,Cuddalore,,11.77921,79.78200,,hamlet
Nanjalur,,Cuddalore,,11.36769,79.65588,நாஞ்சலூர்,village
Natham,,Cuddalore,,11.79359,79.47906,நத்தம்,village
Naththam,,Cuddalore,,11.79406,79.47810,நத்தம்,village
Nattarmangalam,,Cuddalore,,11.27645,79.53505,நட்டார்மங்கலம்,village
Nayakkar Pettai,,Cuddalore,,11.61351,79.75682,நாயக்கர்‌ பேட்டை,hamlet
Nellikkuppam,,Cuddalore,,11.77561,79.67164,நெல்லிக்குப்பம்,town
Neyveli,,Cuddalore,,11.53599,79.48244,நெய்வேலி,town
Nochikadu,,Cuddalore,,11.65226,79.75134,நொச்சிக்காடு,village
Pachayankuppam,,Cuddalore,,11.70063,79.76034,பச்சயங்குப்பம்,village
Pachchyankuppam,,Cuddalore,,11.69300,79.75039,பச்சையாங்குப்பம்,village
Pakkrimanyam,,Cuddalore,,11.32962,79.45414,,hamlet
Palur,,Cuddalore,,11.75641,79.62280,பாலூர்,village
Panruti,,Cuddalore,,11.77228,79.55190,பண்ருட்டி,town
Parangipettai,,Cuddalore,,11.49057,79.75690,பரங்கிப்பேட்டை,town
Pennadam,,Cuddalore,,11.40281,79.24167,பெண்ணாடம்,town
Periakottagam,,Cuddalore,,11.24313,79.54069,பெரியகோட்டகம்,village
Periya Karaikkadu,,Cuddalore,,11.66990,79.74175,பெரிய காரைக்காடு,hamlet
Periyakanganankuppam,,Cuddalore,,11.77675,79.76535,பெரியகங்கனாங்குப்பம்,village
Periyakattupalayam,,Cuddalore,,11.85189,79.79581,பெரியகாட்டுப் பாளையம்,village
Periyakuppam,,Cuddalore,,11.60661,79.75752,பெரியகுப்பம்,village
Periyandikuli,,Cuddalore,,11.55895,79.74132,,village
Pichavaram,,Cuddalore,,11.43311,79.78071,பிச்சாவரம்,village
Pudukuppam,,Cuddalore,,11.52592,79.76100,புதுக்குப்பம்,village
Raasapettai,,Cuddalore,,11.68278,79.77058,ராசாபேட்டை,village
Reddiyar Pettai,,Cuddalore,,11.57685,79.75561,ரெட்டியார்‌பேட்டை,village
Saamiyarpettai,,Cuddalore,,11.54990,79.75692,சாமியார்பேட்டை,village
Sangolikuppam,,Cuddalore,,11.68857,79.77183,சங்கொலிகுப்பம்,village
Sathipattu,,Cuddalore,,11.74064,79.58094,சாத்திப்பட்டு,village
Sedappalayam,,Cuddalore,,11.67674,79.74272,,village
Sethiathoppu,,Cuddalore,,11.43629,79.54231,சேத்தியாத்தோப்பு,town
Siluvaiparam,,Cuddalore,,11.42821,79.66614,,hamlet
Sinavarpuram,,Cuddalore,,11.85098,79.80279,,village
Singaratope,,Cuddalore,,11.71882,79.77824,சிங்காரத்தோப்பு,village
Sirugramam,,Cuddalore,,11.79321,79.45469,சிறுகிராமம்,village
Sivayam,,Cuddalore,,11.36104,79.65004,சிவாயம்,village
Sonankapum,,Cuddalore,,11.72245,79.78017,,village
Srimushnam,,Cuddalore,,11.40136,79.40459,ஸ்ரீமுஷ்ணம்,town
Subauppaladi,,Cuddalore,,11.78052,79.79323,,hamlet
TS Pettai,,Cuddalore,,11.41035,79.79489,,hamlet
Ta Mannam Pettai,,Cuddalore,,11.61958,79.75874,,hamlet
Talanguda,,Cuddalore,,11.76695,79.78926,தாழங்குடா,hamlet
Tholudur,,Cuddalore,,11.40468,79.00947,தொழுதூர்,village
Thukkanambakkam,,Cuddalore,,11.84202,79.70553,தூக்கணம்பாக்கம்,village
Tittakudi,,Cuddalore,,11.40217,79.12107,திட்டக்குடி,town
Ulleripet,,Cuddalore,,11.81997,79.72749,உள்ளேரிபட்டு,village
Utchimedu,,Cuddalore,,11.78070,79.77103,உச்சிமேடு,village
Vadakku Pichavaram,,Cuddalore,,11.43669,79.77880,,hamlet
Vadalur,,Cuddalore,,11.55519,79.55507,வடலூர்,town
Varakkalpattu,,Cuddalore,,11.76582,79.70180,வரக்கால்பட்டு,village
Vayalur,,Cuddalore,,11.36033,79.11104,வயலூர்,village
Veeranandhapuram,,Cuddalore,,11.24955,79.51583,வீரானந்தபுரம்,village
Veeranatham,,Cuddalore,,11.30156,79.59232,வீரநத்தம்,village
Velingarayan Pettai,,Cuddalore,,11.53753,79.75886,,village
Veppur,,Cuddalore,,11.53812,79.12999,வேப்பூர்,village
Villiyanallur,,Cuddalore,,11.53685,79.71242,வில்லியநல்லூர்,village
Vilva Nagar,,Cuddalore,,11.76283,79.76020,வில்வ நகர்,village
Viraperumanallur,,Cuddalore,,11.77583,79.44334,வீரப்பெருமாநல்லூர்,village
Virudhachalam,,Cuddalore,,11.51640,79.32878,விருத்தாச்சலம்,town
