village,taluk,district,census_code,lat,lng,name_ta,place_type
Andiyur,,Dharmapuri,,12.10425,78.60542,,village
Bairanayakkampatty,,Dharmapuri,,12.03869,78.64355,,village
Belluranhalli,,Dharmapuri,,12.30969,77.96597,,village
Bommidi,,Dharmapuri,,11.98240,78.24501,பொம்மிடி,village
Boothanatham,,Dharmapuri,,11.98456,78.36551,,village
Dharmapuri,,Dharmapuri,,12.13480,78.15899,தர்மபுரி,city
Doddampatti,,Dharmapuri,,12.17999,78.42162,தொட்டம்பட்டி,village
Ettiyampatti,,Dharmapuri,,12.05470,78.54177,,village
Fathima Nagar,,Dharmapuri,,12.01027,78.39200,,village
Gundalmadduvu,,Dharmapuri,,11.97456,78.33224,,village
Harur,,Dharmapuri,,12.05457,78.47862,அரூர்,town
Hogenakkal,,Dharmapuri,,12.12143,77.77768,ஒகேனக்கல்,village
Ichampadi,,Dharmapuri,,12.11252,78.49375,,village
Kadathur,,Dharmapuri,,12.08569,78.29115,,village
Kambainallur,,Dharmapuri,,12.20661,78.31605,,village
Kammaalampatti,,Dharmapuri,,12.04903,78.52453,,village
Kariamangalam,,Dharmapuri,,12.30782,78.20589,கரியமங்கலம்,town
Keeraipatti,,Dharmapuri,,12.02081,78.52817,,village
Kelapaarai,,Dharmapuri,,12.03608,78.52202,,village
Kottaiyur,,Dharmapuri,,12.17418,78.18770,,village
Kottappatti,,Dharmapuri,,11.98274,78.67084,,village
Maambadi,,Dharmapuri,,12.04990,78.56491,,village
Maaveripatti,,Dharmapuri,,12.05793,78.50646,,village
Mallikotai,,Dharmapuri,,12.18973,78.16979,,village
Marandahalli,,Dharmapuri,,12.38799,78.00348,,village
Maruthipatti,,Dharmapuri,,12.14637,78.43621,,village
Menasi,,Dharmapuri,,11.97535,78.36448,,village
Molayanoor,,Dharmapuri,,11.93800,78.34462,,village
Morappur,,Dharmapuri,,12.12335,78.39733,மொரப்பூர்,village
Muthanoor,,Dharmapuri,,12.05626,78.52808,,village
Nagadasampatti,,Dharmapuri,,12.13850,77.99068,நாகதாசம்பட்டி,village
Nallampalli,,Dharmapuri,,12.05743,78.11811,நல்லம்பள்ளி,village
Naripalli,,Dharmapuri,,12.05082,78.67679,,village
Palacode,,Dharmapuri,,12.30412,78.07288,பாலக்கோடு,town
Palayam,,Dharmapuri,,12.08731,78.57189,,village
Paparpatti,,Dharmapuri,,12.21019,78.05602,பாப்பாரப்பட்டி,village
Pappireddipatti,,Dharmapuri,,11.91382,78.36711,பாப்பிரெட்டிப்பட்டி,village
Pennagaram,,Dharmapuri,,12.13317,77.89923,பென்னாகரம்,town
Periyapati,,Dharmapuri,,12.25279,78.19677,பெரியபட்டி,village
Poyyapatti,,Dharmapuri,,12.11370,78.57002,,hamlet
Purakalluddai,,Dharmapuri,,12.05425,78.52005,,village
Sendrayareddiyur,,Dharmapuri,,11.91943,78.01846,,hamlet
"Sengalmedu, Dharmpuri 635205",,Dharmapuri,,12.17925,78.20223,,village
Sitheri,,Dharmapuri,,11.89023,78.51032,,hamlet
Theerthamalai,,Dharmapuri,,12.10207,78.59046,,village
Thenkaraikkottai,,Dharmapuri,,12.01179,78.39889,,village
Thippampatti,,Dharmapuri,,12.23761,78.26975,திப்பம்பட்டி,village
Thonganur,,Dharmapuri,,12.08058,78.35759,தொங்கனூர்,village
Toppur,,Dharmapuri,,11.93983,78.05727,தோப்பூர்,village
Turinjipatti,,Dharmapuri,,11.97069,78.26862,,village
Veerappanayakanpatti,,Dharmapuri,,12.07377,78.56925,,village
Vellampatti,,Dharmapuri,,12.16080,78.43552,,village
Venkadasamuthiram,,Dharmapuri,,11.92761,78.34877,,village
Veppampatti,,Dharmapuri,,12.04670,78.56111,,village
Vizhuthupatti,,Dharmapuri,,11.95541,78.33680,,village
Wodapatti,,Dharmapuri,,12.12513,77.77319,,village
