village,taluk,district,census_code,lat,lng,name_ta,place_type
1st Kilometre,,Dindigul,,10.26557,77.53316,முதல் கிலோமீட்டர்,hamlet
Achchipuram,,Dindigul,,10.22079,77.86939,ஆச்சிபுரம்,village
Adalur,,Dindigul,,10.35582,77.73575,ஆடலூர்,village
Adhikaripatti,,Dindigul,,10.35106,78.10005,,village
Akkamanayakkanpudur,,Dindigul,,10.44706,77.44832,அக்கமநாயக்கன்புதூர்,village
Amarapundi,,Dindigul,,10.52051,77.57347,அமரபூண்டி,village
Ambilikkai,,Dindigul,,10.53671,77.70246,,village
Ammaianayakkanur,,Dindigul,,10.16854,77.91424,அம்மையநாயக்கனூர்,village
Amman Nagar,,Dindigul,,10.28281,77.52681,அம்மன் நகர்,hamlet
Anjooran Mandhai,,Dindigul,,10.31261,77.53802,அஞ்சு ஊரான் மந்தை,hamlet
Appayampatti,,Dindigul,,10.65928,77.64165,,village
Attivayal,,Dindigul,,10.32390,77.40416,,hamlet
Attur,,Dindigul,,10.28777,77.85208,ஆத்தூர்,town
Attuvampatti,,Dindigul,,10.26702,77.48440,அட்டுவம்பட்டி,village
Ayyalur,,Dindigul,,10.48459,78.15669,அய்யலூர்,village
Balasamudram,,Dindigul,,10.41926,77.49980,பாலசமுத்திரம்,village
Batlagundu,,Dindigul,,10.16361,77.75910,வத்தலக்குண்டு,town
Bharati Annanagar,,Dindigul,,10.30050,77.52050,பாரதி அண்ணாநகர்,village
Bommankadu,,Dindigul,,10.29510,77.65190,,hamlet
Budipuram,,Dindigul,,10.24330,77.88351,,village
Chathirapatty,,Dindigul,,10.46973,77.65108,சத்திரப்பட்டி,village
Chattirashapatti,,Dindigul,,10.19434,78.18471,,village
Chellaiyapuram,,Dindigul,,10.26844,77.87344,,village
Chettiapatti,,Dindigul,,10.39692,78.03124,,village
Chinnalapatti,,Dindigul,,10.27676,77.92184,சின்னாளப்பட்டி,town
Chinnapallapatti,,Dindigul,,10.20974,78.21687,,village
Chinnaveetanpatti(Alagarpatti),,Dindigul,,10.22553,77.88817,,village
Chinnur,,Dindigul,,10.17053,77.44455,,hamlet
Chittarevu,,Dindigul,,10.43012,77.41252,,village
Dindigul,,Dindigul,,10.36565,77.96933,திண்டுக்கல்,city
Eriyodu,,Dindigul,,10.51710,78.06284,எரியோடு,village
Gandhi Nagar B. L. Shed,,Dindigul,,10.30299,77.55288,காந்தி நகர் பி. எல். ஷெட்,village
Ganeshapuram,,Dindigul,,10.31015,77.52064,கணேசபுரம்,village
Gopalpatty,,Dindigul,,10.25752,78.12164,கோபால்பட்டி,village
Gujiliyamparai,,Dindigul,,10.68181,78.11472,குஜிலியம்பாறை,village
Gundupatti,,Dindigul,,10.30641,77.38576,குண்டுபட்டி,hamlet
Idaiyakottai,,Dindigul,,10.61765,77.84451,இடையகோட்டை,village
Idaiyanvalasu,,Dindigul,,10.59650,77.73886,,village
J Mettur,,Dindigul,,10.23178,77.90744,ஜே மேட்டூர்,village
Kakapatti,,Dindigul,,10.21337,78.21632,,village
Kalaiyamputtur,,Dindigul,,10.45382,77.48345,கலயம்புத்தூர்,village
Kallimandayam,,Dindigul,,10.59114,77.68664,கள்ளிமந்தையம்,village
Kallivellipatti,,Dindigul,,10.21523,78.21681,,village
Kaluttarukkipalaiyam,,Dindigul,,10.71615,77.69458,,village
Kamalapuram,,Dindigul,,10.23354,77.89821,,village
Kamanpatti,,Dindigul,,10.25742,77.85997,,village
Kamapillaichattram,,Dindigul,,10.25854,77.87792,,village
Kamarajar Nagar,,Dindigul,,10.28356,77.63247,,hamlet
Kaminayakkanpatti,,Dindigul,,10.22283,77.88875,,village
Kanakanpatti,,Dindigul,,10.47491,77.57974,கணக்கன்பட்டி,village
Kanakkanpatti,,Dindigul,,10.24525,77.87661,கணக்கன்பட்டி,village
Kannikadu,,Dindigul,,10.27863,77.48622,,hamlet
Kannivadi,,Dindigul,,10.37936,77.82992,கன்னிவாடி,village
Karadikuttam,,Dindigul,,10.45254,77.43721,கரடிக்கூட்டம்,village
Kasipalayam,,Dindigul,,10.61464,77.95157,,village
Kattayakavundanpatti,,Dindigul,,10.27256,77.88249,,village
Kattuvelampatti,,Dindigul,,10.23916,78.20609,,village
Kavunji,,Dindigul,,10.20927,77.33787,கவுஞ்சி,village
Keeranur,,Dindigul,,10.59475,77.50243,கீரனூர்,village
Kilakkuchettipatti,,Dindigul,,10.34820,77.71882,கிழக்குசெட்டிபட்டி,village
Kilanavayal,,Dindigul,,10.26213,77.33089,கிளானாவயல்,village
Kilavarai,,Dindigul,,10.21191,77.31301,கீழவரை,village
Kodaikanal,,Dindigul,,10.23371,77.49197,கொடைக்கானல்,town
Kodalankadu,,Dindigul,,10.28870,77.66231,,hamlet
Kondaiyampatti,,Dindigul,,10.21833,78.22739,,village
Kookal,,Dindigul,,10.29004,77.36693,கூக்கால்,village
Kothaimangalam,,Dindigul,,10.47353,77.50630,கோதைமங்கலம்,village
Kottampatti,,Dindigul,,10.22797,77.87314,,village
Kovilpatti,,Dindigul,,10.21468,78.22417,,village
Kovilur,,Dindigul,,10.59648,78.07977,கோவிலூர்,village
Krishnapuram,,Dindigul,,10.46202,77.44325,கிருஷ்ணாபுரம்,village
Kulampatti,,Dindigul,,10.26221,77.86236,,village
Kumbur,,Dindigul,,10.23410,77.32723,கும்பூர்,village
Kumbur Vayal,,Dindigul,,10.29249,77.53848,கும்பூர் வயல்,hamlet
Kuppammalpatti,,Dindigul,,10.32260,77.71336,,hamlet
Kuppampalayam,,Dindigul,,10.43700,77.39938,குப்பம்பாளையம்,village
Kuttiluppai,,Dindigul,,10.60770,77.78083,குத்திலுப்பை,village
Kuttur,,Dindigul,,10.24349,78.21009,,village
Lakshmipuram,,Dindigul,,10.43012,77.40422,,village
Lower Vellaparai,,Dindigul,,10.28021,77.53103,கீழ் வெள்ளைப்பாரை,hamlet
Madakarampatti,,Dindigul,,10.20841,78.19001,,village
Malaiayakadu,,Dindigul,,10.29485,77.66805,,hamlet
Mandavadi,,Dindigul,,10.58643,77.71814,,village
Mangalamkombu,,Dindigul,,10.30005,77.67200,மங்கலம்கொம்பு,village
Manjalparappu,,Dindigul,,10.28946,77.74317,மஞ்சள்பரப்பு,village
Mannavanur,,Dindigul,,10.22408,77.34643,மன்னவனூர்,village
Manoor,,Dindigul,,10.50912,77.48373,மானூர்,village
Markampatti,,Dindigul,,10.67248,77.80880,மார்கம்பட்டி,village
Markkampatti,,Dindigul,,10.33954,78.13515,,village
Marudhanadhi,,Dindigul,,10.25755,77.69798,மருதாநதி,village
Mettupatti,,Dindigul,,10.26536,77.87485,மேட்டுப்பட்டி,village
Mettuppatti,,Dindigul,,10.60179,77.57958,,village
Mondanpatti,,Dindigul,,10.23382,77.88413,,village
Moolaiyar,,Dindigul,,10.26878,77.61184,மூலையார்,village
Morepatty,,Dindigul,,10.47058,78.11875,மோர்ப்பட்டி,village
Muttinayakkanpatti,,Dindigul,,10.53033,77.83385,,village
Nadukandanoor,,Dindigul,,10.45501,78.13118,,village
Nallikkavundanvalasu,,Dindigul,,10.62460,77.56577,,village
Nalupulikottai,,Dindigul,,10.48954,77.81507,நாலுப்புலிக்கோட்டை,village
Naranappanayakkanpatti,,Dindigul,,10.62650,77.78755,,hamlet
Natham,,Dindigul,,10.22569,78.23000,நத்தம்,town
Neykkarapatti,,Dindigul,,10.44978,77.46270,நெய்காரப்பட்டி,village
Nilakkottai,,Dindigul,,10.16483,77.85285,நிலக்கோட்டை,town
Oddanchatram,,Dindigul,,10.48766,77.74924,ஒட்டன்சத்திரம்,town
Old Batlagundu,,Dindigul,,10.15309,77.74034,பழைய வத்தலக்குண்டு,village
Oothu,,Dindigul,,10.26641,77.62274,ஊத்து,village
Othaiyur,,Dindigul,,10.63912,78.09129,,village
Ottupatti,,Dindigul,,10.23026,77.86836,,village
Pachalur,,Dindigul,,10.36939,77.66814,பாச்சலூர்,village
Pachamalaiyankottai,,Dindigul,,10.27370,77.87918,,village
Palaiya Ayakudi,,Dindigul,,10.45653,77.55991,பழைய ஆயக்குடி,village
Palaiyam,,Dindigul,,10.72580,78.13570,பாளையம்,village
Palaiyapatti,,Dindigul,,10.50958,77.82780,,village
Palam Puttur,,Dindigul,,10.31801,77.41195,பழம்புத்தூர்,hamlet
Palani,,Dindigul,,10.45111,77.51545,பழனி,town
Palayamkottai,,Dindigul,,10.26143,77.85504,,village
Pallangi,,Dindigul,,10.27305,77.45554,பல்லங்கி,village
Pallankadu,,Dindigul,,10.29705,77.65676,,hamlet
Pallapatti,,Dindigul,,10.20380,78.19952,,village
