village,taluk,district,census_code,lat,lng,name_ta,place_type
Aapakudal,,Erode,,11.47682,77.57715,ஆப்பக்கூடல்,village
Alukuli,,Erode,,11.44877,77.35872,ஆலுகுளி,village
Ammapettai,,Erode,,11.61979,77.74262,,village
Anjur,,Erode,,11.06806,77.80640,,village
Anjurampalayam,,Erode,,11.18614,77.65007,,village
Anthiyur,,Erode,,11.57529,77.58860,அந்தியூர்,town
Anumanpalli,,Erode,,11.20753,77.67857,,village
Arachalur,,Erode,,11.15855,77.69811,அரச்சலூர்,town
Aralavadi,,Erode,,11.76676,76.91994,,village
Arasur,,Erode,,11.45266,77.27808,அரசூர்,village
Athani,,Erode,,11.52353,77.51243,அத்தாணி,village
Avalpoondurai,,Erode,,11.23126,77.71810,அவல்பூந்துறை,village
Bannari,,Erode,,11.55281,77.13888,பண்ணாரி,village
Bharathi Nagar,,Erode,,11.24847,77.49359,,village
Bhavani,,Erode,,11.44060,77.68244,பவானி,town
Bungalowpudur,,Erode,,11.50736,77.40562,,village
Chennampatti,,Erode,,11.70108,77.67839,,village
Chennimalai,,Erode,,11.16432,77.60317,சென்னிமலை,town
Chennipali,,Erode,,11.20184,77.66164,,village
Chikkahalli,,Erode,,11.72684,77.01907,சிக்கஹள்ளி,village
Chinna Thottipalayam,,Erode,,11.21661,77.66576,,village
Chinniyampalayam,,Erode,,11.09643,77.82117,,village
Chithode,,Erode,,11.39548,77.65808,சித்தோடு,town
Dhoddampalayam,,Erode,,11.47911,77.15215,தொட்டம்பாளையம்,village
Ellayur,,Erode,,11.08305,77.86664,,village
Elumathur,,Erode,,11.18917,77.77117,எழுமாத்தூர்,village
Erode,,Erode,,11.33065,77.72765,ஈரோடு,city
Ezhanoothumangalam,,Erode,,11.03731,77.89284,,village
Ganapathipalayam,,Erode,,11.24125,77.82245,கணபதிபாளையம்,village
Gedesal,,Erode,,11.71816,77.18333,,village
Gnanipalayam,,Erode,,11.20261,77.64741,,village
Gobichettipalayam,,Erode,,11.45518,77.43507,கோபிச்செட்டிப்பாளையம்,town
Gudiyur,,Erode,,11.75672,77.22808,,hamlet
Guruvareddiyur,,Erode,,11.64231,77.68021,,village
Hasanur,,Erode,,11.64690,77.12707,ஹாசனூர்,village
Hosuru,,Erode,,11.77803,76.99125,,village
Ichchipalaiyam,,Erode,,11.07697,77.81540,,village
Iggaluru,,Erode,,11.72113,77.03265,இக்கலூரு,village
Ingur,,Erode,,11.22621,77.58095,ஈங்கூர்,village
Jadayavampuram,,Erode,,11.77920,77.22121,,village
K G Valasu,,Erode,,11.13271,77.65033,,village
Kalliambudur,,Erode,,11.24614,77.48602,,village
Kallippatti,,Erode,,11.51478,77.45249,,village
Kanagapuram,,Erode,,11.24895,77.68309,,village
Kanjikovil,,Erode,,11.36858,77.59597,காஞ்சிகோவில்,village
Kanthasamypalayam,,Erode,,11.10697,77.73785,கந்தசாமிபாளையம்,village
Kaspapettai,,Erode,,11.26423,77.72689,,village
Kavunchipalayam,,Erode,,11.26790,77.67306,,village
Kavundampalyam,,Erode,,11.11237,77.79101,,village
Kavunthapaadi,,Erode,,11.42341,77.55540,கவுந்தப்பாடி,village
Kiliyampatti,,Erode,,11.28178,77.71048,,village
Kodiveri,,Erode,,11.46063,77.30738,கொடிவேரி,village
Kodumanal,,Erode,,11.11262,77.51243,கொடுமணல்,village
Kodumudi,,Erode,,11.07520,77.88588,கொடுமுடி,town
Kolappalur,,Erode,,11.37983,77.42906,கோலப்பலூர்,town
Kolathur,,Erode,,11.21358,77.67665,,village
Kondalam,,Erode,,11.11850,77.83789,,village
Kothumuttipalayam,,Erode,,11.19884,77.66712,,village
Krishnapuram,,Erode,,11.23803,77.51128,,village
Kudumiyampalayam,,Erode,,11.19551,77.68839,,village
Kulur,,Erode,,11.24367,77.75758,,village
Kumarapalayam,,Erode,,11.11631,77.67068,,village
Kumtapuram,,Erode,,11.77896,77.02657,கும்டாபுரம்,village
Kuppampalayam,,Erode,,11.04279,77.89080,,village
Kurumanthur,,Erode,,11.42204,77.35390,குருமந்தூர்,village
Kuttampatti,,Erode,,11.13461,77.70895,,village
Kuttapalayam,,Erode,,11.23748,77.64122,,village
Lakkapuram,,Erode,,11.30506,77.75603,லக்காபுரம்,village
Linkathakuttai,,Erode,,11.18053,77.73114,,village
Makkinamcombai,,Erode,,11.45093,77.28785,மாக்கினம்கோம்பை,village
Malliyampatti,,Erode,,11.39476,77.13480,மல்லியம்பட்டி,village
Maniyampalayam,,Erode,,11.19723,77.72929,,village
Mettlavadi,,Erode,,11.77053,76.94199,,village
Mettukadai,,Erode,,11.29879,77.64926,,village
Mettupalayam,,Erode,,11.25360,77.66428,,village
Mettuputhur,,Erode,,11.24930,77.49585,,hamlet
Modakuruchi,,Erode,,11.23443,77.77841,மொடக்குறிச்சி,village
Moolakadai,,Erode,,11.62645,77.58602,,hamlet
Moongilpalayam,,Erode,,11.24874,77.51431,,village
Mudukkanthurai,,Erode,,11.47529,77.14349,,hamlet
Mukasi Pulavarpalayam,,Erode,,11.22347,77.64559,,village
Mullamparappu,,Erode,,11.28459,77.72591,,village
Murugampalayam,,Erode,,11.19423,77.66227,,hamlet
Murungatholuvu,,Erode,,11.16580,77.64090,,village
Muthampalayam,,Erode,,11.29338,77.68628,,village
Nallakavandampalaiyam,,Erode,,11.08911,77.86595,,village
Nallampatti,,Erode,,11.34191,77.53653,நல்லம்பட்டி,village
Nallanthozhuvu,,Erode,,11.26838,77.70509,,village
Nambiyur,,Erode,,11.35681,77.31891,நம்பியூர்,town
Nanjaiuthukuli,,Erode,,11.26551,77.77136,நஞ்சை ஊத்துக்குளி,village
Nasiyanur,,Erode,,11.33894,77.63917,நசியனூர்,town
Nathakkattupalayam,,Erode,,11.28224,77.65863,,village
Odanilai,,Erode,,11.11885,77.69592,,village
Pagalayur,,Erode,,11.23433,77.50018,,village
Palaiya,,Erode,,11.67587,76.89280,,village
Palayapalayam,,Erode,,11.16536,77.65135,,village
Pallathukadai,,Erode,,11.19030,77.68914,,village
