village,taluk,district,census_code,lat,lng,name_ta,place_type
Amarambedu,,Kancheepuram,,12.95758,80.01948,,village
Angambakkam,,Kancheepuram,,12.77290,79.83733,அங்கம்பாக்கம்,village
Annadūr,,Kancheepuram,,12.68801,79.90895,,village
Arumpuliyūr,,Kancheepuram,,12.73425,79.89711,,village
Arunkunnam,,Kancheepuram,,12.73502,79.86447,,village
Ayyampettai,,Kancheepuram,,12.80946,79.75679,அய்யம்பேட்டை,village
Bāleswaram,,Kancheepuram,,12.66517,79.84571,,village
Chetpet,,Kancheepuram,,12.92243,80.02005,சேத்துப்பட்டு,village
Cochikalmedu,,Kancheepuram,,12.71839,79.79802,,village
Dharkas,,Kancheepuram,,12.94104,80.07154,,village
Echoor,,Kancheepuram,,12.88811,79.89444,,village
Edamichi,,Kancheepuram,,12.69096,79.87275,,village
Edayarpakkam,,Kancheepuram,,12.98975,79.78349,இடையார்பாக்கம்,village
Edayāmpūdūr,,Kancheepuram,,12.66128,79.86355,,village
Ekanapuram,,Kancheepuram,,12.95940,79.77796,ஏகனாபுரம்,village
Enathur,,Kancheepuram,,12.86303,79.73726,,village
Erumaiyur,,Kancheepuram,,12.95474,80.08160,எருமையூர்,village
Ettayapuram,,Kancheepuram,,12.94721,80.06310,எட்டயபுரம்,village
Gunduperumpedu,,Kancheepuram,,12.92376,79.97883,,village
Gurumpirai,,Kancheepuram,,12.66531,79.88764,,village
Guruvānjeri,,Kancheepuram,,12.74528,79.90595,,village
Irungattukottai,,Kancheepuram,,12.99536,79.99042,இருங்காட்டுக்கோட்டை,village
Irungulam,,Kancheepuram,,12.94113,79.92005,,village
Kaitandalam,,Kancheepuram,,12.64943,79.85848,,village
Kaliyappettai,,Kancheepuram,,12.72107,79.92660,,village
Kammalampoondi,,Kancheepuram,,12.56483,79.76702,,village
Kanchipuram,,Kancheepuram,,12.83639,79.70533,காஞ்சிபுரம்,city
Kanchivakkam,,Kancheepuram,,12.84286,79.98808,காஞ்சிவாக்கம்,village
Karumbākkam,,Kancheepuram,,12.73217,79.90841,,village
Karunakaracheri,,Kancheepuram,,12.92561,80.02586,,village
Kavanippākkam,,Kancheepuram,,12.72156,79.89369,,village
Kidangarai,,Kancheepuram,,12.68636,79.88073,,village
Kolathur,,Kancheepuram,,12.93858,79.99404,கொளத்தூர்,village
Kunnavākkam,,Kancheepuram,,12.66890,79.82048,,village
Kāttānkulam,,Kancheepuram,,12.70281,79.82091,,village
Kāvittandalam,,Kancheepuram,,12.71466,79.93354,,village
Kāvāmpayar,,Kancheepuram,,12.71629,79.78793,,village
Maarimangalam,,Kancheepuram,,13.01885,79.78423,,village
Maduramangalam,,Kancheepuram,,12.94938,79.81514,மதுராமங்கலம்,village
Madūr,,Kancheepuram,,12.74341,79.84992,,village
