village,taluk,district,census_code,lat,lng,name_ta,place_type
Agastheeswaram,,Kanniyakumari,,8.10034,77.52089,அகதீஸ்வரம்,village
Alagiapandipuram,,Kanniyakumari,,8.31119,77.43925,அழகியபாண்டிபுரம்,village
Alamparai,,Kanniyakumari,,8.41323,77.33348,,hamlet
Alanchi,,Kanniyakumari,,8.19674,77.23547,ஆலஞ்சி,village
Alancholai,,Kanniyakumari,,8.42957,77.25857,ஆலஞ்சோலை,village
Alancode,,Kanniyakumari,,8.22486,77.29838,ஆலங்கோடு,village
Alankottai,,Kanniyakumari,,8.13519,77.34913,ஆலங்கோட்டை,village
Aloor,,Kanniyakumari,,8.19273,77.36456,ஆளூர்,village
AmanakkanVilai,,Kanniyakumari,,8.12572,77.56016,ஆமணக்கன்விளை,village
Ambalakadai,,Kanniyakumari,,8.35591,77.24448,அம்பலக்கடை,village
Ammandivilai,,Kanniyakumari,,8.14446,77.31975,அம்மாண்டிவிளை,village
Amsi,,Kanniyakumari,,8.24630,77.17497,அம்சி,village
Anbu Nagar,,Kanniyakumari,,8.41965,77.32358,,hamlet
Andoor,,Kanniyakumari,,8.33946,77.30884,அண்டூர்,village
Anducode,,Kanniyakumari,,8.35774,77.21997,ஆண்டுகோடு,village
Anjugramam,,Kanniyakumari,,8.14938,77.56984,அஞ்சுகிராமம்,town
Aralvaimozhi,,Kanniyakumari,,8.25063,77.52185,ஆரல்வாய்மொழி,town
Arasakulam,,Kanniyakumari,,8.24404,77.18828,அரசகுளம்,village
Arogyapuram,,Kanniyakumari,,8.11899,77.55770,ஆரோக்கியபுரம்,village
Arukani,,Kanniyakumari,,8.48342,77.21447,ஆறுகாணி,village
Arumanai,,Kanniyakumari,,8.36751,77.24171,அருமனை,village
Arumanalloor,,Kanniyakumari,,8.32148,77.40824,அருமநல்லூர்,village
Athanimarkulam,,Kanniyakumari,,8.17417,77.48391,,hamlet
Athencode,,Kanniyakumari,,8.30443,77.17606,அதங்கோடு,village
Athikadai,,Kanniyakumari,,8.13310,77.40931,அத்திகடை,village
Attoor,,Kanniyakumari,,8.32558,77.25733,ஆற்றூர்,village
Azhagappapuram,,Kanniyakumari,,8.14646,77.54039,அழகப்பபுரம்,village
Azhagiamandapam,,Kanniyakumari,,8.26270,77.29649,அழகியமண்டபம்,village
Azhickal,,Kanniyakumari,,8.12640,77.34115,அழிக்கால்,village
Balamore,,Kanniyakumari,,8.44412,77.40657,,hamlet
Bethelpuram,,Kanniyakumari,,8.20096,77.27505,பெத்தேல்புரம்,village
Bharathapally,,Kanniyakumari,,8.34606,77.24967,பாரதப்பள்ளி,village
Bhutapandi,,Kanniyakumari,,8.26385,77.44568,பூதப்பாண்டி,village
Brammapuram,,Kanniyakumari,,8.24071,77.34336,,village
Chemparuthivilai,,Kanniyakumari,,8.28612,77.30978,செம்பருத்திவிளை,village
Chemponvilai,,Kanniyakumari,,8.20072,77.26731,செம்பொன்விளை,village
Chenbagaramanputhur,,Kanniyakumari,,8.24868,77.48967,செண்பகராமன்புதூர்,village
Chennithottam,,Kanniyakumari,,8.30138,77.21099,சென்னித்தோட்டம்,village
Cherupalloor,,Kanniyakumari,,8.35776,77.28942,செருப்பாலூர்,village
Cheruvalloor,,Kanniyakumari,,8.40102,77.20723,செருவல்லூர்,village
Chinnathurai,,Kanniyakumari,,8.26319,77.13965,சின்னத்துரை,village
Chitharal,,Kanniyakumari,,8.34031,77.24369,சிதறால்,village
Chithiramcode,,Kanniyakumari,,8.30655,77.31732,சித்திரங்கோடு,village
Choozhal,,Kanniyakumari,,8.31188,77.12700,சூழால்,village
Chunkankadai,,Kanniyakumari,,8.20028,77.38269,சுங்கான்கடை,village
Colachel,,Kanniyakumari,,8.17527,77.25192,குளச்சல்,town
Derisanamcope,,Kanniyakumari,,8.28703,77.44275,தெரிசனம்கோப்பு,village
Devicode,,Kanniyakumari,,8.21467,77.22089,தேவிகோடு,village
Easanthimangalam,,Kanniyakumari,,8.25288,77.43459,ஈசாந்திமங்கலம்,village
Eathamozhi,,Kanniyakumari,,8.12064,77.38925,ஈத்தாமொழி,village
Edaicode,,Kanniyakumari,,8.36761,77.19865,இடைக்கோடு,village
Elavuvilai,,Kanniyakumari,,8.27787,77.21482,இலவுவிளை,village
Enayam Puthenthurai,,Kanniyakumari,,8.22332,77.18457,இனையம் புத்தன்துறை,village
Erachakulam,,Kanniyakumari,,8.22931,77.43021,இறச்சகுளம்,village
Eraniel,,Kanniyakumari,,8.20637,77.31698,இரணியல்,village
Eraviputhenthurai,,Kanniyakumari,,8.26687,77.13488,இரவிபுத்தன்துறை,village
Eraviputhurkadai,,Kanniyakumari,,8.29439,77.25772,இரவிபுதூர்கடை,village
Erayumanthurai,,Kanniyakumari,,8.24758,77.15924,இரயுமன்துறை,village
Ettamkuntu,,Kanniyakumari,,8.43795,77.33319,,hamlet
Ettani,,Kanniyakumari,,8.25756,77.23995,எட்டணி,village
Fathimanagar,,Kanniyakumari,,8.30870,77.14289,பாத்திமாநகர்,village
Ilayanainarkulam,,Kanniyakumari,,8.15750,77.47560,,hamlet
Irenipuram,,Kanniyakumari,,8.27453,77.20065,ஐரேனிபுரம்,village
Kadayal,,Kanniyakumari,,8.40659,77.26646,கடையல்,village
Kadiapattanam,,Kanniyakumari,,8.13468,77.30545,கடியப்பட்டணம்,village
Kadukkarai,,Kanniyakumari,,8.30056,77.46265,கடுக்கரை,village
Kaduvakkuzhi,,Kanniyakumari,,8.32856,77.14733,கடுவக்குழி,village
Kakamoor,,Kanniyakumari,,8.14913,77.46308,,hamlet
Kakkavilai,,Kanniyakumari,,8.30365,77.10405,காக்கவிளை,village
Kalaparai,,Kanniyakumari,,8.46140,77.33753,,hamlet
Kalikesam,,Kanniyakumari,,8.40905,77.39109,காளிகேசம்,hamlet
Kaliyikkavila,,Kanniyakumari,,8.33490,77.17169,களியக்காவிளை,village
Kalkurichi,,Kanniyakumari,,8.23309,77.31812,கல்குறிச்சி,village
Kalluketty,,Kanniyakumari,,8.32192,77.19170,,village
Kallukoottam,,Kanniyakumari,,8.18988,77.28834,கல்லுக்கூட்டம்,village
Kalluppalam,,Kanniyakumari,,8.31290,77.24766,கல்லுப்பாலம்,village
Kalvilai,,Kanniyakumari,,8.10844,77.55279,கல்விளை,hamlet
Kanahappapuram,,Kanniyakumari,,8.14537,77.58461,கணஹப்பபுரம்,village
Kandanvilai,,Kanniyakumari,,8.20683,77.33260,கண்டன்விளை,village
Kaniyakulam,,Kanniyakumari,,8.20058,77.39998,கணியாகுளம்,village
Kanjampuram,,Kanniyakumari,,8.26860,77.15350,காஞ்சம்புரம்,village
Kannanoor,,Kanniyakumari,,8.28976,77.28760,கண்ணனூர்,village
Kannanputhoor,,Kanniyakumari,,8.23973,77.48699,கண்ணன்புதூர்,village
Kannattuvilai,,Kanniyakumari,,8.21826,77.31508,கண்ணாட்டுவிளை,village
Kanyakumari,,Kanniyakumari,,8.07925,77.54993,கன்னியாகுமரி,town
Kappukad,,Kanniyakumari,,8.29764,77.20182,காப்புக்காடு,village
Karankadu,,Kanniyakumari,,8.20469,77.34684,காரங்காடு,village
Karavilai,,Kanniyakumari,,8.14120,77.37906,காரவிளை,village
Karode,,Kanniyakumari,,8.40378,77.22728,காரோடு,village
Karungal,,Kanniyakumari,,8.23792,77.24136,கருங்கல்,town
Karupparai,,Kanniyakumari,,8.17634,77.32530,கருப்பாறை,village
Kattathurai,,Kanniyakumari,,8.28124,77.27428,காட்டாத்துறை,village
Kattimancode,,Kanniyakumari,,8.19139,77.35284,கட்டிமாங்கோடு,village
Kattukadai,,Kanniyakumari,,8.21949,77.24227,காட்டுக்கடை,village
Kattuputhoor,,Kanniyakumari,,8.30853,77.45643,காட்டுப்புதூர்,village
Kazhuvanthittai,,Kanniyakumari,,8.32645,77.20522,கழுவன்திட்டை,village
Keeriparai,,Kanniyakumari,,8.39727,77.41197,கீரிப்பாறை,hamlet
Kesavanpudur,,Kanniyakumari,,8.31190,77.43822,கேசவன்புதூர்,village
Kesavapuram,,Kanniyakumari,,8.34342,77.26442,கேசவபுரம்,village
Killiyoor,,Kanniyakumari,,8.26532,77.21327,கிள்ளியூர்,village
Kirathoor,,Kanniyakumari,,8.28225,77.13080,கிராத்தூர்,village
Kodayar Camp,,Kanniyakumari,,8.51566,77.30777,,hamlet
Kodiyoor,,Kanniyakumari,,8.25243,77.27886,கோடியூர்,village
Koduppaikuzhi,,Kanniyakumari,,8.18185,77.35183,கொடுப்பைக்குழி,village
Kodutharai,,Kanniyakumari,,8.50590,77.32272,,hamlet
Kollengode,,Kanniyakumari,,8.28617,77.11168,கொல்லங்கோடு,village
Kootapuli,,Kanniyakumari,,8.32643,77.16445,கூட்டப்புளி,village
Kothanallur,,Kanniyakumari,,8.28439,77.30490,கோதநல்லூர்,village
Kothavilai,,Kanniyakumari,,8.15358,77.35969,கோதவிளை,village
Kottaram,,Kanniyakumari,,8.11821,77.52465,கொட்டாரம்,village
