village,taluk,district,census_code,lat,lng,name_ta,place_type
A .Nadupatty,,Karur,,10.75068,78.49303,,hamlet
A .Vellagoundanpatti,,Karur,,10.77523,78.07589,,hamlet
A Udayapatty West,,Karur,,10.76868,78.39173,,village
A.K.Bharathi Nagar,,Karur,,10.94210,78.04157,,village
A.Venkadapuram,,Karur,,10.66663,77.83406,,hamlet
Aananthapuram,,Karur,,10.82147,77.88471,,hamlet
Aandichettipalayam,,Karur,,10.90591,77.88019,,hamlet
Aanur,,Karur,,10.91925,77.99467,,hamlet
Aariyur,,Karur,,10.80714,77.93055,,hamlet
Aaru Road,,Karur,,10.87561,78.00676,,hamlet
Aathikattur,,Karur,,10.97677,77.87169,,hamlet
Aathipalayam,,Karur,,10.96638,77.83801,,hamlet
Aathumedu,,Karur,,10.76378,77.96586,,hamlet
Aathuppatti,,Karur,,10.73460,78.31551,,hamlet
Aathur,,Karur,,10.68936,77.96999,,village
Aathur ad colony,,Karur,,10.69574,77.97025,,hamlet
Achamapuram,,Karur,,10.97669,78.16908,,hamlet
Adhanur,,Karur,,10.79013,78.40030,,hamlet
Agraharam,,Karur,,11.08829,78.00616,,hamlet
Akilandapuram,,Karur,,10.86561,77.87557,,village
Akkandimedu,,Karur,,10.75702,78.39496,,village
Akkankadu,,Karur,,10.84035,78.52198,,hamlet
Akkaraipatti,,Karur,,10.70567,78.22182,,hamlet
Akkaraipatty,,Karur,,10.85241,78.41984,,hamlet
Akkarakampatty,,Karur,,10.79640,78.32581,,hamlet
Alagampatty,,Karur,,10.75714,78.43897,,hamlet
Alagapuri,,Karur,,10.76265,78.20051,,hamlet
Alamarathumedu,,Karur,,11.07477,77.98950,,village
Alamarathupatti,,Karur,,10.67172,77.92529,,village
Alamarathupatty,,Karur,,10.82873,78.37242,,village
Alampalayam,,Karur,,11.00264,78.01427,,hamlet
Alamparappu,,Karur,,11.04467,78.06080,,hamlet
Alangaripatty,,Karur,,10.80199,78.39792,,hamlet
Alathur,,Karur,,10.59861,78.23564,,hamlet
Alathur Anna Nagar,,Karur,,10.76866,78.52108,,hamlet
Alathur Arijanatheru,,Karur,,10.78043,78.52136,,hamlet
Alkuthiyur,,Karur,,10.74402,78.29270,,hamlet
Allali Goundanur,,Karur,,10.87412,78.17565,,hamlet
Allinagar,,Karur,,10.76060,78.27779,,hamlet
Ambalagoundanpudur,,Karur,,10.99383,78.12660,,hamlet
Ambedgar Colony,,Karur,,10.87302,77.84296,,hamlet
Ambethkar Nagar,,Karur,,11.06987,77.99227,,hamlet
Amirthapuri,,Karur,,10.94828,77.82833,,hamlet
Ammaiyappagoundanpudur,,Karur,,10.87548,78.04686,,hamlet
Ammankovilpalayam,,Karur,,10.76679,77.83007,,hamlet
Ammannagar,,Karur,,10.88528,77.96042,,hamlet
Ammapatti,,Karur,,10.75388,78.24716,,hamlet
Ammayappa Goundanpudur,,Karur,,10.89610,78.07435,,hamlet
Anaigoaunampatty,,Karur,,10.78257,78.49777,,hamlet
Anaikkaraipatti,,Karur,,10.76061,78.29975,,hamlet
Anaikoundanur,,Karur,,10.86964,78.39733,,hamlet
Anaipalayam,,Karur,,10.87707,77.95878,,hamlet
Anaipudur,,Karur,,10.85568,77.82675,,hamlet
Ananda Goundanur,,Karur,,10.87201,78.18559,,hamlet
Andankoil West,,Karur,,10.95266,78.04011,,village
Andinaickanur,,Karur,,10.83702,78.39919,,hamlet
Andipalayam,,Karur,,10.93601,78.16143,,village
Andipatti,,Karur,,10.98287,77.96547,,hamlet
Andipatty,,Karur,,10.69009,77.93568,,hamlet
Andipattykottai,,Karur,,10.68184,77.92817,,village
Andisangilipalayam,,Karur,,10.99864,77.93255,,hamlet
Anjagoundanpatti,,Karur,,10.72512,77.96041,,hamlet
Annagounampatty P. Kalathupatty,,Karur,,10.71527,78.50502,,hamlet
Annanagar,,Karur,,10.67767,77.92819,,hamlet
Annanagar -H,,Karur,,11.02768,78.06874,,hamlet
Annavipoosaripatti,,Karur,,10.67493,78.18759,,hamlet
Antharapatty,,Karur,,10.89850,78.32222,,hamlet
Anumanthanpatti,,Karur,,10.66543,77.91550,,hamlet
Appanaickanur,,Karur,,10.68136,78.40622,,hamlet
Appipalayam,,Karur,,10.94893,78.03017,,hamlet
Aranmanaithottam pudhur,,Karur,,10.69476,77.89726,,hamlet
Arapulipatti,,Karur,,10.88860,78.33999,,hamlet
Arasagoundanur,,Karur,,10.67399,78.18221,,hamlet
Arasampalayam,,Karur,,11.00777,77.95303,,hamlet
Arasu colony,,Karur,,10.98163,78.09508,,village
Aravakurichi,,Karur,,10.77704,77.90940,அரவக்குறிச்சி,town
Aravanampettai,,Karur,,10.92196,78.20905,,hamlet
Aravankattur,,Karur,,11.00444,78.11126,,hamlet
Archampatty,,Karur,,10.77729,78.54698,,village
Arcottunayakkanur,,Karur,,10.78429,78.03680,,hamlet
Arijanacolony,,Karur,,10.68622,78.19134,,hamlet
Arikaranpalayam,,Karur,,10.98154,77.83028,,hamlet
Ariyagoundanur,,Karur,,10.72067,78.16626,,hamlet
Ariyampoosariyur,,Karur,,10.86186,78.38358,,hamlet
Ariyur,,Karur,,10.90934,77.91434,,hamlet
Arthampatty,,Karur,,10.81142,78.44670,,hamlet
Arugampalayam,,Karur,,10.98350,78.08599,,hamlet
Arumaikaran pudur,,Karur,,10.86371,78.08969,,hamlet
Arumaikaranpudur,,Karur,,11.03978,78.05844,,hamlet
Asaripattarai,,Karur,,11.02733,77.95771,,hamlet
Athappagoundanvalasu SC Theru,,Karur,,11.01782,77.81958,,hamlet
Athikulathupatti,,Karur,,10.63811,78.23246,,hamlet
Athipalayam,,Karur,,11.01923,77.89991,,hamlet
Athipalayam Pudur,,Karur,,11.01751,77.89129,,hamlet
Athirettipalayam,,Karur,,10.94760,77.91290,,village
Athiyamankottai,,Karur,,11.02963,77.98132,,village
Athiyappagoundanvalasu,,Karur,,11.00424,77.88712,,hamlet
Athiyappagoundanvalasu colony,,Karur,,11.00851,77.89442,,hamlet
Athupatti,,Karur,,10.72581,78.26399,,hamlet
Athur,,Karur,,10.98830,78.03483,,hamlet
Attayamparappu,,Karur,,10.91597,78.04099,,hamlet
Attippalaiyam,,Karur,,11.01437,77.86750,,village
Attukaranteruvu,,Karur,,10.63250,78.25589,,hamlet
Attukkaratheru,,Karur,,10.62891,78.25349,,hamlet
Avarankattur,,Karur,,11.01996,78.07689,,hamlet
Avuthipalayam,,Karur,,11.00815,77.83788,,hamlet
Ayyagoundampatty,,Karur,,10.73904,78.55728,,hamlet
Ayyampalayam,,Karur,,11.02214,77.95597,,village
Ayyampalayam AD colony,,Karur,,10.87990,78.10980,,hamlet
Ayyampalayam Hc,,Karur,,10.83286,78.18688,,hamlet
Ayyaneri,,Karur,,10.91846,78.38577,,hamlet
Ayyanur,,Karur,,10.99009,77.99485,,hamlet
Ayyarmalai,,Karur,,10.87922,78.38880,,village
Azhagampatti,,Karur,,10.66032,77.96862,,hamlet
BC Colony,,Karur,,11.01064,78.09050,,hamlet
Bajanaickanpatty,,Karur,,10.74810,78.37952,,hamlet
Balasamuthirapatty,,Karur,,10.71691,78.50989,,village
Bangalawpudhur,,Karur,,10.87469,78.49171,,village
Bangarubadi,,Karur,,10.69550,77.91717,,hamlet
Bharathi Nagar,,Karur,,10.99567,78.01673,,hamlet
Bharathinagar new,,Karur,,10.82954,78.48752,,hamlet
Bismi Nagar,,Karur,,10.87530,78.10425,,hamlet
Bommanaickanpatty,,Karur,,10.77226,78.44145,,village
Bommanaikanur,,Karur,,10.67528,78.41509,,hamlet
Boomadevam,,Karur,,10.68708,77.89613,,hamlet
Bungalow Nagar,,Karur,,11.05416,77.92544,,hamlet
C. Pudur,,Karur,,10.77321,78.19380,,hamlet
Casacolony,,Karur,,10.85732,78.48937,,village
Chellandipalayam,,Karur,,10.92605,78.00677,,village
Chellarampalayam,,Karur,,11.00077,78.03324,,hamlet
Chellipalayam,,Karur,,10.89339,78.13169,,hamlet
Chellppagoundan pudur,,Karur,,10.83485,78.16725,,hamlet
Chennampatty,,Karur,,10.69283,78.21423,,hamlet
Chettichinnagoundanur,,Karur,,10.81161,78.10722,,hamlet
Chettigoundanur,,Karur,,10.80970,78.03368,,hamlet
Chettipalayam,,Karur,,10.98594,78.05289,,hamlet
Chettipalayam Kaja coloni,,Karur,,10.93689,78.03380,,hamlet
Chettithottam,,Karur,,11.06395,77.96874,,hamlet
Chettiyapatti,,Karur,,10.65906,78.26582,,hamlet
Chinna Dharapuram,,Karur,,10.85262,77.84953,சின்னத்தாராபுரம்,town
Chinna Nadupalayam,,Karur,,11.00100,77.98745,,hamlet
Chinna Rengapalayam,,Karur,,11.01158,77.98257,,hamlet
Chinna Sengal,,Karur,,10.87886,78.24721,,village
ChinnaMalaiyandipatti,,Karur,,10.84062,78.36519,,hamlet
Chinnaakilandapuram,,Karur,,11.01313,77.82764,,hamlet
Chinnadevanpatti,,Karur,,10.80219,78.26199,,hamlet
Chinnagoundampatty,,Karur,,10.78300,78.47458,,hamlet
Chinnagoundampaty,,Karur,,10.83731,78.55172,,hamlet
Chinnagoundanur,,Karur,,10.68824,78.18865,,hamlet
Chinnakalathupatty,,Karur,,10.79026,78.54123,,hamlet
Chinnakalipalayam,,Karur,,11.00496,78.13966,,hamlet
Chinnakariyampatti,,Karur,,10.78902,77.99656,,hamlet
Chinnakavundanur,,Karur,,10.78890,77.89483,,hamlet
Chinnakettampatti,,Karur,,10.83092,77.98543,,hamlet
Chinnakinathupatty,,Karur,,10.86348,78.21242,,hamlet
Chinnakulathupatti,,Karur,,10.84036,78.05261,,hamlet
Chinnakulathur,,Karur,,10.82072,78.34736,,village
Chinnakumaravalasu,,Karur,,10.93299,77.77455,,hamlet
Chinnamanaickanpatti,,Karur,,10.72048,78.27455,,hamlet
Chinnamanaickanpatty,,Karur,,10.94237,78.16732,,village
Chinnamanaickanur,,Karur,,10.78727,78.35920,,hamlet
Chinnamanaikanur,,Karur,,10.81858,77.89981,,hamlet
Chinnamanaikkanpatti,,Karur,,10.89885,78.08750,,village
Chinnamathiyagudalur,,Karur,,10.86843,77.81891,,hamlet
Chinnamookanankurichi,,Karur,,10.88113,78.05608,,hamlet
Chinnampatti,,Karur,,10.84690,77.99218,,hamlet
Chinnamuthambadi,,Karur,,10.67584,78.17853,,hamlet
Chinnamuthampalayam,,Karur,,10.91132,77.90385,,hamlet
Chinnandipatti,,Karur,,10.76108,78.17430,,village
Chinnapallampatti,,Karur,,10.88363,78.02449,,hamlet
Chinnapanaiyur,,Karur,,10.79409,78.52747,,village
Chinnapillur,,Karur,,10.70511,78.48227,,hamlet
Chinnapudur,,Karur,,10.81602,77.98611,,hamlet
Chinnapuliampatti,,Karur,,10.84833,77.87776,,hamlet
Chinnaputhur,,Karur,,10.77224,78.50408,,hamlet
Chinnarasapatty,,Karur,,10.81359,78.43935,,hamlet
Chinnareddipatty,,Karur,,10.68166,78.41850,,village
Chinnareddipatty colony,,Karur,,10.68078,78.41981,,hamlet
Chinnathalapatti,,Karur,,10.81595,78.10934,,hamlet
ChinnathambiPalayam,,Karur,,10.90171,78.13585,,hamlet
Chinnathathampalayam,,Karur,,10.93771,77.99881,,hamlet
Chinnathirumangalam,,Karur,,10.87938,77.85173,,hamlet
Chinnathopparapatti,,Karur,,10.71847,77.93972,,hamlet
Chinnavadugapatti,,Karur,,11.00208,78.05591,,hamlet
Chinnavalaiyapalayam,,Karur,,11.04439,77.81504,,hamlet
Chinnavalayapatti,,Karur,,10.77884,77.93110,,hamlet
Chinnavallipalayam,,Karur,,11.04102,78.05029,,hamlet
Chinnavangalampalayam,,Karur,,10.98314,77.83406,,hamlet
Chinnavanikkarai,,Karur,,10.83675,77.91037,,hamlet
Chinnavarapalayam,,Karur,,11.05858,78.07226,,hamlet
Chinnavarapatti,,Karur,,10.69177,77.88190,,hamlet
Chinnayampalayam,,Karur,,10.80329,78.36350,,village
Chinnayyakavundanur,,Karur,,10.75551,77.91799,,hamlet
Chinnayyampatti,,Karur,,10.78750,77.96846,,hamlet
Chinthalavadi,,Karur,,10.95161,78.31583,,village
Chinthamanipatty,,Karur,,10.72856,78.23120,சிந்தாமணிபட்டி,village
Chithiraseelamanaickanur,,Karur,,10.59700,78.23525,,hamlet
Chokalapuram,,Karur,,10.70909,77.90359,,hamlet
Choladhasanpatty,,Karur,,10.68514,77.99824,,village
Coolinaickanur,,Karur,,10.90686,78.01736,,hamlet
Coolinaickanur Hc,,Karur,,10.91541,78.02323,,hamlet
Dehesiyapatty,,Karur,,10.74742,78.51292,,hamlet
Desiyamangalam,,Karur,,10.81015,78.38655,,hamlet
Devachi Goundanpudur,,Karur,,10.84858,78.20064,,hamlet
Devagoundanur,,Karur,,10.80760,78.12102,,hamlet
Devanampalayam,,Karur,,10.97437,77.76143,,hamlet
Devanur Reddiyapatti,,Karur,,10.67622,78.24901,,village
Devarmalai,,Karur,,10.73334,78.17248,,hamlet
Devasingampatty,,Karur,,10.85625,78.34071,,hamlet
Devendra Nagar Harijan Street,,Karur,,10.85565,78.12127,,village
Dharaninagar,,Karur,,10.99553,78.08079,,hamlet
Dharmakodangipatti,,Karur,,10.90553,77.85807,,hamlet
Dheeran Nagar,,Karur,,10.99404,78.06045,,hamlet
E .Pudur,,Karur,,10.86400,78.47534,,hamlet
E Alamarathupatti,,Karur,,10.73490,77.98050,,hamlet
E.Venkidapuram Pudhur,,Karur,,10.71364,78.00747,,hamlet
Eachampatty,,Karur,,10.79850,78.36348,,hamlet
Eachankattupatty,,Karur,,10.76147,78.40927,,hamlet
East Harizancolony,,Karur,,10.71449,78.46142,,hamlet
East Melamettupatty,,Karur,,10.81598,78.41068,,hamlet
Eatchampatty,,Karur,,10.85899,78.42168,,village
Edayapatti,,Karur,,10.58113,78.22211,,village
Edayapatty,,Karur,,10.73696,78.44120,,hamlet
Edayarpalayam,,Karur,,10.97720,78.14671,,hamlet
Elango nagar,,Karur,,11.07483,77.97971,,hamlet
Elavanur,,Karur,,10.84350,77.90413,,village
Elayaperumalpatti,,Karur,,10.77427,78.24391,,hamlet
Ellai Kovilpatty,,Karur,,10.78629,78.37221,,hamlet
Ellaikattanur,,Karur,,10.62308,78.26348,,hamlet
Ellaikattuvalasu,,Karur,,11.01828,77.83003,,hamlet
Ellaikovilpatty,,Karur,,10.78555,78.49354,,hamlet
Ellaimedu,,Karur,,10.86207,77.90490,,village
Ellaiyammankovilpatti,,Karur,,10.88186,78.27570,,hamlet
Ellaiyur,,Karur,,11.05413,78.09794,,hamlet
Ellapatti,,Karur,,10.71583,77.87963,,hamlet
Ellappanaickenpudur,,Karur,,10.75334,77.86807,,hamlet
Elunuthimangalam,,Karur,,10.92870,78.39934,,village
Eluthiampatty,,Karur,,10.94008,78.24823,,village
Eluvakkariyur,,Karur,,10.58066,78.21326,,hamlet
Emoor,,Karur,,10.91088,78.10922,,village
Emoor pudur,,Karur,,10.91837,78.11863,,hamlet
Eramanayakkanpatty,,Karur,,10.83513,78.43678,,hamlet
Eramanayakkanur,,Karur,,10.66314,77.90662,,hamlet
Erataimarathankoil,,Karur,,11.06218,78.09904,,hamlet
Eravanaickenpatty,,Karur,,10.77823,77.79091,,hamlet
Erichalur,,Karur,,10.73393,78.33961,,hamlet
Erumaikaranpudur,,Karur,,10.93272,77.97511,,hamlet
Erumaikaranur,,Karur,,10.78638,78.33048,,hamlet
Eruthikonpatti,,Karur,,10.70537,78.20120,,hamlet
ErvadiPoolampatti,,Karur,,10.82434,78.24582,,hamlet
Esanatham,,Karur,,10.70700,78.00233,ஈசநத்தம்,village
Esanatham pudhur,,Karur,,10.70529,78.00383,,village
Ettamanaicknpatty,,Karur,,10.70819,78.42212,,hamlet
Ettiyakavundanur,,Karur,,10.76744,77.90262,,hamlet
Ezhuthuparaipark,,Karur,,10.97807,78.15750,,hamlet
Five Road,,Karur,,10.86441,77.99251,,hamlet
Ganapathipalayam,,Karur,,10.93914,77.99654,,hamlet
Ganapathy Nagar,,Karur,,11.01836,77.84507,,hamlet
Gandhi Nagar,,Karur,,10.87230,78.00627,,hamlet
Gandhi Nagar colony BC colony,,Karur,,10.99793,78.02559,,hamlet
Gandhi Nagar colony SC colony,,Karur,,11.00116,78.02528,,hamlet
Gandhipuram,,Karur,,10.99113,77.91313,,hamlet
Ganesh Nagar,,Karur,,10.93642,78.17201,,hamlet
Ganthinagar,,Karur,,11.05661,77.94418,,village
Ganthinagar colony,,Karur,,11.06196,77.79930,,hamlet
Goundampalayam,,Karur,,10.56918,78.21644,,hamlet
Goundampatty,,Karur,,10.72922,78.33526,,hamlet
Goundanpudur,,Karur,,11.05932,77.97076,,hamlet
Goundayur,,Karur,,10.99064,78.05532,,hamlet
Govindampalayam,,Karur,,10.96584,78.03180,,village
Gudalur,,Karur,,10.90213,77.83521,,hamlet
