village,taluk,district,census_code,lat,lng,name_ta,place_type
Achamangalam,,Krishnagiri,,12.48577,78.31930,,village
Achettipalli,,Krishnagiri,,12.67681,77.82700,அச்செட்டிப்பள்ளி,village
Adaliyur,,Krishnagiri,,12.37666,78.51107,,village
Aggondapalli,,Krishnagiri,,12.66251,77.84150,அக்கோண்டபள்ளி,village
Amuthugondapalli,,Krishnagiri,,12.81549,77.95239,அமுதுகொண்டபள்ளி,village
Anchetty,,Krishnagiri,,12.35407,77.72196,,village
Arasampatti,,Krishnagiri,,12.28548,78.30842,அரசம்பட்டி,village
Ariyanapalli,,Krishnagiri,,12.70165,78.20327,,village
Athimugam,,Krishnagiri,,12.75378,77.97499,அத்திமுகம்,village
Bagalur,,Krishnagiri,,12.83104,77.86584,பாகலுர்,town
Barandur,,Krishnagiri,,12.62265,77.78535,பரந்தூர்,village
Bargur,,Krishnagiri,,12.54258,78.35672,பர்கூர்,town
Basavannakovil,,Krishnagiri,,12.61337,78.32619,,village
Beddathalapalli,,Krishnagiri,,12.52167,78.18170,,village
Belagondapalli,,Krishnagiri,,12.67016,77.76123,பேளகொண்டப்பள்ளி,village
Bennangur,,Krishnagiri,,12.55856,77.78441,பென்னாங்கூர்,village
Berikai,,Krishnagiri,,12.80522,77.97074,பேரிகை,village
Bettamugilalam,,Krishnagiri,,12.36908,77.90971,,village
Billgundala,,Krishnagiri,,12.18591,77.73243,,village
Boganapalli,,Krishnagiri,,12.53754,78.24084,,village
Chennasandra,,Krishnagiri,,12.83257,78.02434,,village
Chennathur,,Krishnagiri,,12.70282,77.86087,சென்னத்தூர்,village
Chinna Tammaradapalli,,Krishnagiri,,12.72808,78.17390,,village
Chinnampalli,,Krishnagiri,,12.55939,78.26740,,village
Chinnapariddiplaiyam,,Krishnagiri,,12.58999,77.72543,,village
Chinnaredoddi,,Krishnagiri,,12.83879,78.06381,,village
Dabguli,,Krishnagiri,,12.20634,77.54658,,hamlet
Dasampatti,,Krishnagiri,,12.24988,78.44063,தாசம்பட்டி,village
Denkanikottai,,Krishnagiri,,12.52709,77.79262,தேன்கனிக்கோட்டை,town
Desupalli,,Krishnagiri,,12.59362,78.29737,,village
Devarabetta,,Krishnagiri,,12.62467,77.63131,தேவரபெட்டா,village
Dhandakuppam,,Krishnagiri,,12.52550,78.23404,,village
Doddaganama,,Krishnagiri,,12.71649,78.20233,,village
Doraiyeri,,Krishnagiri,,12.64094,78.32825,,village
Ekalanattam,,Krishnagiri,,12.68406,78.26254,,hamlet
Eluvapalli,,Krishnagiri,,12.79843,77.85064,,village
Ettipalli,,Krishnagiri,,12.62053,77.99078,,village
Gedalandoddi,,Krishnagiri,,12.83673,78.05156,,village
Gudisadanpalli,,Krishnagiri,,12.81019,78.04605,,village
Gumalapura,,Krishnagiri,,12.65510,77.66637,கும்ளாபுரம்,village
Gundalapatti,,Krishnagiri,,12.36715,78.21332,குண்டலப்பட்டி,village
Guruvinayanapalli,,Krishnagiri,,12.62660,78.32550,,village
Hanumantheertam,,Krishnagiri,,12.18213,78.54834,,village
Hosur,,Krishnagiri,,12.73288,77.83095,ஒசூர்,city
Indira Nagar,,Krishnagiri,,12.52294,78.19595,இந்திரா நகர்,village
Islampur,,Krishnagiri,,12.57132,77.78327,இஸ்லாம்பூர்,village
Jawalagiri,,Krishnagiri,,12.51748,77.64366,ஜவளகிரி,village
Jenkalur,,Krishnagiri,,12.64346,78.16069,,village
Kagganur,,Krishnagiri,,12.85146,77.81967,கக்கனூர்,village
Kalasthipuram,,Krishnagiri,,12.78537,77.85748,,village
Kali Koil,,Krishnagiri,,12.65390,78.31650,,village
Kalukondapalli,,Krishnagiri,,12.66392,77.75353,கலுகொண்டப்பள்ளி,village
Kamaraj Nagar,,Krishnagiri,,12.52249,78.19021,,village
Kambalanayanikottur,,Krishnagiri,,12.72600,78.21360,,village
Kammaampalli,,Krishnagiri,,12.56271,78.27124,,village
Kanamanapalli,,Krishnagiri,,12.67053,77.71391,கனமனபள்ளி,village
Kandganapalli,,Krishnagiri,,12.51369,77.73566,,hamlet
Karapalli,,Krishnagiri,,12.70248,77.84709,காரபள்ளி,village
Karnapalli,,Krishnagiri,,12.80819,77.94824,கர்ணப்பள்ளி,village
Kathinayanapalli,,Krishnagiri,,12.54011,78.24970,,village
Kaveripattinam,,Krishnagiri,,12.41854,78.21849,காவேரிப்பட்டணம்,town
Kechhaliganur,,Krishnagiri,,12.61893,78.33261,,village
Kelamangalam,,Krishnagiri,,12.60533,77.85467,கெலமங்கலம்,town
Kembatti,,Krishnagiri,,12.66411,77.72289,கெம்பட்டி,village
Komaranapalli,,Krishnagiri,,12.69067,77.74669,கொமாரணப்பள்ளி,village
Konganepalli,,Krishnagiri,,12.73720,78.20709,,village
Koranur,,Krishnagiri,,12.66676,77.73339,கோரனூர்,village
Koteuru,,Krishnagiri,,12.28172,77.62210,,hamlet
Kothajeegur,,Krishnagiri,,12.68779,77.75873,கொத்தஜீகுர்,village
Krishnagiri,,Krishnagiri,,12.51888,78.22065,கிருஷ்ணகிரி,town
Kumbalam,,Krishnagiri,,12.77090,78.04702,,village
Kundukottai,,Krishnagiri,,12.42706,77.74830,,village
Kunnattur,,Krishnagiri,,12.34794,78.50996,,village
Kurubarapalli,,Krishnagiri,,12.60074,78.13306,,village
Madanakuppam,,Krishnagiri,,12.56900,78.28814,,village
Madanur,,Krishnagiri,,12.60094,78.21886,,village
Madepalli,,Krishnagiri,,12.65962,78.17319,,village
Madhagondapalli,,Krishnagiri,,12.62869,77.73068,மதகொண்டப்பள்ளி,village
Mahadevapuram,,Krishnagiri,,12.79779,77.99893,,hamlet
Malasonai,,Krishnagiri,,12.49820,77.73975,,hamlet
Mallinyakkanapalli,,Krishnagiri,,12.56443,78.27900,,village
Manavarnapalli,,Krishnagiri,,12.74333,78.15686,,village
Mathur,,Krishnagiri,,12.38258,78.41223,மாத்தூர்,village
Mittapalli,,Krishnagiri,,12.25561,78.58958,,village
Modugampalli,,Krishnagiri,,12.62444,78.32974,,village
Mukkalapalli,,Krishnagiri,,12.65428,78.24299,,hamlet
Muthur,,Krishnagiri,,12.65730,77.71349,முத்தூர்,village
Mutuguriki,,Krishnagiri,,12.79724,78.01434,,village
Nadupatti,,Krishnagiri,,12.20562,78.59930,,village
Natrampalayam,,Krishnagiri,,12.25006,77.73764,,village
