village,taluk,district,census_code,lat,lng,name_ta,place_type
Achampathu,,Madurai,,9.93869,78.06567,அச்சம்பத்து,village
Agathapatti,,Madurai,,9.70041,77.96186,,village
Aiyankottai,,Madurai,,10.02928,78.01409,அய்யன்கோட்டை,village
Alagapuri,,Madurai,,10.05918,78.06815,,village
Alagarkovil,,Madurai,,10.06844,78.21571,அழகர்கோவில்,village
Alampatti,,Madurai,,9.80253,77.95909,ஆலம்பட்டி,village
Alanganallur,,Madurai,,10.04636,78.08781,அலங்காநல்லூர்,town
Ambalattadi,,Madurai,,10.01591,78.06799,,village
Anaikulam,,Madurai,,10.02179,78.03715,,village
Angadimangalam,,Madurai,,9.84221,78.24596,அங்காடிமங்கலம்,village
Arasappanpatti,,Madurai,,10.04832,78.30337,,village
Ayyampatti,,Madurai,,10.06478,78.23374,,village
Checkanurani,,Madurai,,9.94163,77.97349,செக்கானூரணி,town
Chellampatty,,Madurai,,9.94409,77.89799,செல்லம்பட்டி,village
Chettiapatty,,Madurai,,9.97731,77.71899,,village
Chettikulam,,Madurai,,9.86786,78.14618,செட்டிகுளம்,village
Chettiyarpatti,,Madurai,,10.06168,78.27018,,village
Chinna Sengappadai,,Madurai,,9.77016,77.92112,,village
Chinna Vellaipatti,,Madurai,,10.06507,78.25769,,village
Chinnakattalai,,Madurai,,9.84879,77.79897,சின்னக்கட்டளை,village
Chittalangudi,,Madurai,,10.01538,78.02579,,village
Chittampatti,,Madurai,,9.98363,78.23448,சித்தம்பட்டி,village
Elumalai,,Madurai,,9.86307,77.69896,ஏழுமலை,village
Ettimangalam,,Madurai,,10.06255,78.31489,,village
Kadavur,,Madurai,,10.07851,78.17524,கடவூர்,village
Kallampatti,,Madurai,,10.03271,78.30407,,village
Kallandhiri,,Madurai,,10.03852,78.20116,கள்ளந்திரி,village
Kalligudi,,Madurai,,9.69599,77.97229,கள்ளிக்குடி,village
Kancharampettai,,Madurai,,10.03218,78.15712,காஞ்சரம்பேட்டை,village
Kappalur,,Madurai,,9.84377,78.01628,,village
