village,taluk,district,census_code,lat,lng,name_ta,place_type
Abisegakattalai,,Nagapattinam,,10.88192,79.75840,,hamlet
Abisheganatham,,Nagapattinam,,10.83543,79.66476,,hamlet
Achakarai north,,Nagapattinam,,10.62151,79.81245,,village
Achakkarai,,Nagapattinam,,10.61819,79.80703,,village
Achukattalai,,Nagapattinam,,10.60102,79.77263,,hamlet
Agalangan,,Nagapattinam,,10.69786,79.79230,,village
Agarakadambanur,,Nagapattinam,,10.77385,79.75344,,village
Agarakonthagai,,Nagapattinam,,10.87728,79.80286,,village
Agaram-Vadakkupanaiyur,,Nagapattinam,,10.66505,79.73611,,hamlet
Agaraorthur,,Nagapattinam,,10.72848,79.79432,,hamlet
Agarathiruppu,,Nagapattinam,,10.84153,79.67434,,hamlet
Agaraveli,,Nagapattinam,,10.63129,79.71653,,village
Agarsembiyanmadevi,,Nagapattinam,,10.69125,79.76545,,hamlet
Agilandapuram,,Nagapattinam,,10.81489,79.80949,,hamlet
Airvaikkadu,,Nagapattinam,,10.64145,79.73374,,village
Akkarai Sagadamangalam,,Nagapattinam,,10.90429,79.66909,,hamlet
Akkaraikothamangalam,,Nagapattinam,,10.88289,79.81230,,village
Akkaraimanakudi,,Nagapattinam,,10.57790,79.74969,,hamlet
Akkaraipettai,,Nagapattinam,,10.74634,79.84648,அக்கரைப்பேட்டை,village
Alakari,,Nagapattinam,,10.77275,79.73548,,hamlet
Alamalai,,Nagapattinam,,10.67190,79.80083,,hamlet
Alangudi,,Nagapattinam,,10.60269,79.73688,,hamlet
Alangudicheri,,Nagapattinam,,10.86523,79.80436,,village
Alangudy,,Nagapattinam,,10.72364,79.77277,,hamlet
Alathur,,Nagapattinam,,10.89066,79.78015,,village
Aliyamangalam,,Nagapattinam,,10.78166,79.80604,,village
Aliyur,,Nagapattinam,,10.77197,79.76604,ஆழியூர்,village
Ambal,,Nagapattinam,,10.91503,79.68647,,village
Amirtha Nagar,,Nagapattinam,,10.79839,79.84872,,village
Anaikoil,,Nagapattinam,,10.83193,79.65229,,hamlet
Anaimangalam,,Nagapattinam,,10.79532,79.75219,,village
Anakudi,,Nagapattinam,,10.69592,79.73623,,hamlet
Anandanallur,,Nagapattinam,,10.87792,79.79297,,village
