village,taluk,district,census_code,lat,lng,name_ta,place_type
A Mettupatty,,Namakkal,,11.10665,78.24801,,hamlet
A Pudupalayam,,Namakkal,,11.46649,78.06374,,hamlet
A.Thannimathipatti,,Namakkal,,11.28507,78.34480,,hamlet
AD Street,,Namakkal,,11.43132,78.02442,,hamlet
ATC Kumaran Nagar,,Namakkal,,11.36600,77.83546,,hamlet
ATC Nanban Nagar,,Namakkal,,11.45321,78.16719,,hamlet
AValavanthi,,Namakkal,,11.07503,78.26506,,village
Aathumedu,,Namakkal,,11.44806,78.06912,ஆத்துமேடு,hamlet
Achavadi,,Namakkal,,11.31673,78.30672,,hamlet
Adukkam,,Namakkal,,11.39716,78.46634,,hamlet
Adukkampatti,,Namakkal,,11.21983,78.33968,,hamlet
Adukkampudukkombai Colony,,Namakkal,,11.34298,78.45607,,hamlet
Adukkunagar,,Namakkal,,11.18092,77.88327,,hamlet
Aduvankuttupatty,,Namakkal,,11.27141,78.37939,,village
Agaraharam,,Namakkal,,11.44120,78.19318,,hamlet
Agaram,,Namakkal,,11.38510,78.01279,,hamlet
Agrahara Uduppam,,Namakkal,,11.33197,78.15928,,hamlet
Agraharam Nattamangalam,,Namakkal,,11.38908,78.12001,அக்ரஹாரம் நாட்டாமங்கலம்,hamlet
Akkalampatti,,Namakkal,,11.31821,78.07593,,hamlet
Akkamapalayam,,Namakkal,,11.32109,77.85428,,village
Akkaraikavarapatti,,Namakkal,,11.28241,78.38022,,hamlet
Akkaraimpalayam,,Namakkal,,11.14182,78.10352,,hamlet
Akkaraipatty,,Namakkal,,11.47012,78.06229,,village
Akkaraivalavu,,Namakkal,,11.24948,78.36724,,hamlet
Akkarapattiyampalayam,,Namakkal,,11.39126,77.99785,,hamlet
Akkarayanthottam,,Namakkal,,11.33930,77.90231,,hamlet
Akkiampatti,,Namakkal,,11.26533,78.23359,,village
Alagapuram,,Namakkal,,11.43612,78.14039,,hamlet
Alagu Kinathupalayam,,Namakkal,,11.21485,77.95155,,hamlet
Alampalayam,,Namakkal,,11.53222,78.11202,,hamlet
Alampalayam Kuttathottam,,Namakkal,,11.11061,78.13078,,village
Alampatti,,Namakkal,,11.07900,78.22393,,village
Alanganatham,,Namakkal,,11.18642,78.25554,அலங்காநத்தம்,village
Alangattuvalasu,,Namakkal,,11.43200,77.71170,,village
Alankattupudur,,Namakkal,,11.29679,78.05718,,hamlet
Alavadi,,Namakkal,,11.28190,78.40523,,hamlet
Alavaipatty,,Namakkal,,11.49688,78.10107,,village
Aleripatti,,Namakkal,,11.35688,78.41358,,hamlet
Allalapuram,,Namakkal,,11.29885,78.11547,,hamlet
Allalipalayam,,Namakkal,,11.27929,77.88048,,hamlet
Amaiparai,,Namakkal,,11.09183,78.12361,,hamlet
Ambayeepalayam,,Namakkal,,11.16077,78.37917,,village
Ambedhkar Nagar,,Namakkal,,11.31217,77.78434,,village
Ammankoilkadu,,Namakkal,,11.32022,77.92553,,hamlet
Ammapalayam,,Namakkal,,11.41940,77.88653,,hamlet
Ammapalayam pudur,,Namakkal,,11.39959,78.12143,அம்மாபாளையம்புதூர்,village
Ammasipalayam,,Namakkal,,11.31440,77.80067,அம்மாசிபாலயம்,village
Anaikattpalayam,,Namakkal,,11.45228,78.15381,,village
Anaikattu pudur,,Namakkal,,11.40717,78.26742,,village
Anaipalayam,,Namakkal,,11.41009,78.03737,,hamlet
Anaipalayam Hr Colony,,Namakkal,,11.42910,78.17101,,hamlet
Anaipalayam Pallar Colony,,Namakkal,,11.43317,78.17428,,hamlet
Anaipattiyancolony,,Namakkal,,11.49638,78.16408,,hamlet
Anandagoundampalayam,,Namakkal,,11.52249,78.10490,,hamlet
Anangadu,,Namakkal,,11.34882,78.28409,,village
Anangoor,,Namakkal,,11.39523,77.82862,ஆனங்கூர்,hamlet
Anangoor Ad Street,,Namakkal,,11.39482,77.82734,,hamlet
Anangoor Nadar Street,,Namakkal,,11.38971,77.83187,,hamlet
Anangur,,Namakkal,,11.11850,77.89319,,village
Anangurrampalayam,,Namakkal,,11.40321,77.97197,,hamlet
Ananthakrishnarayasamudram,,Namakkal,,11.41190,78.16173,அனந்தகிருஷ்ணராயசமுத்திரம்,hamlet
Anbu nagar,,Namakkal,,11.46637,78.16503,,hamlet
Andagalore Gate,,Namakkal,,11.44489,78.15784,ஆண்டகலூர்கேட்,village
Andapuram,,Namakkal,,11.06538,78.22568,,village
Andikadu,,Namakkal,,11.25740,77.92617,,hamlet
Andikkadu,,Namakkal,,11.39441,77.83511,ஆண்டிகாடு,hamlet
Andikuttai,,Namakkal,,11.53388,78.36962,,hamlet
Andipalayam,,Namakkal,,11.09992,78.10924,,village
Andipatti pudur,,Namakkal,,11.21294,78.10273,,village
Andipatty,,Namakkal,,11.20961,78.10657,,hamlet
Andivalasu,,Namakkal,,11.28312,77.87289,,hamlet
Andrapatty,,Namakkal,,11.40447,77.93820,,hamlet
Anichampalayam,,Namakkal,,11.10069,78.02014,,village
Animoor,,Namakkal,,11.33292,77.87305,,village
Aniyapuram,,Namakkal,,11.14174,78.15286,அணியாபுரம்,village
Aniyapuram pudur,,Namakkal,,11.13960,78.16441,,village
Aniyar AD Colony,,Namakkal,,11.29042,78.07432,,hamlet
Anna Nagar,,Namakkal,,11.53080,78.40403,,village
Annamalainagar,,Namakkal,,11.19055,78.18799,,hamlet
Annamalaipatty,,Namakkal,,11.53441,78.12142,,village
Annanagar,,Namakkal,,11.37078,78.08586,,hamlet
Annanager,,Namakkal,,11.36135,77.79334,,village
Appanaickanpalayam,,Namakkal,,11.33483,77.79167,,village
Appanaickenoor,,Namakkal,,11.28361,78.07681,,hamlet
Appanaickenpatty,,Namakkal,,11.43734,78.21145,,hamlet
Appinaickenpalayam,,Namakkal,,11.21123,78.06312,,village
Appiyapatti,,Namakkal,,11.40366,77.95360,,hamlet
Appur palayam,,Namakkal,,11.39356,77.92022,,village
Arangasivan Kundru,,Namakkal,,11.32813,78.31104,,hamlet
Arasampalayam,,Namakkal,,11.18504,77.87885,,village
Arasampalayam pudur,,Namakkal,,11.19163,77.86749,,hamlet
Arasampatti,,Namakkal,,11.29326,78.39858,,hamlet
Arasampatty,,Namakkal,,11.29342,78.40291,,hamlet
Arasanatham,,Namakkal,,11.07684,78.19597,,hamlet
Arasapalayam,,Namakkal,,11.44234,78.22016,,hamlet
Arasapalayam Harijan colony,,Namakkal,,11.43907,78.21971,,hamlet
Aravankattur,,Namakkal,,11.08042,78.11567,,hamlet
Aripalapatty,,Namakkal,,11.23759,78.38742,,hamlet
Ariyakavundanpatti,,Namakkal,,11.44512,78.27231,,village
Ariyakavundanpatti Pudur,,Namakkal,,11.45433,78.29143,,village
Ariyanthuthur,,Namakkal,,11.16275,78.12551,,hamlet
Ariyur,,Namakkal,,11.09716,78.13153,ஆரியூர்,village
Ariyur Kaspa,,Namakkal,,11.30903,78.38085,,hamlet
Ariyur Patty,,Namakkal,,11.22652,78.00529,,hamlet
Arthanaripalayam,,Namakkal,,11.18902,77.99963,,village
Aruir Solakkadu,,Namakkal,,11.30625,78.35818,,hamlet
Arul Nagar,,Namakkal,,11.41293,78.08105,,hamlet
Arunagiripalayam,,Namakkal,,11.26208,77.92021,,hamlet
Arunthathiyar Street,,Namakkal,,11.26643,78.23096,,hamlet
Arur,,Namakkal,,11.09673,78.21148,,village
Arur South,,Namakkal,,11.08709,78.21443,,village
Arur pudur,,Namakkal,,11.10012,78.21901,,hamlet
Aruvangadu,,Namakkal,,11.35089,78.42021,,hamlet
Aruvankadu,,Namakkal,,11.38699,78.30717,,hamlet
Asakkattupatti,,Namakkal,,11.26258,78.37890,,hamlet
Asarikadu,,Namakkal,,11.38746,77.72396,,hamlet
Athanur,,Namakkal,,11.49965,78.13509,அத்தனூர்,village
Athappampalayam,,Namakkal,,11.32669,78.00322,,hamlet
Athappampatti,,Namakkal,,11.47379,78.02141,,village
Athikkattur,,Namakkal,,11.40490,77.81122,,hamlet
Athimarappatty,,Namakkal,,11.39556,77.99046,,hamlet
Athimarathur,,Namakkal,,11.41497,77.83356,,hamlet
Athipalaganur,,Namakkal,,11.47843,78.17631,,village
Athipalayam,,Namakkal,,11.34373,77.89691,,hamlet
Athiyappampalayam,,Namakkal,,11.25785,78.08683,,hamlet
Athurampalayam,,Namakkal,,11.40956,77.86729,,village
Avalnaickenpatty,,Namakkal,,11.28530,78.18476,,village
Avaraikadu,,Namakkal,,11.40821,78.34929,,hamlet
Avarankadu,,Namakkal,,11.20310,77.92757,,hamlet
Avarankattupudur,,Namakkal,,11.22153,77.98945,,hamlet
Avarankorai,,Namakkal,,11.48080,78.31202,,hamlet
Avinasipatti,,Namakkal,,11.42042,78.00768,,hamlet
Ayakkattur,,Namakkal,,11.23090,77.95425,,hamlet
Ayampudur,,Namakkal,,11.27800,78.06671,,hamlet
Ayeegoundampalayam,,Namakkal,,11.46522,77.77496,,hamlet
Ayeegoundampalayam Ar Colony,,Namakkal,,11.46023,77.78008,,village
Ayeepalayam,,Namakkal,,11.42298,78.12319,ஆயிபாளையம்,village
Ayeethakuttai,,Namakkal,,11.39327,78.00574,,hamlet
Ayilpatty,,Namakkal,,11.54329,78.34905,,village
Ayilpatty RF,,Namakkal,,11.52867,78.34924,,hamlet
Ayilpatty katuukuttai,,Namakkal,,11.52365,78.34999,,village
Ayyakattupalayam,,Namakkal,,11.29819,78.03269,,hamlet
Ayyampalayam K,,Namakkal,,11.10514,77.89388,,village
Ayyampudur,,Namakkal,,11.35458,78.15480,ஐயம்புதூர்,hamlet
Ayyarsalai,,Namakkal,,11.34955,78.12653,,hamlet
B.thannimathipatti,,Namakkal,,11.28430,78.34644,,hamlet
Bagampalayam,,Namakkal,,11.12264,77.90810,,village
Baharath Nagar,,Namakkal,,11.35799,77.83845,,hamlet
Balanaickanpatty,,Namakkal,,11.12298,78.28502,,hamlet
Bamagoundampalayam,,Namakkal,,11.22851,77.94501,,hamlet
Beemanaickanur,,Namakkal,,11.15007,78.23706,,village
Beemarapatti,,Namakkal,,11.48911,77.99956,,village
Beemarapatty,,Namakkal,,11.36566,77.95674,,hamlet
Bellakadu,,Namakkal,,11.35280,78.42291,,hamlet
Belukurichi,,Namakkal,,11.38326,78.24959,பேளுக்குறிச்சி,village
Bharathinagar,,Namakkal,,11.31362,77.78434,,village
Bodhupatti,,Namakkal,,11.22057,78.14440,போதுப்பட்டி,village
Bodinaickenpatty,,Namakkal,,11.43301,78.20804,,village
Bodinayakanpatti,,Namakkal,,11.20357,78.25276,போடிநாயக்கன்பட்டி,village
Bolekadu,,Namakkal,,11.41045,78.31611,,hamlet
Bommakkapalayam,,Namakkal,,11.24283,77.96358,,hamlet
Bommakkuttaimedu,,Namakkal,,11.29970,78.16805,பொம்மைகுட்டைமேடு,village
Bommalapalayam,,Namakkal,,11.07804,77.92711,,hamlet
Bommampatty,,Namakkal,,11.28956,78.10618,,village
Bommasamudram,,Namakkal,,11.20236,78.21687,,village
Bomminaickenpalayam,,Namakkal,,11.22707,78.05901,,hamlet
Bomminaickenpalayam AR,,Namakkal,,11.22859,78.06011,,hamlet
Boyankadu,,Namakkal,,11.42869,78.09853,,hamlet
Boyarcolony,,Namakkal,,11.45638,78.14329,,hamlet
C Pallipalayam,,Namakkal,,11.31118,77.92031,,hamlet
Chandirampalayam,,Namakkal,,11.51053,78.04162,,hamlet
Chandragiri,,Namakkal,,11.09258,78.18586,,hamlet
Chandrasekarapuram,,Namakkal,,11.42981,78.18195,சந்திரசேகரபுரம்,village
Chekkankadu,,Namakkal,,11.38625,78.00826,,hamlet
Chellampalaiyam,,Namakkal,,11.10731,77.89380,,village
Chellipalayam,,Namakkal,,11.31926,78.00280,,hamlet
Chennampalayam,,Namakkal,,11.42704,78.11025,,hamlet
Chettichipalayam,,Namakkal,,11.51507,78.00116,,hamlet
Chettikattur,,Namakkal,,11.39227,77.78694,,hamlet
Chettikuttimedu,,Namakkal,,11.39353,77.98531,,hamlet
Chettithottam,,Namakkal,,11.25181,77.86276,,hamlet
