village,taluk,district,census_code,lat,lng,name_ta,place_type
A Kudikadu,,Perambalur,,11.16163,78.91624,,village
Adaikkampatti,,Perambalur,,11.16489,78.68469,,village
Adhanur,,Perambalur,,11.18491,78.99859,,village
Aduthurai,,Perambalur,,11.40034,79.05461,,village
Agaram,,Perambalur,,11.41207,78.94035,,village
Aiyinapuram,,Perambalur,,11.10785,78.92883,,village
Alagapuri,,Perambalur,,11.33743,78.89245,,hamlet
Alagiripalayam,,Perambalur,,11.17943,79.05170,,hamlet
Alambadi,,Perambalur,,11.25875,78.82889,,village
Alathur,,Perambalur,,11.13592,78.84523,,village
Allinagaram,,Perambalur,,11.15692,79.06300,,village
Ambethkar Nagar,,Perambalur,,11.40750,78.73352,,village
Ammapalayam,,Perambalur,,11.21737,78.74022,,village
Anaipady,,Perambalur,,11.09890,78.93900,,village
Andhur,,Perambalur,,11.25317,79.02613,,village
Andikurumbalur,,Perambalur,,11.30721,79.03377,,village
Annamangalam,,Perambalur,,11.32590,78.79512,,village
Anukkur,,Perambalur,,11.33245,78.86414,,village
Arasalur,,Perambalur,,11.30893,78.78374,,village
Arumadal,,Perambalur,,11.26463,78.93599,,village
Arumbavur,,Perambalur,,11.37962,78.72979,,village
Arunagirimangalam,,Perambalur,,11.11962,79.01911,,village
Asur,,Perambalur,,11.26028,79.00127,,village
Athiyur,,Perambalur,,11.38616,79.08482,,village
Athiyur Kudikadu,,Perambalur,,11.36588,79.08614,,village
Athur,,Perambalur,,11.09659,79.05657,,village
Ayeekudi,,Perambalur,,11.28137,79.00946,,village
Ayyalur,,Perambalur,,11.17832,78.88687,,village
Ayyanarpalayam,,Perambalur,,11.50102,78.81499,,village
Ayyarpalayam,,Perambalur,,11.33943,78.71307,,hamlet
Bama colony,,Perambalur,,11.36410,78.95649,,hamlet
Bommanapadi,,Perambalur,,11.15035,78.77161,,village
Boomithanam,,Perambalur,,11.33628,78.68476,,hamlet
Brammadesam,,Perambalur,,11.30977,78.89968,,village
Bujangarayanallur,,Perambalur,,11.13423,79.03152,,village
Celon Colony,,Perambalur,,11.30611,78.94119,,village
Chatramanai,,Perambalur,,11.16866,78.78044,,village
Chettikulam,,Perambalur,,11.13472,78.77526,செட்டிக்குளம்,village
