village,taluk,district,census_code,lat,lng,name_ta,place_type
A. Thekkalur,,Pudukkottai,,10.19860,78.50920,,hamlet
A.Mathur,,Pudukkottai,,10.43453,78.93194,,village
Aalankudipatti,,Pudukkottai,,10.63253,78.81492,,village
Aanaivaari,,Pudukkottai,,10.21087,78.82818,ஆனைவாரி,village
Aanaivilundhangeni,,Pudukkottai,,10.67822,79.04494,,village
Aandikulappampatti,,Pudukkottai,,10.44050,79.06427,,village
Aandipatti,,Pudukkottai,,10.27808,78.80740,ஆண்டிப்பட்டி,hamlet
Aandiwail,,Pudukkottai,,9.89543,79.11106,,hamlet
Aathanapatti,,Pudukkottai,,10.58135,78.69696,,hamlet
Aathangaraipatti,,Pudukkottai,,10.61261,79.14040,,village
Aathangaraippatti,,Pudukkottai,,10.29744,78.86608,ஆத்தங்கரைப்பட்டி,hamlet
Aathivayal,,Pudukkottai,,9.95070,79.17026,,hamlet
Aattukkaaranpatti,,Pudukkottai,,10.67630,78.70116,,village
Aayepatti,,Pudukkottai,,10.48062,79.04425,ஆயிப்பட்டி,village
Achanyakanpatti,,Pudukkottai,,10.57743,78.59877,,village
Achuthapuram,,Pudukkottai,,10.64138,79.06727,,village
Adalaikalabhairavapuram,,Pudukkottai,,10.15438,79.16421,,village
Adanakottai,,Pudukkottai,,10.52773,78.96018,ஆதனக்கோட்டை,village
Adappankarachatram,,Pudukkottai,,10.38759,78.78335,அடப்பன்காரசத்திரம்,village
Adhanur,,Pudukkottai,,10.18320,78.74961,ஆதனூர்,village
Adinipatti,,Pudukkottai,,10.52085,78.75811,,village
Adugapatti,,Pudukkottai,,10.22012,78.68713,அடுக்கப்பட்டி,village
Agambadiyanendal,,Pudukkottai,,10.04902,79.12126,அகம்படியாநேந்தல்,hamlet
Agarapatti,,Pudukkottai,,10.52118,78.51213,அகாரபட்டி,village
Agarappatty,,Pudukkottai,,10.36132,78.78575,அகரப்பட்டி,village
Agavayal,,Pudukkottai,,10.49314,78.84478,,village
Agraharam,,Pudukkottai,,10.60506,78.47133,,village
Akkalayakkanpatti,,Pudukkottai,,10.63251,78.59751,,village
Alaganviduthi,,Pudukkottai,,10.53608,79.17059,அழகன்விடுதி,hamlet
Alaganviduthi West,,Pudukkottai,,10.53819,79.16472,,hamlet
Alakanviduthy kilakku colony,,Pudukkottai,,10.53466,79.16400,,hamlet
Alampatti,,Pudukkottai,,10.38581,78.60589,ஆலம்பட்டி,hamlet
Alangadu,,Pudukkottai,,10.32269,79.01590,ஆலங்காடு,village
Alangappatti,,Pudukkottai,,10.52399,78.91636,,village
Alangudi,,Pudukkottai,,10.14605,78.98751,,hamlet
Alankampatti,,Pudukkottai,,10.61899,78.52155,,village
Alappiranthan,,Pudukkottai,,10.17537,78.95922,ஆளப்பிறந்தான்,village
Alathivayal,,Pudukkottai,,10.02526,79.02013,ஆலத்திவயல்,village
Alathur,,Pudukkottai,,10.47736,78.62003,ஆலத்தூர்,village
Alattur,,Pudukkottai,,9.91541,79.12701,ஆலத்தூர்,village
Alavayal,,Pudukkottai,,10.32423,78.54235,ஆலவயல்,village
Aliyanilai,,Pudukkottai,,10.20681,78.98578,,village
Allaraimelvayal,,Pudukkottai,,10.14945,79.02955,,village
Alvampatti,,Pudukkottai,,10.58185,78.87209,,village
Amanjakki,,Pudukkottai,,10.13398,79.11670,,village
Amanji,,Pudukkottai,,10.13065,79.00264,அம்மாஞ்சி,village
Amaradakki,,Pudukkottai,,10.01381,79.08099,,village
Amarasimmendrapuram,,Pudukkottai,,10.20483,79.17044,அமரசிம்மேந்திரபுறம்,village
Ambalpuram,,Pudukkottai,,10.19180,79.14109,,village
Ambukoil,,Pudukkottai,,10.49099,79.11028,அம்புக்கோயில்,village
Ambukottai,,Pudukkottai,,10.05042,78.98350,அம்புக்கோட்டை,hamlet
Amburaani,,Pudukkottai,,10.16225,78.93205,அம்புராணி,hamlet
Amburapatti,,Pudukkottai,,10.63092,78.66640,,village
Ammaapatti,,Pudukkottai,,10.20521,78.71172,அம்மாபட்டி,hamlet
Ammachattiram,,Pudukkottai,,10.52825,78.77682,அம்மாச்சத்திரம்,village
Ammanipattu,,Pudukkottai,,10.48422,79.12956,,hamlet
Ammanippattu,,Pudukkottai,,10.47850,79.11862,அம்மானிப்பட்டு,hamlet
Ammankovilpudur,,Pudukkottai,,10.24588,78.48135,,hamlet
Ammankurichi,,Pudukkottai,,10.34080,78.53233,அம்மன்குறிச்சி,village
Ammanpattettai,,Pudukkottai,,10.45973,78.76013,,village
Ammanpatti,,Pudukkottai,,10.26416,78.73803,அம்மன்பட்டி,hamlet
Ammapatti,,Pudukkottai,,10.43172,78.58512,அம்மாபட்டி,hamlet
Ammapattinam,,Pudukkottai,,10.01536,79.23138,அம்மாபட்டிணம்,village
Ammavayal,,Pudukkottai,,10.02469,79.22444,,hamlet
Ammayapatty,,Pudukkottai,,10.33793,78.82311,அம்மையாபட்டி,village
Ammayarvayal,,Pudukkottai,,10.03588,79.14984,,hamlet
Amminippatti,,Pudukkottai,,10.30542,78.73661,அம்மினிப்பட்டி,village
Anaipatti,,Pudukkottai,,10.42400,78.64663,,village
Anavayal,,Pudukkottai,,10.33489,79.11384,,village
Andakkudi,,Pudukkottai,,10.03054,78.96545,அண்டக்குடி,hamlet
Andakkulam,,Pudukkottai,,10.52707,78.89439,அண்டக்குளம்,village
Andakudi,,Pudukkottai,,9.89718,79.10761,,hamlet
Andakudippatti,,Pudukkottai,,10.23619,78.72099,அண்டகுடிப்பட்டி,hamlet
Andangudippatti,,Pudukkottai,,10.53159,78.72290,,village
Andanur,,Pudukkottai,,10.50026,79.06058,அண்டனூர்,village
Andavarayapuram,,Pudukkottai,,10.35152,79.10504,,village
Andipatti,,Pudukkottai,,10.41138,78.75764,,village
Andipatty,,Pudukkottai,,10.55954,79.09635,,village
Andiyapatti,,Pudukkottai,,10.59852,78.46463,,village
Andiyendal,,Pudukkottai,,9.99148,79.12686,ஆண்டிஏந்தல்,hamlet
