village,taluk,district,census_code,lat,lng,name_ta,place_type
A. Manakkudi,,Ramanathapuram,,9.66180,78.95315,,village
Abiramam,,Ramanathapuram,,9.44207,78.43964,அபிராமம்,village
Achundanavayal,,Ramanathapuram,,9.37331,78.80055,,village
Adancherry,,Ramanathapuram,,9.19917,78.67771,,village
Agaram,,Ramanathapuram,,9.31719,78.76654,அகரம்,hamlet
Agastiarkuttam,,Ramanathapuram,,9.30367,78.99583,,village
Alagankulam,,Ramanathapuram,,9.35573,78.96578,,village
Alikkudi,,Ramanathapuram,,9.68757,78.96058,,village
Aliyathanmoli,,Ramanathapuram,,9.66592,78.91372,,village
Ammari,,Ramanathapuram,,9.42044,78.89836,,village
Athiyuthu,,Ramanathapuram,,9.40107,78.91312,,village
Attankarai,,Ramanathapuram,,9.34418,78.99284,,village
Barathinaker,,Ramanathapuram,,9.22222,78.75988,,village
Beachfront Chinna Ervadi,,Ramanathapuram,,9.19571,78.71772,,hamlet
Bogalur,,Ramanathapuram,,9.41244,78.71276,,village
CK Mangalam,,Ramanathapuram,,9.78774,78.89176,,village
Chinna Ervadi,,Ramanathapuram,,9.20137,78.71319,சின்ன ஏர்வாடி,village
Chinna Karisalkulam,,Ramanathapuram,,9.42056,78.27978,,village
Chinna Mayakulam,,Ramanathapuram,,9.23278,78.75244,,village
Chinna Sambai,,Ramanathapuram,,9.52220,78.90243,,village
Chinna Thondi,,Ramanathapuram,,9.75056,79.01406,,village
Chinnudaiyarvalasai,,Ramanathapuram,,9.29059,79.01325,,hamlet
Chittarkottai,,Ramanathapuram,,9.42891,78.90001,,village
Chittur,,Ramanathapuram,,9.38640,78.78402,,village
Chitturuvadi,,Ramanathapuram,,9.63839,78.93085,,hamlet
Devipattinam,,Ramanathapuram,,9.47492,78.89676,தேவிபட்டினம்,town
Deyvachchilainallur,,Ramanathapuram,,9.32443,78.75135,,hamlet
Dhamodharan Pattinam,,Ramanathapuram,,9.79220,79.06802,,village
Dhanushkodi,,Ramanathapuram,,9.18463,79.41475,தனுஷ்கோடி,hamlet
Ervadi,,Ramanathapuram,,9.20904,78.71011,ஏர்வாடி,village
Ettuseri,,Ramanathapuram,,9.83518,79.07871,,hamlet
Gokula Nagar,,Ramanathapuram,,9.44666,78.89569,,hamlet
Gokulavadi,,Ramanathapuram,,9.41553,78.89627,,village
Ilanthaikuttam,,Ramanathapuram,,9.44396,78.89801,,village
Irumeni,,Ramanathapuram,,9.30862,79.03166,,village
Jayamurugan,,Ramanathapuram,,9.20091,78.68111,,village
Kaanjirankudi,,Ramanathapuram,,9.25245,78.81326,,village
Kadaladi,,Ramanathapuram,,9.22255,78.49648,கடலாடி,village
Kadalur,,Ramanathapuram,,9.63014,78.93750,,village
Kadambadenal,,Ramanathapuram,,9.71861,78.99001,,hamlet
Kadugusanthai,,Ramanathapuram,,9.18362,78.50322,கடுகுசந்தை,village
Kadukkaivalasai,,Ramanathapuram,,9.28960,79.01883,,village
