village,taluk,district,census_code,lat,lng,name_ta,place_type
A K Pudhur,,Salem,,11.66378,77.79067,,village
A. Pudur,,Salem,,11.57643,77.95701,,village
A.Thalaiyur,,Salem,,11.53547,77.96290,,hamlet
AD Colony,,Salem,,11.59717,78.63945,,village
Abhinavam,,Salem,,11.66244,78.47065,,village
Achankadu,,Salem,,11.80746,77.77625,,village
Achankuttaipatti,,Salem,,11.75453,78.29300,,village
Achankuttapatty Colony,,Salem,,11.75376,78.29616,,village
Adaikkan KV,,Salem,,11.86039,77.97099,,hamlet
Adappakadu,,Salem,,11.53327,77.99032,,hamlet
Adimalaiputhur,,Salem,,11.76860,78.30206,,hamlet
Aduvappatti,,Salem,,11.71171,77.82221,,hamlet
Agrahara Natta Mangalam,,Salem,,11.68357,78.27972,,village
Akkaraipatty,,Salem,,11.66148,77.83968,,village
Akkichettipalayam,,Salem,,11.60671,78.54376,,village
Aladipatty,,Salem,,11.79979,78.37601,,village
Alagagoundanur,,Salem,,11.83505,77.97007,,hamlet
Alaganampatty,,Salem,,11.82220,78.02652,,village
Alaganur,,Salem,,11.55863,77.96790,,hamlet
Alagappampalayam,,Salem,,11.58641,77.95234,,village
Alagappanur,,Salem,,11.57143,77.92292,,hamlet
Alagapuram,,Salem,,11.61754,78.54961,,village
Alakadu,,Salem,,11.53510,77.87619,,hamlet
Alamarathu patty,,Salem,,11.65049,77.84437,,hamlet
Alamarathukadu,,Salem,,11.59189,77.85392,,hamlet
Alankakattur,,Salem,,11.57238,78.00866,,village
Alankuttai,,Salem,,11.65073,78.27328,,hamlet
Amaragundhi,,Salem,,11.73470,77.96703,,village
Amaram colony,,Salem,,11.85528,77.96481,,hamlet
Amarathanur,,Salem,,11.81642,77.93700,,village
Ambedkar Nagar,,Salem,,11.52834,78.61703,,village
Amerikadu,,Salem,,11.86278,77.89107,,hamlet
Amkottai,,Salem,,11.73594,77.78017,,hamlet
Ammam Koil Kadu,,Salem,,11.68521,77.79729,,hamlet
Ammampalayam,,Salem,,11.59927,78.63806,,village
Amman Kattur,,Salem,,11.54236,77.88748,,hamlet
