village,taluk,district,census_code,lat,lng,name_ta,place_type
Abhisekhāpuram,,Sivagangai,,10.02414,78.91276,,village
Alagamanagari,,Sivagangai,,10.00552,78.47083,அழகமாநகிரி,village
Alangudi,,Sivagangai,,10.04115,78.69204,ஆலங்குடி,village
Alavaakkottai,,Sivagangai,,10.00330,78.51690,,village
Appalai,,Sivagangai,,10.09465,78.97643,,village
Aramanaarai,,Sivagangai,,9.66479,78.70435,,village
Aramanaivayal,,Sivagangai,,10.09285,78.96397,,village
Aranaiyur,,Sivagangai,,9.66043,78.67705,,village
Ariyakkurichi,,Sivagangai,,9.84906,78.58795,அறியாக்குறிச்சி,hamlet
Athangudi,,Sivagangai,,10.15629,78.72699,ஆத்தங்குடி,village
Athikaram,,Sivagangai,,10.09453,78.64029,அதிகரம்,village
Ayyannarkulam,,Sivagangai,,9.88208,78.62441,,hamlet
Azhakapuri,,Sivagangai,,9.85777,78.60060,அழகாபுரி,hamlet
Chinna Kottagudi,,Sivagangai,,10.01338,78.86795,,village
Chokalingampudur,,Sivagangai,,10.15024,78.74468,சொக்கலிங்கம்புதூர்,village
Chokkanathapuram,,Sivagangai,,10.00916,78.58439,சொக்கநாதபுரம்,village
Devakottai,,Sivagangai,,9.94569,78.82691,தேவகோட்டை,town
Dhayapuram,,Sivagangai,,9.71106,78.46191,,village
Elumapatti,,Sivagangai,,10.02641,78.68075,எழுமாபட்டி,hamlet
Harijan Colony,,Sivagangai,,9.81974,78.26986,,village
Ilaiyankudi,,Sivagangai,,9.62687,78.62227,இளையாங்குடி,town
Ilangudi,,Sivagangai,,10.07176,78.69621,இளங்குடி,village
Iruppanpoochi,,Sivagangai,,9.81414,78.63990,இருப்பான்பூச்சி,hamlet
Kadaiyankudi,,Sivagangai,,10.10784,78.95962,,village
Kadappanendal,,Sivagangai,,10.10389,78.96136,,village
Kadappanvayal,,Sivagangai,,10.06178,78.93492,,village
Kalaiyarkovil,,Sivagangai,,9.84407,78.63799,காளையார்கோவில்,town
Kaliyanthur,,Sivagangai,,9.81665,78.22999,,village
Kallal,,Sivagangai,,9.98879,78.66324,கல்லல்,village
Kalunkupatti,,Sivagangai,,9.84808,78.26734,,hamlet
Kambanur,,Sivagangai,,10.07630,78.65984,கம்பனூர்,village
Kanadevi,,Sivagangai,,9.97567,78.81993,கண்டதேவி,village
Kanadukathan,,Sivagangai,,10.17521,78.77845,கானாடுகாத்தான்,village
Kandramanickam,,Sivagangai,,10.04966,78.63041,கண்டரமாணிக்கம்,village
Karaikudi,,Sivagangai,,10.07284,78.77952,காரைக்குடி,city
Karugudi,,Sivagangai,,10.05218,78.69137,கருகுடி,hamlet
Kattatti,,Sivagangai,,9.83792,78.67311,,village
Keelaiyapatti,,Sivagangai,,10.09453,78.66688,கீழையப்பட்டி,village
Keeranippatti,,Sivagangai,,10.04581,78.70538,கீரனிப்பட்டி,village
Keppanur,,Sivagangai,,9.68031,78.45067,,village
Kilapungudi,,Sivagangai,,9.96448,78.49010,கீழப்பூங்குடி,village
Kilaseevalpatti,,Sivagangai,,10.18540,78.66456,கீழச்சிவல்பட்டி,village
Kiriyāniendal,,Sivagangai,,10.01168,78.89948,,village
Kodikulam,,Sivagangai,,10.00281,78.95385,,village
Kollangudi,,Sivagangai,,9.85560,78.59059,கொல்லங்குடி,hamlet
Konarpatti,,Sivagangai,,9.82107,78.13221,,village
Koratti,,Sivagangai,,10.09048,78.69263,கொரட்டி,village
Kothamangalam,,Sivagangai,,10.19260,78.80903,கொத்தமங்களம்,village
Kumarakurichi,,Sivagangai,,9.57289,78.61192,குமாரக்குறிச்சி,village
Kummangudi,,Sivagangai,,10.11293,78.63567,கும்மங்குடி,village
Kundrakudi,,Sivagangai,,10.11449,78.69800,குன்றக்குடி,village
Kākkākottai,,Sivagangai,,10.08876,78.98350,,village
Manalur,,Sivagangai,,9.86309,78.21601,மணலூர்,village
Manamadurai,,Sivagangai,,9.69567,78.45627,மானாமதுரை,town
Maravamangalam,,Sivagangai,,9.76689,78.63998,மறவமங்கலம்,village
Maruthangudi,,Sivagangai,,10.11254,78.66328,மருதங்குடி,village
Melamaganam,,Sivagangai,,10.04640,78.69143,மேலமாகாணம்,village
Mettupatti,,Sivagangai,,9.84900,78.64297,மேட்டுப்பட்டி,hamlet
Mittirāvayal,,Sivagangai,,10.04389,78.90327,,village
Molumbūr,,Sivagangai,,10.09272,78.98156,,village
Mudukkuvayal,,Sivagangai,,10.11242,78.96312,,village
Mādappanendal,,Sivagangai,,10.01506,78.89700,,village
Nachiapuram,,Sivagangai,,10.07843,78.67085,நாச்சியாபுரம்,village
Nallivayal,,Sivagangai,,10.01234,78.85787,,village
Narchaiodai Velanodu,,Sivagangai,,9.67890,78.44484,,village
Narikkudi,,Sivagangai,,10.10380,78.97395,,village
Natarajapuram,,Sivagangai,,9.92086,78.60595,நடராசபுரம்,village
Nattarasankottai,,Sivagangai,,9.86920,78.55452,நாட்டரசன்கோட்டை,village
Nemathampatti,,Sivagangai,,10.18366,78.77078,நேமத்தான்பட்டி,village
Nenmeni,,Sivagangai,,10.02407,78.88317,,village
Nāttichcheri,,Sivagangai,,10.08833,78.94318,,village
Okkur,,Sivagangai,,9.94128,78.51939,ஒக்கூர்,village
Paganeri,,Sivagangai,,9.96749,78.58931,பாகனேரி,village
Palanivayal,,Sivagangai,,10.01699,78.92072,,village
Palavangudi,,Sivagangai,,10.13514,78.72339,பலவான்குடி,village
Pallathur,,Sivagangai,,10.14349,78.80021,பள்ளத்தூர்,village
Palli Chandai,,Sivagangai,,9.86049,78.19044,,hamlet
Panangudi,,Sivagangai,,9.93187,78.61478,பனங்குடி,village
Paruthikkanmoi,,Sivagangai,,9.82615,78.61887,பருத்திக்கண்மாய்,village
Patharakkudi,,Sivagangai,,10.08993,78.72277,பாதரக்குடி,village
Pattamangalam,,Sivagangai,,10.04665,78.60888,பட்டமங்கலம்,village
Pazhaiyur,,Sivagangai,,9.82384,78.25162,,village
Periya Kottagudi,,Sivagangai,,10.01531,78.87962,,village
Periyanāyanārvayal,,Sivagangai,,10.08478,78.92899,,village
Pillayarpatti,,Sivagangai,,10.12256,78.66926,பிள்ளையார்பட்டி,village
Pirambuvayal,,Sivagangai,,10.03786,78.86745,,village
