village,taluk,district,census_code,lat,lng,name_ta,place_type
AD Street,,Thanjavur,,10.40452,79.22266,,hamlet
Aarkadu,,Thanjavur,,10.89625,79.06815,,hamlet
Aarusuthividuthi,,Thanjavur,,10.51019,79.16195,,village
Abiramapuram,,Thanjavur,,11.14706,79.53480,,village
Achampatti,,Thanjavur,,10.67340,78.95053,,village
Achanur,,Thanjavur,,10.87856,79.04989,ஆச்சனூர்,village
Adaikathevan,,Thanjavur,,10.19998,79.25185,,village
Adambai North,,Thanjavur,,10.45749,79.25818,,village
Adambai south,,Thanjavur,,10.44771,79.25931,,village
Adanjur,,Thanjavur,,10.82187,78.98357,,village
Adhanakkottai,,Thanjavur,,10.59461,79.17157,,village
Adhiyambanallur,,Thanjavur,,10.99616,79.31233,,village
Adirampattinam,,Thanjavur,,10.33928,79.38563,அதிராம்பட்டினம்,town
Aduturai,,Thanjavur,,11.01468,79.47912,ஆடுதுரை,village
Advanappatti,,Thanjavur,,10.84547,79.23702,,hamlet
Agaramangudi,,Thanjavur,,10.87388,79.22857,,village
Agarapettai,,Thanjavur,,10.84288,78.90875,,village
Agarathur,,Thanjavur,,11.00946,79.38411,,village
Agaravelur,,Thanjavur,,11.10464,79.53471,,village
Akilanchery,,Thanjavur,,11.12907,79.50357,,hamlet
Akkaraineduntheru,,Thanjavur,,10.73741,79.28854,,hamlet
Akkaraipoondi,,Thanjavur,,10.93826,79.24914,,village
Akkaraivattam,,Thanjavur,,10.52375,79.21805,,village
Akkaraivilvarayanallur,,Thanjavur,,10.91897,79.38472,,hamlet
Akkinathapuram,,Thanjavur,,10.88086,79.12351,,hamlet
Aladikkadu,,Thanjavur,,10.32711,79.30196,,village
Aladikumulai,,Thanjavur,,10.45141,79.30746,,village
Aladinatham,,Thanjavur,,10.87153,79.27234,,village
Aladivettikadu,,Thanjavur,,10.57117,79.19638,,hamlet
Alagesapuram,,Thanjavur,,11.11445,79.54215,,hamlet
Alagirinathanpettai,,Thanjavur,,11.04500,79.42467,,hamlet
Alakiyanayagipuram,,Thanjavur,,10.30836,79.29535,,village
Alakkudi,,Thanjavur,,10.77467,79.05189,ஆலக்குடி,village
Alamankuruchi,,Thanjavur,,11.00917,79.35186,,village
Alamathikadu,,Thanjavur,,10.28649,79.31244,அளமதிக்காடு,village
Alampallam,,Thanjavur,,10.48789,79.36489,,village
Alangudi,,Thanjavur,,10.84923,79.15880,,hamlet
Alankudi,,Thanjavur,,10.80465,79.19897,,village
Alathankudikadu,,Thanjavur,,10.55957,79.30377,,hamlet
Alathur,,Thanjavur,,10.49176,79.34592,,village
Alaveli,,Thanjavur,,11.09840,79.50335,,village
Alisagudy,,Thanjavur,,10.83441,79.03012,,hamlet
Alivalam,,Thanjavur,,10.41683,79.26936,,hamlet
Alivoikkal,,Thanjavur,,10.67198,79.20551,,village
Allur,,Thanjavur,,10.82386,79.02805,,village
Amabalapattu North,,Thanjavur,,10.52852,79.31510,,village
Amabalapattu south,,Thanjavur,,10.51154,79.32007,,village
Ambadumelnagaram,,Thanjavur,,10.84128,79.02413,,village
Ambalapuram,,Thanjavur,,10.35935,79.25195,,hamlet
Ambethkar Nagar,,Thanjavur,,10.87190,78.98892,,hamlet
Ambetkar Nagar,,Thanjavur,,10.91548,79.24468,,village
Ammaiakaram,,Thanjavur,,10.82797,78.99909,,village
Ammaiyandi,,Thanjavur,,10.30466,79.15617,,village
Ammaiyappan,,Thanjavur,,11.11526,79.43746,,village
Ammakulam,,Thanjavur,,10.76319,79.17819,,hamlet
Ammangudi,,Thanjavur,,10.51186,79.18156,,hamlet
Ammangudy,,Thanjavur,,10.82088,79.01713,,hamlet
Ammani Chattram,,Thanjavur,,10.20774,79.25359,அம்மனிச்சத்திரம்,village
Ammanichatram,,Thanjavur,,10.20709,79.25392,,hamlet
Ammanpettai,,Thanjavur,,10.83290,79.12963,அம்மன்பேட்டை,village
Ammapalli Thaikkal,,Thanjavur,,10.93490,79.22689,,hamlet
Ammapet,,Thanjavur,,10.79492,79.31876,அம்மாபேட்டை,village
Ammapettai,,Thanjavur,,10.94842,79.34507,,village
Ammathottam,,Thanjavur,,10.95114,79.40274,,hamlet
Anaikkadu,,Thanjavur,,10.33608,79.22545,,village
Anaikkarai,,Thanjavur,,11.13991,79.45231,,village
Anaikoil,,Thanjavur,,11.09329,79.44525,,hamlet
Anaikudi,,Thanjavur,,11.03524,79.42706,,village
Anaikudy,,Thanjavur,,10.92915,79.13346,,village
Ananthagopalapuram,,Thanjavur,,10.46106,79.21899,,village
Anantheeswarapuram,,Thanjavur,,10.41036,79.22874,,hamlet
Andagudithottam,,Thanjavur,,10.94260,79.30300,,village
Andakkudi,,Thanjavur,,10.95095,79.30467,,village
Andakottai,,Thanjavur,,10.26618,79.13242,,hamlet
Andalampettai,,Thanjavur,,10.97593,79.45451,ஆண்டலாம்பேட்டை,village
Andalur,,Thanjavur,,10.89672,79.44990,,hamlet
Andikadu,,Thanjavur,,10.31141,79.31223,,village
Andinatham,,Thanjavur,,10.66325,79.28982,,hamlet
