village,taluk,district,census_code,lat,lng,name_ta,place_type
Achanakal hatty,,The Nilgiris,,11.38194,76.72248,அச்சனைகள் ஹட்ட்டி,village
Adasolai,,The Nilgiris,,11.44007,76.71815,ஆடாசோலை,village
Ajjoor,,The Nilgiris,,11.44621,76.79576,அஜ்ஜூர்,village
Ambalamoola,,The Nilgiris,,11.57772,76.32395,அம்பலமூலா,village
Anikorai,,The Nilgiris,,11.45865,76.73246,அணிக்கோரை,village
Anil Kadu,,The Nilgiris,,11.43362,76.88746,,village
Anthiyarai,,The Nilgiris,,11.44376,76.98132,,hamlet
Araihatty,,The Nilgiris,,11.29299,76.71756,அரைஹாட்டி,village
Aravenu,,The Nilgiris,,11.40886,76.87402,அரவேணு,village
Athigaratty,,The Nilgiris,,11.33520,76.69706,அதிகாரட்டி,village
Athipalli,,The Nilgiris,,11.52400,76.48879,அத்திப்பள்ளி,village
Ayyankolly,,The Nilgiris,,11.55642,76.31042,அய்யன்கொல்லி,village
Balacola,,The Nilgiris,,11.28882,76.69635,பாலகோலா,village
Banagudi,,The Nilgiris,,11.39183,76.86528,பனகுடி,village
Baralatty,,The Nilgiris,,11.43045,76.77371,பரலாட்டி,village
Bellada,,The Nilgiris,,11.30325,76.70370,பெல்லடா,village
Bengal hatty,,The Nilgiris,,11.28885,76.67800,பேன்கள் ஹாட்டி,village
Benthatty,,The Nilgiris,,11.48404,76.73069,பெந்தட்டி,village
Beragal hatty,,The Nilgiris,,11.45805,76.76227,,village
Beragani,,The Nilgiris,,11.47742,76.86112,,hamlet
Bhaviyur,,The Nilgiris,,11.41955,76.96678,,hamlet
Bickatty,,The Nilgiris,,11.46533,76.68495,பிக்கட்டி,village
Bikketti,,The Nilgiris,,11.24977,76.63143,பிக்கெட்டி ஹாட்டி,village
Billkombai,,The Nilgiris,,11.43498,76.80218,பில்லிகோம்பை,village
Bitherkad,,The Nilgiris,,11.56562,76.37798,பித்தேர்காடு,village
Boys Company,,The Nilgiris,,11.36434,76.77481,,village
Burliar,,The Nilgiris,,11.34404,76.84880,வறளியாறு,village
Buttercombai,,The Nilgiris,,11.41727,76.74139,,village
Byangi,,The Nilgiris,,11.44879,76.81978,பயங்கி,village
Chembakolli,,The Nilgiris,,11.51739,76.52493,செம்பகொல்லி,village
Cherambadi,,The Nilgiris,,11.51666,76.26710,சேரம்பாடி,village
Cherangode,,The Nilgiris,,11.51283,76.31024,சேரங்கோடு,village
Chinnacoonoor,,The Nilgiris,,11.47936,76.73960,சின்னக்குன்னூர்,village
Choladi,,The Nilgiris,,11.55654,76.38997,சோலாடி,village
Colony,,The Nilgiris,,11.33698,76.60528,,hamlet
Coonoor,,The Nilgiris,,11.34594,76.79653,குன்னூர்,town
Denadu hatty,,The Nilgiris,,11.28502,76.67199,தேனாடு ஹாட்டி,village
Devala,,The Nilgiris,,11.47356,76.38003,தேவால,village
Devarshola,,The Nilgiris,,11.54385,76.44030,தேவர்சோலை,village
Dhavani,,The Nilgiris,,11.45357,76.69999,தாவணி,village
Dheenatty,,The Nilgiris,,11.46277,76.79706,தீனட்டி,village
Dhenallai,,The Nilgiris,,11.35020,76.73982,தேனலை,village
Dhimbatty,,The Nilgiris,,11.44017,76.85097,,village
Dhodani,,The Nilgiris,,11.35351,76.73313,தோடணி,village
Doddakombai,,The Nilgiris,,11.25561,76.62437,தோடடகொம்பை,village
Ebbanadu hatty,,The Nilgiris,,11.49206,76.77017,எப்பநாடு,village
Edakadu,,The Nilgiris,,11.29737,76.63906,எடக்காடு,village
Ellada,,The Nilgiris,,11.47867,76.90750,,hamlet
Emerald,,The Nilgiris,,11.32052,76.62471,,village
Erumad,,The Nilgiris,,11.56879,76.25887,எருமாடு,village
Gandhinagar,,The Nilgiris,,11.51975,76.91302,காந்தி நகர்,hamlet
Gandhipuram,,The Nilgiris,,11.33580,76.79753,காந்திபுரம்,village
Glenmorgan,,The Nilgiris,,11.49869,76.60804,க்ளென்மார்கன்,village
Gudalur,,The Nilgiris,,11.49924,76.49239,கூடலூர்,town
Guruvegowdanhundi,,The Nilgiris,,11.60076,76.69459,,village
Haliyur,,The Nilgiris,,11.44300,76.85668,,hamlet
