village,taluk,district,census_code,lat,lng,name_ta,place_type
Agamalai,,Theni,,10.10949,77.42173,,village
Alagapuri,,Theni,,9.90912,77.60491,,village
Ammapatti,,Theni,,9.95749,77.37377,அம்மாபட்டி,village
Anaimalaiyanpatti,,Theni,,9.78166,77.34577,ஆனைமலையான்பட்டி,village
Andipatti Jakkampatty,,Theni,,9.99870,77.61981,ஆண்டிப்பட்டி,town
Aruna Estate,,Theni,,9.53133,77.37710,,hamlet
Avarampatti,,Theni,,9.90491,77.61255,,village
Ayyampatty,,Theni,,9.86604,77.35454,அய்யம்பட்டி,village
B. Ammapatti,,Theni,,9.97410,77.36393,பி.அம்மாபட்டி,village
B. Meenakshipuram,,Theni,,9.99089,77.37047,பி.மீனாட்சிபுரம்,village
Bhadrakalipuram,,Theni,,9.97287,77.39299,பத்ரகாளிபுரம்,village
Bodimettu,,Theni,,10.01989,77.26455,போடிமெட்டு,village
Bodinayakkanur,,Theni,,10.00876,77.34952,போடிநாயக்கனூர்,town
Boothipuram,,Theni,,10.00348,77.44542,பூதிபுரம்,village
Chinnamanur,,Theni,,9.84159,77.38494,சின்னமனூர்,village
Cumbum,,Theni,,9.73941,77.28530,கம்பம்,town
Devadānappatti,,Theni,,10.14595,77.64375,தேவதானப்பட்டி,town
Dharmapuri,,Theni,,9.89585,77.44241,தர்மபுரி,village
Dombucheri,,Theni,,9.96000,77.39163,டொம்புச்சேரி,village
Durairajapuram,,Theni,,10.00194,77.38645,துரைராஜபுரம்,village
Erasakkanayakkanur,,Theni,,9.79122,77.39614,எரசக்கநாயக்கனூர்,village
Eravangalar,,Theni,,9.60742,77.31208,இரவங்கலாறு,village
Gandhigramam,,Theni,,9.65276,77.46196,காந்திகிராமம்,village
Gokilapuram,,Theni,,9.78922,77.34448,கோகிலாபுரம்,village
Govindanagaram,,Theni,,9.90874,77.50404,கோவிந்தநகரம்,village
Gudalur,,Theni,,9.67932,77.24369,கூடலூர்,village
Gullapuram,,Theni,,10.06584,77.64365,குள்ளப்புரம்,village
Jakkammalpatty,,Theni,,9.92489,77.60352,ஜக்கம்மாள்பட்டி,village
Jeyamangalam,,Theni,,10.09343,77.61081,ஜெயமங்கலம்,village
Kadamalaikundu,,Theni,,9.81173,77.50365,கடமலைக்குண்டு,village
Kamakkapatti,,Theni,,10.17857,77.66701,காமக்காபட்டி,village
Kamarajapuram,,Theni,,9.97336,77.40565,காமராஜபுரம்,village
