village,taluk,district,census_code,lat,lng,name_ta,place_type
Adaikalpuram,,Thoothukkudi,,8.53355,78.09952,அடைக்கலாபுரம்,village
Adichanallur,,Thoothukkudi,,8.63338,77.89091,ஆதிச்சநல்லூர்,village
Ahamadhupuram,,Thoothukkudi,,8.99814,78.24744,,hamlet
Alampatti,,Thoothukkudi,,9.16038,77.83651,,village
Alanthalai,,Thoothukkudi,,8.46582,78.09977,ஆலந்தலை,village
Alwarthirunagari,,Thoothukkudi,,8.60687,77.94391,ஆழ்வார்திருநகரி,village
Ariyanayakipuram,,Thoothukkudi,,9.11213,78.25213,அரியநாயகிபுரம்,village
Arumuganeri,,Thoothukkudi,,8.56996,78.09567,ஆறுமுகநேரி,village
Athisayapuram,,Thoothukkudi,,8.33821,77.92194,அதிசயபுரம்,village
Athoor,,Thoothukkudi,,8.62173,78.06997,ஆத்தூர்,village
Ayyanaruthu,,Thoothukkudi,,8.94466,77.70058,அய்யனாரூத்து,village
Cherakulam,,Thoothukkudi,,8.57738,77.82182,சேரகுளம்,village
Chettikurichi,,Thoothukkudi,,9.06063,77.74682,செட்டிகுறிச்சி,village
Chittavanayakkanpatti,,Thoothukkudi,,9.15104,78.13742,,village
Duraisamypuram,,Thoothukkudi,,9.13868,77.88944,துரைசாமிபுரம்,village
Duraiswamipuram,,Thoothukkudi,,9.18259,77.73089,,hamlet
Eral,,Thoothukkudi,,8.62538,78.02287,ஏரல்,village
Ettaiyapuram,,Thoothukkudi,,9.14852,77.99716,எட்டையபுரம்,town
Ganesapuram,,Thoothukkudi,,8.47167,78.09880,,village
Idaichivillazhi,,Thoothukkudi,,8.35329,77.89030,,village
Ilambhuvanam,,Thoothukkudi,,9.15200,77.96881,இளம்புவனம்,village
Kadambur,,Thoothukkudi,,8.99973,77.86198,கடம்பூர்,village
Kaliyavur,,Thoothukkudi,,8.76616,77.82527,கலியாவூர்,village
Kamalapuram,,Thoothukkudi,,9.11928,78.14033,,village
Kambattupatti,,Thoothukkudi,,9.32668,78.16360,,village
Kammapatti,,Thoothukkudi,,9.15427,78.17430,,village
Kannimarkuttam,,Thoothukkudi,,9.07940,78.25439,,village
Kanthasamypuram,,Thoothukkudi,,8.47401,78.10369,கந்தசாமிபுரம்,village
Karungulam,,Thoothukkudi,,8.64211,77.85181,கருங்குளம்,village
Kattalampatti,,Thoothukkudi,,9.13597,78.17927,,village
