village,taluk,district,census_code,lat,lng,name_ta,place_type
A.Mettupatti,,Tiruchirappalli,,10.50389,78.39951,,hamlet
Aanaiyur,,Tiruchirappalli,,10.61908,78.38425,,village
Aarasangudi,,Tiruchirappalli,,10.81910,78.81817,,village
Aattukaranpannai,,Tiruchirappalli,,10.91786,78.68113,,village
Abhinimangalam,,Tiruchirappalli,,11.06571,78.66900,,village
Adaikalanpatti,,Tiruchirappalli,,10.46770,78.44760,,hamlet
Adaikampatti,,Tiruchirappalli,,10.40705,78.40043,,village
Adanur,,Tiruchirappalli,,11.06146,78.57264,,village
Adavai Palayam,,Tiruchirappalli,,10.82072,78.60686,,village
Adavathur,,Tiruchirappalli,,10.81636,78.61902,அதவத்தூர்,village
Adhigudi,,Tiruchirappalli,,10.87397,78.85717,,village
Adikkampatty,,Tiruchirappalli,,10.53351,78.41829,,hamlet
Agalanganallurr,,Tiruchirappalli,,10.90137,78.81283,,village
Agraharam,,Tiruchirappalli,,10.91039,78.55130,,village
Akhilandampatti,,Tiruchirappalli,,11.06540,78.50663,,village
Akilandapuram,,Tiruchirappalli,,10.87576,78.73172,அகிலாண்டபுரம்,village
Akkaraipatti,,Tiruchirappalli,,10.95978,78.73071,,village
Akkiyampatti,,Tiruchirappalli,,10.35745,78.34649,,village
Akkulampatti,,Tiruchirappalli,,10.46184,78.45926,,hamlet
Alagakavundanpatti,,Tiruchirappalli,,10.43080,78.37425,,hamlet
Alaganpatti,,Tiruchirappalli,,10.49485,78.41082,,hamlet
Alagapatty,,Tiruchirappalli,,10.98429,78.44892,,village
Alagappanaickanpatti,,Tiruchirappalli,,10.70089,78.32778,,hamlet
Alagapuri,,Tiruchirappalli,,10.46656,78.47927,,village
Alagarai,,Tiruchirappalli,,10.98246,78.38906,,village
Alagiyamanavalam,,Tiruchirappalli,,10.90922,78.67458,,village
Alagugoundanpatti,,Tiruchirappalli,,10.47357,78.34430,,village
Alaguperumalpatti,,Tiruchirappalli,,10.99951,78.54505,,village
Alagureddiyapatti,,Tiruchirappalli,,10.68100,78.49536,,hamlet
Alambadi,,Tiruchirappalli,,10.90688,79.00047,,village
Alambakkam,,Tiruchirappalli,,10.92585,78.95526,,village
Alampalayam,,Tiruchirappalli,,10.99234,78.20334,ஆலம்பாளையம்,village
Alampatti,,Tiruchirappalli,,10.44907,78.35808,,hamlet
Alampatti Pudur,,Tiruchirappalli,,10.68980,78.52238,,village
Alangampatti,,Tiruchirappalli,,10.43369,78.36651,,hamlet
Alangudi Mahajanam,,Tiruchirappalli,,10.89202,78.92677,,village
Alathur,,Tiruchirappalli,,10.57993,78.35512,,village
Alattudaiyanpatti,,Tiruchirappalli,,11.21144,78.46730,,village
Alavanthanallur,,Tiruchirappalli,,10.83154,78.64450,ஆளவந்தான் நல்லூர்,village
Alingipallam,,Tiruchirappalli,,10.97451,78.43107,,village
Alinjikarai,,Tiruchirappalli,,10.91064,78.66181,,village
Alipatty,,Tiruchirappalli,,10.64642,78.41681,,village
Aliyapuram,,Tiruchirappalli,,11.01714,78.28113,,village
