village,taluk,district,census_code,lat,lng,name_ta,place_type
Adaichani,,Tirunelveli,,8.74816,77.45699,அடைச்சாணி,village
Aiyanarkulam,,Tirunelveli,,8.73000,77.40334,அய்யனார்குளம்,village
Alagiyapandiyapuram,,Tirunelveli,,8.91134,77.64801,அழகியபாண்டியபுரம்,village
Alangaraperi,,Tirunelveli,,8.80678,77.77519,அலங்காரப்பேரி,village
Alavanthankulam,,Tirunelveli,,8.87144,77.70854,அலவந்தான்குளம்,village
Alwarkuruchi,,Tirunelveli,,8.78260,77.39857,ஆழ்வார்குறிச்சி,town
Ambalavanapuram,,Tirunelveli,,8.23737,77.57522,,hamlet
Ambasamudram,,Tirunelveli,,8.70389,77.44755,அம்பாசமுத்திரம்,town
Anaikudi,,Tirunelveli,,8.30379,77.87263,ஆனைக்குடி,village
Anainthanadarpatti,,Tirunelveli,,8.79923,77.47477,அணைந்தநாடார்பட்டி,village
Anthonyaarpuram,,Tirunelveli,,8.35773,77.84682,அந்தோணியார்புரம்,village
Ariyanayakipuram,,Tirunelveli,,8.72110,77.54481,அரியநாயகிபுரம்,village
Athangarai Pallivasal,,Tirunelveli,,8.26278,77.80051,ஆத்தங்கரை பள்ளிவாசல்,village
Avanaperi,,Tirunelveli,,8.75149,77.77884,ஆவணப்பேரி,village
Avarikulam,,Tirunelveli,,8.23252,77.57973,ஆவரைகுளம்,village
Avudaiyalpuram,,Tirunelveli,,8.19677,77.76737,ஆவுடையாள்புரம்,village
Azagappuram,,Tirunelveli,,8.41007,77.84654,அழகப்பாபுரம்,village
Brahmadesam,,Tirunelveli,,8.73072,77.44683,பிரம்மதேசம்,village
Burkit Managaram,,Tirunelveli,,8.75072,77.79640,பர்கிட் மாநகரம்,village
Cheranmahadevi,,Tirunelveli,,8.68202,77.56485,சேரன்மகாதேவி,town
Chettikulam,,Tirunelveli,,8.16022,77.61636,செட்டிகுளம்,village
Chidambarapuram,,Tirunelveli,,8.25957,77.75023,சிதம்பரபுரம்,village
Chintamani,,Tirunelveli,,8.54811,77.81440,சிந்தாமணி,village
Dalapathi Samudram,,Tirunelveli,,8.43358,77.64116,தளபதி சமுத்திரம்,village
Danakkarkulam,,Tirunelveli,,8.26035,77.64062,தனக்கர்குளம்,village
Devanallur,,Tirunelveli,,8.54817,77.59108,தேவநல்லூர்,village
Dohnavur,,Tirunelveli,,8.46230,77.58247,டோனாவூர்,village
Dohnnavur,,Tirunelveli,,8.46223,77.58233,,village
Erukkandurai,,Tirunelveli,,8.18789,77.64897,இருக்கந்துறை,village
Eruvadi,,Tirunelveli,,8.44401,77.60503,ஏர்வாடி,village
Ettankulam,,Tirunelveli,,8.86480,77.61859,எட்டான்குளம்,village
Fathimapuram,,Tirunelveli,,8.22135,77.77729,பாத்திமாபுரம்,village
Gangaikondan,,Tirunelveli,,8.85816,77.77914,கங்கைகொண்டான்,village
Gopalasamudram,,Tirunelveli,,8.67445,77.63822,கோபாலசமுத்திரம்,village
Idaikal,,Tirunelveli,,8.75330,77.46455,இடைகால்,village
Idaiyankulam,,Tirunelveli,,8.58236,77.58397,இடையன்குளம்,village
Idayankudi,,Tirunelveli,,8.31280,77.88166,இடையன்குடி,village
Idinthakarai,,Tirunelveli,,8.17875,77.74509,இடிந்தக்கரை,village
Ittamozhi,,Tirunelveli,,8.39512,77.84966,இட்டமொழி,village
Jacobpuram,,Tirunelveli,,8.20833,77.60115,யாக்கோபுபுரம்,village
Kabaliparai,,Tirunelveli,,8.75007,77.48661,கபாலிபாறை,village
Kadayam,,Tirunelveli,,8.82279,77.37404,கடையம்,town
Kadayam Perumpattu,,Tirunelveli,,8.86080,77.35081,கடையம் பெரும்பட்டு,village
Kalakkad,,Tirunelveli,,8.51301,77.55760,களக்காடு,village
Kalakudi,,Tirunelveli,,8.89528,77.60320,கலக்குடி,village
Kalanthapanai,,Tirunelveli,,8.34791,77.59164,கலந்தபனை,village
Kalikumarapuram,,Tirunelveli,,8.26257,77.85231,,hamlet
Kalitheerthanpatti,,Tirunelveli,,8.78535,77.45789,கலிதீர்த்தான்பட்டி,village
Kallidaikurichchi,,Tirunelveli,,8.68358,77.46374,கல்லிடைக்குறிச்சி,town
Kallikulam,,Tirunelveli,,8.35293,77.66220,கள்ளிகுளம்,village
Kalungadi,,Tirunelveli,,8.48951,77.62599,கலுங்கடி,village
Kalyanipuram,,Tirunelveli,,8.78962,77.35093,கல்யாணிபுரம்,village
Kammalankulam,,Tirunelveli,,8.77700,77.66208,கம்மாளன்குளம்,village
Kanakankulam,,Tirunelveli,,8.24126,77.77051,கணக்கன்குளம்,hamlet
Kanganankulam,,Tirunelveli,,8.61555,77.56864,கங்கனாங்குளம்,village
Karaichuthupudur,,Tirunelveli,,8.28633,77.83948,கரைசுத்துபுதூர்,village
Karaiyiruppu,,Tirunelveli,,8.76669,77.71520,கரையிருப்பு,village
Karanthaneri,,Tirunelveli,,8.54751,77.67810,கரந்தநெறி,village
Karisalpatti,,Tirunelveli,,8.60937,77.58009,கரிசல்பட்டி,village
Karisulndamangalam,,Tirunelveli,,8.68550,77.59554,கரிசூழ்ந்தமங்கலம்,village
