village,taluk,district,census_code,lat,lng,name_ta,place_type
Aanagur,,Tiruppur,,10.79821,77.81747,,hamlet
Alangiyam,,Tiruppur,,10.65572,77.49648,அலங்கியம்,village
Andhiyur,,Tiruppur,,10.60776,77.17315,அந்தியூர்,village
Andiyur,,Tiruppur,,10.53367,77.07697,ஆண்டியூர்,village
Arakulam,,Tiruppur,,10.99078,77.20624,ஆறாக்குளம்,village
Attampalayam,,Tiruppur,,10.95300,77.66014,,hamlet
Attumalaikudi,,Tiruppur,,10.37562,77.18075,,hamlet
Avinashi,,Tiruppur,,11.19001,77.26799,அவிநாசி,town
Avinashipalayam,,Tiruppur,,10.96949,77.43542,அவிநாசிபாளையம்,village
Ayyampalayam,,Tiruppur,,10.98361,77.22318,அய்யம்பாளையம்,village
Chengapalli,,Tiruppur,,11.19893,77.42221,செங்கப்பள்ளி,village
Chinnar Chauki,,Tiruppur,,10.35551,77.22053,,hamlet
Chinnaveerampatti,,Tiruppur,,10.61498,77.25556,சின்னவீரம்பட்டி,village
Dasanaikenpatti,,Tiruppur,,10.63343,77.53735,தாசநாயக்கன்பட்டி,village
Devanurpudur,,Tiruppur,,10.55104,77.08742,தேவனூர்புதூர்,village
Dhali,,Tiruppur,,10.51124,77.18826,தளி,village
Dharapuram,,Tiruppur,,10.73691,77.52610,தாராபுரம்,town
Elappanayakkanur,,Tiruppur,,10.75511,77.55224,,village
Ellaikattupudur,,Tiruppur,,10.97328,77.63115,,village
Erisanampatti,,Tiruppur,,10.54629,77.11702,எரிசனம்பட்டி,village
Erumaisoikudi,,Tiruppur,,10.36313,77.15535,,hamlet
Ganapathipalayam,,Tiruppur,,10.60848,77.21614,கணபதிபாளையம்,village
Gudimangalam,,Tiruppur,,10.68925,77.28144,குடிமங்கலம்,village
Idayankinaru,,Tiruppur,,10.84361,77.47155,இடையன்கிணறு,village
Idayarpalayam,,Tiruppur,,10.98428,77.18036,இடையர்பாளையம்,village
Ilaiyamuttur,,Tiruppur,,10.48380,77.29717,இளையமுத்தூர்,village
Illiyampatti,,Tiruppur,,10.79475,77.62823,,village
Jallipatti,,Tiruppur,,10.50717,77.20305,ஜல்லிப்பட்டி,village
Kaathapullavampatti,,Tiruppur,,10.80674,77.48628,,village
Kalipalayam,,Tiruppur,,10.76299,77.57039,,village
Kalleri,,Tiruppur,,11.05336,77.57750,,village
Kallipalayam,,Tiruppur,,10.91378,77.33073,கள்ளிப்பாளையம்,village
Kamanaickenpalayam,,Tiruppur,,10.90669,77.21905,காமநாயக்கன்பாளையம்,village
