village,taluk,district,census_code,lat,lng,name_ta,place_type
Abbirajukandriga,,Tiruvallur,,13.12102,79.36086,,hamlet
Adhivaragapuram,,Tiruvallur,,13.13517,79.44124,,village
Agoor,,Tiruvallur,,13.17567,79.57469,,village
Alamadhi,,Tiruvallur,,13.20984,80.11012,அலமாதி,village
Alathur,,Tiruvallur,,13.15888,80.04321,ஆலத்தூர்,village
Ambattur,,Tiruvallur,,13.11872,80.15398,அம்பத்தூர்,town
Ammavarikuppa,,Tiruvallur,,13.17790,79.41790,,village
Angadu,,Tiruvallur,,13.22722,80.18698,,hamlet
Annamalaicheri,,Tiruvallur,,13.45688,80.26197,,village
Arambakkam,,Tiruvallur,,13.54257,80.06960,ஆரம்பாக்கம்,village
Arani,,Tiruvallur,,13.33104,80.08357,ஆரணி,town
Arcot Kuppam,,Tiruvallur,,13.21186,79.71180,,village
Arcotkuppam Colony,,Tiruvallur,,13.20716,79.71244,,village
Ariyalur,,Tiruvallur,,13.19187,80.25074,அரியலூர்,hamlet
Arumbakkam,,Tiruvallur,,13.23400,79.96738,அரும்பாக்கம்,village
Arundadipalaiyam,,Tiruvallur,,13.11518,79.28738,,hamlet
Athinjeri,,Tiruvallur,,13.26323,79.42300,,hamlet
Attimanjeripet,,Tiruvallur,,13.25473,79.43409,,village
Avadi,,Tiruvallur,,13.11901,80.09357,ஆவடி,city
Ayyakolathur,,Tiruvallur,,12.99222,79.93380,அய்யாகொளத்தூர்,village
Bangalatottam,,Tiruvallur,,13.21549,79.70498,,village
Bangarupet,,Tiruvallur,,13.20279,80.08812,,village
Basuvanpalayam,,Tiruvallur,,13.27341,80.22470,,hamlet
Beerakuppam,,Tiruvallur,,13.16669,79.50439,,village
Bethelpuram,,Tiruvallur,,13.11119,79.29127,,hamlet
Bhadrajukandigai,,Tiruvallur,,13.17510,79.46347,,village
Budur,,Tiruvallur,,13.23823,80.20054,,village
C.P. kandigai,,Tiruvallur,,13.17807,79.45340,,village
Chellathur,,Tiruvallur,,13.16501,79.44683,,village
Chennivakkam,,Tiruvallur,,13.29042,80.16450,,village
Chettimedu,,Tiruvallur,,13.18339,80.22881,,hamlet
Chettipedu,,Tiruvallur,,13.02441,80.02289,,village
Chiana Mangodu,,Tiruvallur,,13.48807,80.20008,,village
Chinna Echankuzhi,,Tiruvallur,,13.22306,80.27215,,hamlet
Chinna Madiyur,,Tiruvallur,,13.26779,80.24099,,hamlet
Chinna Nagapundi,,Tiruvallur,,13.11569,79.36550,,village
Chinna Ramapuram,,Tiruvallur,,13.10324,79.36112,,village
Chinnambedu,,Tiruvallur,,13.32071,80.11969,,village
Chivvada,,Tiruvallur,,13.27685,79.67634,,village
Danduraja Kandigai,,Tiruvallur,,13.22918,79.69793,,village
Devalabapuram Colony,,Tiruvallur,,13.11851,79.33235,,hamlet
Devalambapuram,,Tiruvallur,,13.12678,79.33029,,village
Echambadi,,Tiruvallur,,13.33393,79.44885,,village
Edikkapettai,,Tiruvallur,,13.33430,79.47521,,village
Egattur,,Tiruvallur,,13.10783,79.88558,,village
Egumadurai,,Tiruvallur,,13.53845,80.01060,எகுமதுரை,village
Elavur,,Tiruvallur,,13.46349,80.11265,எளாவூர்,village
Ex Servicemen's Colony,,Tiruvallur,,13.08728,79.99136,,village
Gangaiadikuppam,,Tiruvallur,,13.28455,80.19955,,village
Gnayaru,,Tiruvallur,,13.26176,80.21668,,village
Gollapalli,,Tiruvallur,,13.28324,79.44827,,village
Gopalapuram,,Tiruvallur,,13.11259,79.35416,கோபாலபுரம்,village
Gounderpalayam,,Tiruvallur,,13.24308,80.27265,கவுண்டர்பாளையம்,hamlet
Gulur,,Tiruvallur,,13.21051,79.77519,,village
Gummidipoondi,,Tiruvallur,,13.41671,80.12709,கும்மிடிப்பூண்டி,town
Inam Agaram,,Tiruvallur,,13.27645,80.18058,,village
Irudalavaripattadai,,Tiruvallur,,13.31645,79.42361,,village
Jagannathapuram,,Tiruvallur,,13.27423,80.18020,,village
Jamin Korattur,,Tiruvallur,,13.07843,80.01870,,village
Jyothi nagar,,Tiruvallur,,13.23541,79.69793,,village
K G Khandriga,,Tiruvallur,,13.17340,79.51459,,village
Kadhavur,,Tiruvallur,,13.17971,80.06286,,village
Kalaiyanoor Kandigai,,Tiruvallur,,13.16536,80.02158,,village
Kalambakkam,,Tiruvallur,,13.14583,79.96305,களம்பாக்கம்,village
Kamavarpalayam,,Tiruvallur,,13.24569,80.16945,,hamlet
Kammavarpalayam,,Tiruvallur,,13.34603,80.24022,,village
Kanakammachathram,,Tiruvallur,,13.20619,79.74939,,town
Kanchiguruvarajukandigai,,Tiruvallur,,13.16926,79.53246,,village
Kanchipadi,,Tiruvallur,,13.21245,79.78599,,village
Kandigai,,Tiruvallur,,13.23331,80.20942,,hamlet
Kannampalayam,,Tiruvallur,,13.20156,80.22541,கண்ணம்பாளையம்,village
Kanniammapalayam,,Tiruvallur,,13.27589,80.21284,,hamlet
Kannikapuram,,Tiruvallur,,13.21336,80.09816,,village
Kanniyampettai,,Tiruvallur,,13.19271,80.25570,,hamlet
Kannur,,Tiruvallur,,12.98298,79.84013,,village
Karamangalam,,Tiruvallur,,13.17269,79.55480,,village
Karlambakkam,,Tiruvallur,,13.26849,79.44001,,village
Kattur,,Tiruvallur,,13.35348,80.28417,,village
Kavalcheri,,Tiruvallur,,13.07733,80.06005,,village
Kavaraipettai,,Tiruvallur,,13.36331,80.13930,கவரைப்பேட்டை,village
Keelachery,,Tiruvallur,,13.02559,79.84745,கீழச்சேரி,village
Kilkondaiyur,,Tiruvallur,,13.17954,80.04491,கீழ்கொண்டையூர்,village
Kilmanambedu,,Tiruvallur,,13.06335,80.05021,கீழ்மணம்பேடு,village
Kodipallam,,Tiruvallur,,13.23488,80.22783,,hamlet
Kodivalasa,,Tiruvallur,,13.25467,79.42507,,village
Koduvali,,Tiruvallur,,13.20039,80.07339,,village
Koduvalli,,Tiruvallur,,13.20325,79.73217,,village
Kolathur,,Tiruvallur,,13.33401,79.48293,,village
Komakkambedu,,Tiruvallur,,13.19427,80.02740,,village
Konasamudram,,Tiruvallur,,13.27321,79.45820,,village
Kondancheri,,Tiruvallur,,13.03605,79.83784,,village
Koovam,,Tiruvallur,,13.02093,79.82642,,village
Kottaindlu,,Tiruvallur,,13.32814,79.52025,,village
Kottamedu,,Tiruvallur,,13.09435,80.00833,,village
Krishnakuppam,,Tiruvallur,,13.16686,79.44996,,village
Krishnakuppam medu,,Tiruvallur,,13.17112,79.45197,,village
Kudapakkam,,Tiruvallur,,13.07560,79.99439,,village
Kumarakuppam,,Tiruvallur,,13.17181,79.58635,,village
Kumararajupettai,,Tiruvallur,,13.31234,79.44180,,village
Kuppalamadugu,,Tiruvallur,,13.32741,79.87157,,village
Kuppam,,Tiruvallur,,13.20580,79.69364,,village
Kuthambakkam,,Tiruvallur,,13.05795,80.02819,,village
Lakshmi puram,,Tiruvallur,,13.33946,80.21397,,village
Lakshmipuram,,Tiruvallur,,13.21915,79.76914,,village
Lighthouse Kuppam,,Tiruvallur,,13.41977,80.32607,,hamlet
Lingamanayudukandigai,,Tiruvallur,,13.17648,79.53266,,village
Madarapakkam,,Tiruvallur,,13.44496,79.98188,,village
Madhavaram,,Tiruvallur,,13.14215,80.23238,மாதவரம்,town
Madiyur,,Tiruvallur,,13.27237,80.23510,,hamlet
Maduravoyal,,Tiruvallur,,13.06017,80.16660,மதுரவாயல்,town
Magaral,,Tiruvallur,,13.20488,80.04643,,village
Mahankalipuram,,Tiruvallur,,13.15414,79.35889,,village
Manali,,Tiruvallur,,13.18106,80.26942,மணலி,town
Mappedu,,Tiruvallur,,13.03307,79.85303,,village
Mapushkanpet,,Tiruvallur,,13.24762,80.21662,,hamlet
Marampedu,,Tiruvallur,,13.23011,80.21010,,hamlet
Melakondaiyur,,Tiruvallur,,13.18603,80.02391,மேலகொண்டையூர்,village
Melappedu,,Tiruvallur,,13.15647,80.03697,,village
Melnallathur,,Tiruvallur,,13.08059,79.90839,மேல்நல்லத்தூர்,village
Mettukandigal,,Tiruvallur,,13.09519,79.99191,,village
Mettupalayam,,Tiruvallur,,13.24199,80.11377,,village
Mettuthangal,,Tiruvallur,,13.05857,80.04201,,hamlet
Meyyur,,Tiruvallur,,13.06479,79.99206,,village
Minjur,,Tiruvallur,,13.27861,80.25777,மீஞ்சூர்,town
