village,taluk,district,census_code,lat,lng,name_ta,place_type
Adanūr,,Tiruvannamalai,,12.71122,79.31185,,village
Adayapulam,,Tiruvannamalai,,12.71164,79.26923,,village
Adivāram,,Tiruvannamalai,,12.28939,78.69279,,village
Agrahārapālaiyam,,Tiruvannamalai,,12.70645,79.24717,,village
Aiyampettai,,Tiruvannamalai,,12.64113,79.23447,,village
Akkūr,,Tiruvannamalai,,12.69142,79.38564,,village
Alagusenai,,Tiruvannamalai,,12.72958,79.15186,,village
Alanjanūr,,Tiruvannamalai,,12.58238,78.88776,,village
Alantāngal,,Tiruvannamalai,,12.76690,79.25659,,village
Allikondapattu,,Tiruvannamalai,,12.09081,79.07933,அல்லிகொண்டாப்பட்டு,village
Ambatankollai,,Tiruvannamalai,,12.54585,78.94780,,village
Amirthi,,Tiruvannamalai,,12.72940,79.05772,,village
Ammiyampattu,,Tiruvannamalai,,12.69464,79.27483,,village
Anandavadi,,Tiruvannamalai,,12.25641,78.65807,,hamlet
Anantapuram,,Tiruvannamalai,,12.68843,79.12377,,village
Andampallam,,Tiruvannamalai,,12.08901,79.16680,அண்டம்பள்ளம்,village
Aniyagal,,Tiruvannamalai,,12.63406,79.24065,,village
Appanellūr,,Tiruvannamalai,,12.73428,79.17472,,village
Appantāngal,,Tiruvannamalai,,12.73693,79.30451,,village
Arani,,Tiruvannamalai,,12.66770,79.28528,ஆரணி,town
Arasavali,,Tiruvannamalai,,12.64728,78.92200,,village
Ariyankuppam,,Tiruvannamalai,,12.71254,79.14135,,village
Ariyapādi,,Tiruvannamalai,,12.71378,79.22572,,village
Attimalaippattu,,Tiruvannamalai,,12.72399,79.18295,,village
Attipattu,,Tiruvannamalai,,12.56855,78.89025,,village
Attiyanūr,,Tiruvannamalai,,12.52847,78.89621,,village
Ayamapudur,,Tiruvannamalai,,12.10851,79.05563,அயமாபுதூர்,village
Ayil Reddipalayam,,Tiruvannamalai,,12.10927,79.08668,ஆயில் ரெட்டிபாளையம்,village
Ayyampālaiyam,,Tiruvannamalai,,12.69255,79.18025,,village
Banganūr,,Tiruvannamalai,,12.59896,78.99876,,village
Burgūr,,Tiruvannamalai,,12.64645,78.91960,,village
Chekkalianūr,,Tiruvannamalai,,12.73822,79.23711,,village
Chengam,,Tiruvannamalai,,12.30759,78.79314,செங்கம்,town
Cheri,,Tiruvannamalai,,12.67536,79.21934,,village
Chetpet,,Tiruvannamalai,,12.46624,79.35073,சேத்துப்பட்டு,town
Cheyyar,,Tiruvannamalai,,12.65639,79.54046,செய்யாறு,town
Chinnakovilūr,,Tiruvannamalai,,12.67076,78.98797,,village
Chinnapushpagiri,,Tiruvannamalai,,12.65272,79.15400,,village
Chinnaputtur,,Tiruvannamalai,,12.69407,79.13976,,hamlet
Chinnasamudram,,Tiruvannamalai,,12.30787,78.74741,,village
Chinnathankuppam,,Tiruvannamalai,,12.65953,78.99885,,village
Chinnattūr,,Tiruvannamalai,,12.72571,79.33468,,village
Chinnavavvākuttai,,Tiruvannamalai,,12.55331,78.87214,,village
Chinnavirapathi,,Tiruvannamalai,,12.69347,78.99949,,village
Chinnayyampālaiyam,,Tiruvannamalai,,12.69188,79.16137,,village
Chinnāyakanperurdai,,Tiruvannamalai,,12.75549,79.27340,,village
Chintalūr,,Tiruvannamalai,,12.57643,78.88222,,village
Dasarāpettai,,Tiruvannamalai,,12.67401,79.32599,,village
Dombarātti,,Tiruvannamalai,,12.55882,78.92132,,village
Ekambaranellūr,,Tiruvannamalai,,12.68428,79.17761,,village
Elantampattu,,Tiruvannamalai,,12.67183,79.05174,,village
Eraiur,,Tiruvannamalai,,12.27709,78.89783,,hamlet
Erikuppam,,Tiruvannamalai,,12.65110,79.20220,,village
Erumayanur,,Tiruvannamalai,,12.54933,78.93012,,village
Ettimarathūr,,Tiruvannamalai,,12.64653,78.91587,,village
Fakīrtakkā,,Tiruvannamalai,,12.69100,79.29599,,village
Gundalattur,,Tiruvannamalai,,12.59025,78.91681,,village
Gundrendi,,Tiruvannamalai,,12.57596,78.87148,,village
Hasanamapet,,Tiruvannamalai,,12.74708,79.52598,ஹாசனமபேட்,village
Irmayanūr,,Tiruvannamalai,,12.50978,78.89583,,village
Irumbedu,,Tiruvannamalai,,12.69163,79.30541,,village
Irumbili,,Tiruvannamalai,,12.74630,79.12214,,village
Jadayanūr,,Tiruvannamalai,,12.64042,78.93509,,village
Jamanamarathūr,,Tiruvannamalai,,12.59645,78.88903,சமுனாமரத்தூர்,village
Jambadi,,Tiruvannamalai,,12.57970,78.92067,,village
Kadaladi,,Tiruvannamalai,,12.40443,78.96742,கடலாடி,village
Kalambur,,Tiruvannamalai,,12.63251,79.21975,களம்பூர்,town
Kalasapakkam,,Tiruvannamalai,,12.43454,79.09830,கலசப்பாக்கம்,village
Kalkkalantāngal,,Tiruvannamalai,,12.66107,79.23627,,village
Kalkuppam,,Tiruvannamalai,,12.71742,79.13601,,village
Kallattūr,,Tiruvannamalai,,12.59557,78.99790,,village
Kalliparai,,Tiruvannamalai,,12.64030,78.95196,,village
Kalpūndi,,Tiruvannamalai,,12.65162,79.34661,,village
Kambampettai,,Tiruvannamalai,,12.73413,79.13433,,village
Kammambattu,,Tiruvannamalai,,12.63569,79.00556,,village
Kanaganeri,,Tiruvannamalai,,12.61247,78.90306,,village
Kanigiluppai,,Tiruvannamalai,,12.68857,79.32927,,village
Kanji,,Tiruvannamalai,,12.38397,78.96170,காஞ்சி,village
Kannalamandai,,Tiruvannamalai,,12.54242,78.85252,,village
Kannamangalam,,Tiruvannamalai,,12.74988,79.15186,கண்ணமங்கலம்,town
Kannidagudisai,,Tiruvannamalai,,12.67485,79.18519,,village
Karunagarapattu,,Tiruvannamalai,,12.72294,79.28258,,village
Kattampundi,,Tiruvannamalai,,12.12152,79.07943,காட்டாம்பூண்டி,village
Katteri,,Tiruvannamalai,,12.67867,79.33758,,village
Keelasinipakkam,,Tiruvannamalai,,12.18187,79.01120,கீழ்சீனிபாக்கம்,village
Kilamarathūr,,Tiruvannamalai,,12.58347,78.90977,,village
Kilpennathur,,Tiruvannamalai,,12.24916,79.22233,கீழ் பெண்ணாத்தூர்,village
Kilsilambadi,,Tiruvannamalai,,12.52430,78.84512,,village
Kilūr,,Tiruvannamalai,,12.59247,78.90587,,village
Koilanūr,,Tiruvannamalai,,12.57157,78.92879,,village
Kolattūr,,Tiruvannamalai,,12.73410,79.14310,,village
Komattiyūr,,Tiruvannamalai,,12.60070,78.87928,,village
Konalur,,Tiruvannamalai,,12.16981,79.15428,கோணலூர்,village
Kondathur,,Tiruvannamalai,,12.74703,79.06976,,village
Konerikudisai,,Tiruvannamalai,,12.70281,78.99518,,village
Kongarampatti,,Tiruvannamalai,,12.74876,79.16418,,village
Koraimaduvu,,Tiruvannamalai,,12.68384,78.94701,,village
Kottakulam,,Tiruvannamalai,,12.27885,78.85635,கொட்டகுளம்,village
Kottavur,,Tiruvannamalai,,12.38011,78.76099,,village
Kovilandūr,,Tiruvannamalai,,12.66601,78.97749,,village
Kovilkollūr,,Tiruvannamalai,,12.50358,78.80347,,village
Kovilūr,,Tiruvannamalai,,12.66977,78.98968,,village
Krishnāpuram,,Tiruvannamalai,,12.76005,79.25149,,village
Kudisaikarai,,Tiruvannamalai,,12.68288,79.20898,,village
Kummulaūr,,Tiruvannamalai,,12.66048,78.98616,,village
