village,taluk,district,census_code,lat,lng,name_ta,place_type
A.D. Street,,Tiruvarur,,10.47557,79.49940,,village
AKS Nagar,,Tiruvarur,,10.46224,79.50508,,village
Aaiyankatti,,Tiruvarur,,10.58007,79.58547,,village
Aatkattuveli,,Tiruvarur,,10.46542,79.55673,,village
Abisegamangalam,,Tiruvarur,,10.94351,79.58331,,hamlet
Abivirthiswaram,,Tiruvarur,,10.79444,79.47499,,village
Achuthamangalam,,Tiruvarur,,10.88412,79.57986,,village
Achuthampettai,,Tiruvarur,,10.87923,79.64560,,village
Ad Street,,Tiruvarur,,10.61511,79.36650,,hamlet
Adambar,,Tiruvarur,,10.91211,79.57750,,village
Adanjavilagam,,Tiruvarur,,10.42092,79.58810,,village
Adhanur,,Tiruvarur,,10.61407,79.63310,,village
Adiceri,,Tiruvarur,,10.69588,79.32794,,village
Adichamangalam,,Tiruvarur,,10.88882,79.37619,,hamlet
Adichapuram,,Tiruvarur,,10.63575,79.54153,,village
Adipuliyur,,Tiruvarur,,10.88826,79.49324,,village
Adiputhucheri,,Tiruvarur,,10.77973,79.68038,,village
Adividangan,,Tiruvarur,,10.67660,79.61843,,hamlet
Adiyakkamangalam,,Tiruvarur,,10.76306,79.67744,அடியக்கமங்கலம்,village
Advangudy,,Tiruvarur,,10.82852,79.45206,,village
Aeirakkanni,,Tiruvarur,,10.41814,79.50685,,village
Agara pothakudi,,Tiruvarur,,10.74101,79.50684,,village
Agarakothangudi,,Tiruvarur,,10.97110,79.66171,,village
Agaramedu,,Tiruvarur,,10.98087,79.65103,,hamlet
Agaramkalappal,,Tiruvarur,,10.52820,79.54964,,hamlet
Agarapalaiyanur,,Tiruvarur,,10.70144,79.54764,,hamlet
Agarathirumalam,,Tiruvarur,,10.93366,79.67098,,village
Agarathirunallur,,Tiruvarur,,10.79422,79.59431,,village
Agaravayal,,Tiruvarur,,10.61069,79.61350,,hamlet
Agaravelugudi,,Tiruvarur,,10.71291,79.55129,,hamlet
Agraharam RNP,,Tiruvarur,,10.56847,79.47849,,hamlet
Agraharamsethi,,Tiruvarur,,10.49513,79.66579,,village
Agsavelli,,Tiruvarur,,10.80409,79.46915,,hamlet
Akkarai,,Tiruvarur,,10.57896,79.64022,,village
Akkaraikottagam,,Tiruvarur,,10.55594,79.54419,,hamlet
Akkaraipitchaipakkam,,Tiruvarur,,10.66224,79.65455,,hamlet
Akkarapadugai,,Tiruvarur,,10.81436,79.32528,,hamlet
Aladikaruppur,,Tiruvarur,,10.85308,79.44909,,hamlet
Alakulam,,Tiruvarur,,10.95100,79.69663,,village
Alangadu,,Tiruvarur,,10.41500,79.51609,,village
Alangal,,Tiruvarur,,10.57207,79.64325,,hamlet
Alangottai,,Tiruvarur,,10.62394,79.42185,,village
Alangudi,,Tiruvarur,,10.82990,79.40664,,village
Alathambadi,,Tiruvarur,,10.60236,79.65676,,village
Alathangudy,,Tiruvarur,,10.74712,79.52908,,village
Alathur,,Tiruvarur,,10.64095,79.59505,,hamlet
Alavai,,Tiruvarur,,10.74832,79.54336,,hamlet
Alivalam,,Tiruvarur,,10.74954,79.66172,,village
Allikulam,,Tiruvarur,,10.90181,79.55004,,hamlet
Amarabakam,,Tiruvarur,,10.70201,79.40119,,village
Amaravathi,,Tiruvarur,,10.84803,79.40183,,village
Ambachipuram,,Tiruvarur,,10.94574,79.53032,,hamlet
Ambalakaratheru,,Tiruvarur,,10.59912,79.41146,,village
Amirthavalli,,Tiruvarur,,10.85807,79.37152,,hamlet
Ammaiyappan,,Tiruvarur,,10.79181,79.56497,,village
Ammankulam,,Tiruvarur,,10.68639,79.34993,,hamlet
Ammanur,,Tiruvarur,,10.62988,79.64413,,village
Amoor,,Tiruvarur,,10.80013,79.71862,,hamlet
Anaikkuppam,,Tiruvarur,,10.84485,79.60410,,village
Anaikoil,,Tiruvarur,,10.81767,79.66506,,hamlet
Anaithenpathi,,Tiruvarur,,10.77144,79.57722,,hamlet
Anaivadapathi,,Tiruvarur,,10.78326,79.57884,,village
Anakudi,,Tiruvarur,,10.74198,79.59833,,hamlet
Anandampuliyur,,Tiruvarur,,10.93683,79.55582,,village
Anasthiyankulam,,Tiruvarur,,10.88557,79.50031,,village
Andakarai,,Tiruvarur,,10.62530,79.61429,,village
Andakudy,,Tiruvarur,,10.93883,79.67807,,village
Andankovil,,Tiruvarur,,10.88733,79.41030,,hamlet
Andarpanthi,,Tiruvarur,,10.94234,79.60028,,village
Andikulam,,Tiruvarur,,10.67566,79.43791,,hamlet
Andipalayam,,Tiruvarur,,10.76533,79.68486,,hamlet
Andiyur,,Tiruvarur,,10.87641,79.54386,,hamlet
Andoor,,Tiruvarur,,10.67168,79.55374,,hamlet
Angalamman kovil,,Tiruvarur,,10.51495,79.49652,,hamlet
Aniyamangalam,,Tiruvarur,,10.89192,79.35634,,village
Annanagar,,Tiruvarur,,10.65224,79.36648,,hamlet
Annathanapuram,,Tiruvarur,,11.00033,79.71070,,hamlet
Annavasal,,Tiruvarur,,10.73311,79.60330,,hamlet
Anniyur,,Tiruvarur,,10.96434,79.55925,,village
Annugudi,,Tiruvarur,,10.68060,79.56499,,village
Annukudi,,Tiruvarur,,10.73600,79.61727,,hamlet
Annukudy,,Tiruvarur,,10.92325,79.28005,,village
Anumanthankottagam,,Tiruvarur,,10.46727,79.59253,,hamlet
Anumanthapuram,,Tiruvarur,,10.76323,79.44382,,village
Apparasampettai,,Tiruvarur,,10.65620,79.38106,,village
Appiyanthiruvasal,,Tiruvarur,,10.51466,79.54547,,village
Apprakudi,,Tiruvarur,,10.63256,79.66401,,village
Aramankadu,,Tiruvarur,,10.39575,79.53906,,village
Arasadinatham,,Tiruvarur,,10.88072,79.56543,,hamlet
Arasamangalam,,Tiruvarur,,10.78263,79.44788,,hamlet
Arasavanangadu,,Tiruvarur,,10.82648,79.55477,,village
Arasur,,Tiruvarur,,10.57302,79.41297,,village
Aravathur,,Tiruvarur,,10.79091,79.43278,,village
Aravoor,,Tiruvarur,,10.78961,79.44164,,hamlet
Arichapuram,,Tiruvarur,,10.70828,79.47775,,village
Arikarai,,Tiruvarur,,10.48652,79.50431,,village
Arivalur,,Tiruvarur,,10.73312,79.58918,,hamlet
Arivizhimangalam,,Tiruvarur,,10.86737,79.52648,,village
Ariyalur,,Tiruvarur,,10.49491,79.55807,,village
Arphor,,Tiruvarur,,10.80195,79.50333,,village
Arrakkarai,,Tiruvarur,,10.55173,79.67915,,village
Arumbakulam,,Tiruvarur,,10.88832,79.57951,,hamlet
Asanagudi,,Tiruvarur,,10.99651,79.70177,,hamlet
Asanthakkam,,Tiruvarur,,10.96856,79.57398,,hamlet
Ashesham,,Tiruvarur,,10.64688,79.45658,,village
Asianagar,,Tiruvarur,,10.78438,79.61285,,hamlet
Athamangalam,,Tiruvarur,,10.81796,79.62165,,hamlet
Athankudy,,Tiruvarur,,10.73366,79.50220,,village
Athanoor Mandapam,,Tiruvarur,,10.77327,79.38278,,hamlet
Athanur,,Tiruvarur,,10.76956,79.37296,,village
Athicholamangalam,,Tiruvarur,,10.78557,79.53237,,village
Athikkadai,,Tiruvarur,,10.75005,79.50386,அத்திக்கடை,village
Athikkottai,,Tiruvarur,,10.62676,79.40509,,village
Athukottagam,,Tiruvarur,,10.53656,79.67441,,village
Athur,,Tiruvarur,,11.00751,79.69609,,hamlet
Attamangalam,,Tiruvarur,,10.86226,79.56506,,hamlet
Attrangarai street,,Tiruvarur,,10.55530,79.52223,,hamlet
Attur,,Tiruvarur,,10.53979,79.61528,,hamlet
Authur,,Tiruvarur,,10.70858,79.61697,,hamlet
Avalivanallur,,Tiruvarur,,10.83246,79.32819,,village
Avanam,,Tiruvarur,,10.88573,79.50881,,hamlet
Avoor,,Tiruvarur,,10.89765,79.32764,ஆவூர்,village
Avuchakkudy,,Tiruvarur,,10.90569,79.30344,,hamlet
Avudaithevankulam,,Tiruvarur,,10.50248,79.50861,,village
Avudaiyarnatham,,Tiruvarur,,10.88378,79.33533,,hamlet
Ayikudai,,Tiruvarur,,10.79857,79.53750,,village
Aykudy,,Tiruvarur,,10.74084,79.51055,,village
Ayyampettai,,Tiruvarur,,10.74248,79.35616,,village
Azhagiyanatham,,Tiruvarur,,10.51171,79.67417,,hamlet
Bagavathipuram,,Tiruvarur,,10.64489,79.46385,,village
Boothamangalam,,Tiruvarur,,10.72846,79.52731,பூதமங்கலம்,village
Chakkaramangalam,,Tiruvarur,,10.82120,79.61440,,hamlet
Chandrashekerapuram,,Tiruvarur,,10.89640,79.36082,,village
Chennakarakkottai,,Tiruvarur,,10.66663,79.35201,,hamlet
Chettichathiram,,Tiruvarur,,10.71236,79.37517,,village
Chettisimizhi,,Tiruvarur,,10.77637,79.50426,,village
Chettiyamoolai,,Tiruvarur,,10.59211,79.58126,,hamlet
Chidambara kottagam,,Tiruvarur,,10.61165,79.59048,,hamlet
Chinna Alathur,,Tiruvarur,,10.94841,79.63415,,hamlet
Chinna Kuruvadi,,Tiruvarur,,10.64668,79.56931,,hamlet
Chinna Manapparavai,,Tiruvarur,,10.86221,79.46432,,hamlet
Chinnagaram,,Tiruvarur,,10.87479,79.38130,,village
Chinnaserugudi,,Tiruvarur,,10.96448,79.58845,,hamlet
Chithiraiyur,,Tiruvarur,,10.68798,79.63456,,village
Chittilingam,,Tiruvarur,,10.80274,79.48403,,village
Cholacheri,,Tiruvarur,,10.76683,79.53762,,hamlet
Cholanganallur,,Tiruvarur,,10.81337,79.71990,,village
Cholankurichi,,Tiruvarur,,10.97105,79.72843,,village
Chothiriyam,,Tiruvarur,,10.71186,79.59516,,hamlet
Deepamangalam,,Tiruvarur,,10.83608,79.59766,,hamlet
Deepankudi,,Tiruvarur,,10.82945,79.55845,,village
Deevambalpuram,,Tiruvarur,,10.51142,79.67956,,village
Desingurajapuram,,Tiruvarur,,10.52592,79.67667,,village
Devadhanam,,Tiruvarur,,10.48855,79.53114,,village
Devangudi,,Tiruvarur,,10.72229,79.47086,,hamlet
Devarkandanallur,,Tiruvarur,,10.76179,79.59832,,village
Duraikudy,,Tiruvarur,,10.67868,79.63792,,hamlet
Durgai Koil,,Tiruvarur,,10.76185,79.53993,,hamlet
Easwaran Vasal,,Tiruvarur,,10.81484,79.67891,,hamlet
Eathakudi,,Tiruvarur,,10.60509,79.48767,,village
Edaannavasal,,Tiruvarur,,10.70019,79.37741,,village
Edachamoolai,,Tiruvarur,,10.51360,79.49349,,village
Edaiyur,,Tiruvarur,,10.47396,79.58536,எடையூர்,village
Edakeelayur,,Tiruvarur,,10.69822,79.38273,,village
Edamelaiyur west,,Tiruvarur,,10.70652,79.36167,,village
Edanadutheru,,Tiruvarur,,10.70131,79.36190,,village
Edayarkadu,,Tiruvarur,,10.46483,79.57495,,village
Edyarempathi,,Tiruvarur,,10.67549,79.40889,,village
Edyarnatham,,Tiruvarur,,10.62175,79.44925,,hamlet
Ekkal,,Tiruvarur,,10.46497,79.64488,,village
Ekkalkandakarayam,,Tiruvarur,,10.61879,79.51058,,village
Elagondan,,Tiruvarur,,10.72040,79.59635,,hamlet
Elaiyur,,Tiruvarur,,10.83532,79.46722,,village
Elakkanampettai,,Tiruvarur,,10.63693,79.45527,,village
Elamangalam,,Tiruvarur,,10.70393,79.59156,,hamlet
Elanagar,,Tiruvarur,,10.52708,79.59574,,hamlet
Elangaichery,,Tiruvarur,,10.73612,79.67127,,village
Elangudi,,Tiruvarur,,10.79027,79.57254,,village
Elanthavanacheri,,Tiruvarur,,10.83831,79.53705,,village
Elavalur,,Tiruvarur,,10.60393,79.64872,,village
Elavankarkudi,,Tiruvarur,,10.78340,79.61379,,village
Elavanoor,,Tiruvarur,,10.49277,79.46177,,village
Elummukkal,,Tiruvarur,,10.80651,79.69738,,village
Enakudi,,Tiruvarur,,10.95106,79.67205,,hamlet
Enamkiliyur,,Tiruvarur,,10.91874,79.31635,,village
Engan,,Tiruvarur,,10.81470,79.54278,,village
Enjal,,Tiruvarur,,10.67933,79.63441,,hamlet
Enjaladi,,Tiruvarur,,10.94574,79.55460,,hamlet
Eravancheri,,Tiruvarur,,10.93497,79.55817,,village
Eri,,Tiruvarur,,10.88731,79.30703,,hamlet
Erivelur,,Tiruvarur,,10.88552,79.29887,,village
Erumaipadugai,,Tiruvarur,,10.80399,79.38489,,village
Esanangudi,,Tiruvarur,,10.60182,79.56675,,hamlet
Ettiyalur,,Tiruvarur,,10.81792,79.59185,,village
Ex servicemen colony,,Tiruvarur,,10.38222,79.51929,,hamlet
Ezhilur,,Tiruvarur,,10.53729,79.59902,,village
Ganapathivilagam,,Tiruvarur,,10.94951,79.64434,,hamlet
Gandhi Nagar,,Tiruvarur,,10.47248,79.61954,,hamlet
Gopalasamuthram,,Tiruvarur,,10.43093,79.54343,,village
Govindakudy,,Tiruvarur,,10.90658,79.34382,கோவிந்தகுடி,village
Govinthachery,,Tiruvarur,,10.95820,79.66958,,hamlet
Gurusthanam,,Tiruvarur,,10.98356,79.68539,,hamlet
Harichandrapuram,,Tiruvarur,,10.70026,79.57790,,village
Haridwarmangalam,,Tiruvarur,,10.83127,79.35080,,village
Harijan Street,,Tiruvarur,,10.67713,79.56526,,hamlet
Idumbavanam,,Tiruvarur,,10.42151,79.59995,,village
Iluppur,,Tiruvarur,,10.65290,79.62298,,hamlet
Inniyanallur,,Tiruvarur,,10.86812,79.55854,,hamlet
Irukarai,,Tiruvarur,,10.81483,79.32774,,hamlet
Iveli,,Tiruvarur,,10.96009,79.58411,,hamlet
Jambuvanodai,,Tiruvarur,,10.39607,79.50254,,village
Jayangondanatharkovil,,Tiruvarur,,10.66869,79.48854,,village
Jeeva theru,,Tiruvarur,,10.73541,79.50406,,hamlet
Jeevappasamuthiram,,Tiruvarur,,10.89764,79.35767,,hamlet
Jeganathapuram,,Tiruvarur,,10.92338,79.60247,,village
Kadagakudi,,Tiruvarur,,10.94717,79.61987,,hamlet
Kadagam,,Tiruvarur,,10.97309,79.71206,,hamlet
Kadaitheru,,Tiruvarur,,10.57627,79.51094,,village
Kadalangudi,,Tiruvarur,,10.93082,79.50673,கடலங்குடி,village
Kadambagudi,,Tiruvarur,,10.71050,79.54691,,hamlet
Kadambakudi,,Tiruvarur,,10.92695,79.51101,,hamlet
Kadambankudi,,Tiruvarur,,10.76640,79.57398,,hamlet
Kadambavilagam,,Tiruvarur,,10.46173,79.64790,,hamlet
Kadhiramangalam,,Tiruvarur,,10.97615,79.69195,,village
Kadiachari,,Tiruvarur,,10.56508,79.61320,,village
Kadukkadu,,Tiruvarur,,10.61767,79.46989,,village
Kadukkakdu,,Tiruvarur,,10.59804,79.47620,,village
Kaduvagudi,,Tiruvarur,,10.57523,79.56813,,village
Kaduvakothamangalam,,Tiruvarur,,10.56740,79.57183,,hamlet
Kaduvangudi,,Tiruvarur,,10.98200,79.66525,,village
Kaduvangudy,,Tiruvarur,,10.70132,79.63627,,hamlet
Kaduveli,,Tiruvarur,,10.50494,79.57755,,village
Kaduvetti,,Tiruvarur,,11.01588,79.66776,,village
Kagam,,Tiruvarur,,10.62572,79.65939,,hamlet
Kailasanathan,,Tiruvarur,,10.66556,79.46721,,village
Kakaiyadi,,Tiruvarur,,10.69221,79.54957,,village
Kakkakottur,,Tiruvarur,,10.83562,79.63599,,hamlet
Kalacheri,,Tiruvarur,,10.74523,79.38184,,village
Kalakkudi,,Tiruvarur,,10.73450,79.63719,,village
Kalakudy,,Tiruvarur,,10.82083,79.34038,,hamlet
Kalancheri,,Tiruvarur,,10.91238,79.29289,,hamlet
Kalanchimedu,,Tiruvarur,,10.71113,79.41704,,village
Kalapalierupu,,Tiruvarur,,10.91932,79.61887,,hamlet
Kalathur,,Tiruvarur,,10.76066,79.48419,,village
Kalathur Melkarai,,Tiruvarur,,10.76019,79.46603,,village
