village,taluk,district,census_code,lat,lng,name_ta,place_type
Adukkamparai,,Vellore,,12.84544,79.13520,அடுக்கம்பாறை,town
Agaram,,Vellore,,12.82201,78.89068,,village
Agrahāram,,Vellore,,12.84500,78.89089,,village
Ahtiyur,,Vellore,,12.85979,79.05013,,village
Alinjikuppam,,Vellore,,12.83763,78.76118,,village
Alleri,,Vellore,,12.80917,78.99127,,village
Ambathkar Nagar,,Vellore,,12.93041,78.67604,,hamlet
Ammattampattu,,Vellore,,12.86053,78.80669,,village
Ammavaripalle,,Vellore,,13.08394,79.18854,,village
Anaikkattu,,Vellore,,12.87653,78.98711,,village
Appukallu,,Vellore,,12.86019,78.98799,,village
Aravatla,,Vellore,,12.99153,78.69130,,hamlet
Arimulai,,Vellore,,12.77895,78.84753,,village
Asanāmpattu,,Vellore,,12.70442,78.81163,,village
Attikuppam,,Vellore,,12.75298,78.86831,,village
Avularangayyapalle,,Vellore,,13.16732,79.23469,,hamlet
Balamudur,,Vellore,,13.07345,79.20057,,village
Balekuppam,,Vellore,,13.15276,79.23930,,hamlet
Basavankottayi,,Vellore,,12.84680,78.91670,,village
Basuvanāyanikuppam,,Vellore,,12.85243,78.88048,,village
Bathalapalli,,Vellore,,12.92974,78.68043,,village
Bharathi Nagar,,Vellore,,12.93247,78.68122,,hamlet
Bhimanadhapuram,,Vellore,,12.91411,78.97740,,village
Bodipettai,,Vellore,,12.81235,78.89765,,village
Bommarajakottai,,Vellore,,12.77238,78.92679,,village
Brammapuram,,Vellore,,12.96689,79.17014,பிரம்மாபுரம்,village
Brāhmanamangalam,,Vellore,,12.89319,78.92287,,village
Chamarasikuppam,,Vellore,,12.85651,78.77388,,village
Chinanūr,,Vellore,,12.71696,78.99086,,village
Chinnaanaikat,,Vellore,,12.87293,78.98812,,village
Chinnakottansatti,,Vellore,,12.73913,78.95782,,village
Chinnakottūr,,Vellore,,12.78013,78.93713,,village
Chinnakuppam,,Vellore,,12.85586,78.92724,,hamlet
Chinnaongapādi,,Vellore,,12.83189,78.94290,,village
Chinnapallikuppam,,Vellore,,12.76166,78.83510,,village
Chinnapanaparai,,Vellore,,12.69741,78.97226,,village
Chinnaserpadi,,Vellore,,12.75183,78.89598,,village
Chinnayettikuttai,,Vellore,,12.73410,78.98138,,village
Chinnaūnai,,Vellore,,12.87113,78.98097,,village
Chittāttūr,,Vellore,,12.91767,78.92175,,village
Chokkarasikuppam,,Vellore,,12.85411,78.77257,,village
Christianpet,,Vellore,,13.00936,79.12939,கிறிஸ்டியன்பேட்டை,village
Danakondapalli,,Vellore,,13.04784,78.85751,,village
Devisettikuppam,,Vellore,,12.84870,78.92512,,village
Edayakuppam,,Vellore,,13.10283,79.26346,,village
Edayankottayi,,Vellore,,12.79338,78.87425,,village
Edayapālaiyam,,Vellore,,12.88101,78.91930,,village
Ekalipapankottayi,,Vellore,,12.77441,78.83765,,hamlet
Elaitripūr,,Vellore,,12.86433,78.81660,,village
Ellaparai,,Vellore,,12.75977,78.98135,,village
Ellappapettai,,Vellore,,12.80850,78.89868,,village
Erayankādu,,Vellore,,12.92365,78.99932,,village
Eriputtūr,,Vellore,,12.85485,78.95843,,village
Erivūr,,Vellore,,12.75488,78.90992,,village
Erukkambattu,,Vellore,,13.09151,79.26566,,village
Genganellūr,,Vellore,,12.87451,78.99086,,village
Gengasānikuppam,,Vellore,,12.74513,78.89265,,village
Gollakottayi,,Vellore,,12.77447,78.84111,,village
Gollapalle,,Vellore,,13.02151,78.86689,,village
Gollavaripalli,,Vellore,,13.16179,79.23384,,hamlet
Govindambādi,,Vellore,,12.89845,78.92261,,village
Govindappankottayi,,Vellore,,12.84264,78.90743,,village
Gudiyatham,,Vellore,,12.94857,78.87053,குடியாத்தம்,town
Gurunāthpuram,,Vellore,,12.86897,78.80987,,village
Gururājapālaiyam,,Vellore,,12.79382,78.87794,,village
Hyderpuram,,Vellore,,12.92004,78.93458,,village
Jonūr,,Vellore,,12.67478,78.96157,,village
K N Palyam,,Vellore,,13.14826,79.21307,,hamlet
Kadalaikulam Village,,Vellore,,12.83546,78.88325,,village
Kakkeri,,Vellore,,13.09625,79.26249,,village
Kalanipākkam,,Vellore,,12.91614,78.97911,,village
Kallapadi,,Vellore,,12.99816,78.90867,,village
Kalluttai,,Vellore,,12.76359,78.89405,,village
Kallāpārai,,Vellore,,12.69473,78.80688,,village
Kammarapattu,,Vellore,,12.85333,78.77910,,village
Kandaneri,,Vellore,,12.91504,78.97383,,village
Kandapagavundankottayi,,Vellore,,12.78971,78.94196,,village
Kanikapuram,,Vellore,,13.11107,79.25535,,village
Kaniyambādi,,Vellore,,12.81182,79.13402,கணியம்பாடி,village
Kankāpuram,,Vellore,,12.86084,78.94011,,village
Karadikudi,,Vellore,,12.84653,78.92928,,village
Karnampattu,,Vellore,,12.96991,79.24193,,village
Karunkāli,,Vellore,,12.84954,78.89847,,village
Kattipattu,,Vellore,,12.71819,78.93677,,village
Kattārikuppam,,Vellore,,12.72822,78.88926,,village
Kavaliyūr,,Vellore,,12.74056,78.97695,,village
Kavanur,,Vellore,,12.94985,78.96236,,village
Kerakutti,,Vellore,,12.75783,78.89688,,village
Kilinthanpattarai,,Vellore,,13.10404,79.26275,,village
Kilkuppachchiyūr,,Vellore,,12.72175,78.96059,,village
Kilninjamanthai,,Vellore,,12.73796,78.97083,,village
Kodandaramapuram,,Vellore,,13.07500,79.19138,,hamlet
Kolandakavandan Kottāyi,,Vellore,,12.71417,78.87381,,village
Kommālānkuttai,,Vellore,,12.86826,78.92791,,village
Komuttikollai,,Vellore,,12.67342,78.86066,,hamlet
Kondamanayudu Palalyam,,Vellore,,13.15314,79.21706,,hamlet
Konerikavundankottayi,,Vellore,,12.76602,78.92132,,village
Konūr,,Vellore,,12.73168,78.97525,,village
Korathūr,,Vellore,,12.71018,78.94727,,village
Kottaiyūr,,Vellore,,12.87260,78.97779,,village
Kottamitta,,Vellore,,13.03739,78.85534,,village
Kottanattam,,Vellore,,13.07423,79.27357,,village
Krishnāpuram,,Vellore,,12.77213,78.83504,,village
Kuchipālaiyam,,Vellore,,12.85308,78.90995,,village
Kudikam,,Vellore,,12.68200,78.92591,,village
Kugaiyanallore,,Vellore,,13.12233,79.25278,,hamlet
Kulayam,,Vellore,,12.70478,79.02195,,village
Kulidikki,,Vellore,,12.86469,78.82246,,village
Kullamuniyan Kottāyi,,Vellore,,12.71440,78.88231,,hamlet
Kunrani,,Vellore,,12.74994,78.99612,,village
Kunukkanūr,,Vellore,,12.73119,78.95944,,village
Kuppampattu,,Vellore,,12.78180,78.87274,,village
Kuppampālaiyam,,Vellore,,12.76737,78.83574,,village
Kuppireddiyur,,Vellore,,13.11205,79.25752,,village
Kuranur,,Vellore,,12.71453,79.02455,,village
Kīlachchūr,,Vellore,,12.91111,78.94139,,village
Kīlkottūr,,Vellore,,12.79753,78.94449,,village
Kīlkrishnāpuram,,Vellore,,12.86892,78.91377,,village
Lachehkapālaiyam,,Vellore,,12.79906,78.88596,,village
Lakshmiambapuram,,Vellore,,12.86850,78.80379,,village
Lalasahebkottayi,,Vellore,,12.84139,78.90990,,village
Madaiyapattu,,Vellore,,12.75257,78.88218,,hamlet
Madandakuppam,,Vellore,,13.11717,79.25459,,village
Madandakuppam Kattur,,Vellore,,13.11498,79.24392,,village
Maladipālaiyam,,Vellore,,12.81379,78.90050,,village
Mangalam,,Vellore,,12.86494,78.92507,,village
Marattipālaiyam,,Vellore,,12.80555,78.88654,,village
Mattedipalle,,Vellore,,13.04647,78.86308,,village
Melarasampattu,,Vellore,,12.68673,78.87735,,village
Melkuppāchchiyūr,,Vellore,,12.72400,78.95468,,village
Melmurungi,,Vellore,,12.84789,78.77450,,village
Melninjamanthai,,Vellore,,12.74078,78.96957,,village
Melpadi,,Vellore,,13.06284,79.27839,,village
Melpallipattu,,Vellore,,12.73971,78.83025,,village
Melpatti,,Vellore,,12.86073,78.79266,,village
Melpudukuppam,,Vellore,,12.72941,78.94480,,hamlet
Melvayattanankuppam,,Vellore,,12.84959,78.77549,,village
Modikuppam,,Vellore,,13.03009,78.86428,,village
Mottur,,Vellore,,13.01290,78.86740,,village
Mottūr,,Vellore,,12.89002,78.97757,,village
Muhammadupuram,,Vellore,,12.83321,78.90061,,village
Mukkundram,,Vellore,,12.98749,78.85579,,village
Mullavadi,,Vellore,,12.68718,78.90303,,village
Munisāmināyakkan Kottāyi,,Vellore,,12.71675,78.88257,,village
Muthankudisai,,Vellore,,12.74570,78.97251,,village
Mutharasikuppam,,Vellore,,13.03971,79.19616,,village
Mūlanūi,,Vellore,,12.72818,78.96786,,village
Nadumpālaiyam,,Vellore,,12.78196,78.85519,,village
Nareamaduvu,,Vellore,,12.72563,78.96210,,village
Nekkini,,Vellore,,12.72837,79.01380,,village
Nemandapuram,,Vellore,,12.75963,78.87426,,village
Nāgarājakuttai,,Vellore,,12.81841,78.90271,,hamlet
Nārāyanapuram,,Vellore,,12.86446,78.96524,,village
Nāyakkanūr,,Vellore,,12.74875,78.96701,,village
Odiyattūr,,Vellore,,12.86686,78.92833,,village
Odugattūr,,Vellore,,12.76793,78.88304,,village
Oletikandigal,,Vellore,,13.08294,79.19933,,village
Omyamapattu,,Vellore,,12.71993,78.88724,,village
Ondiguruvarājapālaiyam,,Vellore,,12.75756,78.86667,,hamlet
Ongapādi,,Vellore,,12.82351,78.94605,,village
Ontiyur,,Vellore,,13.15810,79.24058,,hamlet
Otteripalaiyam,,Vellore,,12.76629,78.87007,,village
Palandūr,,Vellore,,12.71596,78.94687,,hamlet
Pallathūr,,Vellore,,12.89096,78.98293,,village
Pallikonda,,Vellore,,12.90549,78.94094,பள்ளிகொண்டை,town
Paradarami,,Vellore,,13.06671,78.97371,பரதராமி,village
Paramasathu,,Vellore,,13.13367,79.24049,,village
Pelampattu,,Vellore,,12.71298,78.99960,,village
Periakattupadi,,Vellore,,12.88239,78.92842,,village
Periyakottansetti,,Vellore,,12.73544,78.95063,,village
Periyapanaparai,,Vellore,,12.68859,78.96125,,village
Periyayettipatti,,Vellore,,12.73163,78.97318,,village
