village,taluk,district,census_code,lat,lng,name_ta,place_type
Alampoondi,,Villupuram,,12.24770,79.33782,,village
Anathur,,Villupuram,,11.81552,79.47202,ஆனத்தூர்,village
Anumandai,,Villupuram,,12.13038,79.91122,அனுமந்தை,village
Anumanthai Kuppam,,Villupuram,,12.12091,79.91900,,village
Appampattu,,Villupuram,,12.21340,79.41695,,village
Arakandanallur,,Villupuram,,11.97457,79.22252,அரகண்டநல்லூர்,village
Arasur,,Villupuram,,11.83502,79.42822,அரசூர்,village
Auroville,,Villupuram,,12.00739,79.80995,ஆரோவில்,town
Avalurpet,,Villupuram,,12.33714,79.24105,அவலூர்பேட்டை,village
Ayandur,,Villupuram,,11.96588,79.33975,ஆயந்தூர்,village
Bharath Nagar,,Villupuram,,11.82662,79.42564,,village
Bommayapalayam,,Villupuram,,11.99245,79.85051,பொம்மயபாளையம்,village
Brahmadesam,,Villupuram,,12.11769,79.48060,,village
Brammadesam,,Villupuram,,12.11938,79.48649,,village
Chendur,,Villupuram,,12.12291,79.58543,செண்டுர்,village
Chettinagar,,Villupuram,,12.10203,79.90536,,village
Chinna Mudaliar Chavadi,,Villupuram,,11.97780,79.84401,சின்ன முதலியார் சாவடி,village
Chinnanerkunam,,Villupuram,,12.14506,79.59051,,village
Deevanur,,Villupuram,,12.25209,79.55672,தீவனூர்,village
Devanur,,Villupuram,,11.97874,79.21106,,hamlet
E.Mandagapattu,,Villupuram,,12.10754,79.46039,,village
Echchanguppam,,Villupuram,,12.10969,79.47340,,village
Edayanchavadi,,Villupuram,,11.99407,79.80349,இடையன்சாவடி,village
Ekkiar Kuppam,,Villupuram,,12.18367,79.96003,,village
Ennayiram,,Villupuram,,12.12427,79.49148,,village
Esalam,,Villupuram,,12.11013,79.50204,,village
Gengavaram,,Villupuram,,12.15001,79.33108,கெங்கவரம்,village
Gingee,,Villupuram,,12.25442,79.41578,செஞ்சி,town
Irumbai,,Villupuram,,12.00662,79.78722,இரும்பை,village
Kandachipuram,,Villupuram,,12.03542,79.29896,கண்டாச்சிபுரம்,village
Kandamangalam,,Villupuram,,11.91602,79.68690,கண்டமங்கலம்,village
Kedar,,Villupuram,,12.00984,79.40625,,village
Keelpettai,,Villupuram,,12.13561,79.92878,,village
Kiliyanur,,Villupuram,,12.10581,79.74596,கிளியனூர்,village
Kilputhupattu,,Villupuram,,12.05609,79.87456,கீழ்புத்துப்பட்டு,village
Kolliyanur,,Villupuram,,11.92675,79.55072,கோலியனூர்,village
Kondur,,Villupuram,,11.86761,79.67517,கோண்டூர்,village
Koonimedu,,Villupuram,,12.08858,79.89171,கூனிமேடு,village
Kotamedu,,Villupuram,,11.97277,79.83957,கோட்டமேடு,village
Kottakarai,,Villupuram,,12.01290,79.79654,கோட்டைக்கரை,village
Kottakuppam,,Villupuram,,11.96766,79.83783,கோட்டக்குப்பம்,town
Kuilapalayam,,Villupuram,,11.98992,79.83225,குயிலாப்பாளையம்,village
Kuladeepamangalam,,Villupuram,,11.97861,79.18588,,hamlet
Kutteripattu,,Villupuram,,12.15491,79.60650,கூட்டேரிப்பட்டு,village
Mailam,,Villupuram,,12.12755,79.61860,மயிலம்,village
Mambalapattu,,Villupuram,,11.95695,79.37353,மாம்பழப்பட்டு,village
Manampoondi,,Villupuram,,11.97709,79.20296,மணம்பூண்டி,village
Marakkanam,,Villupuram,,12.19593,79.94418,மரக்காணம்,town
Melmalaiyanur,,Villupuram,,12.34104,79.32645,மேல்மலையனூர்,village
Morattandi,,Villupuram,,11.97933,79.78730,மொரட்டாண்டி,village
Mudailar Kuppam,,Villupuram,,12.06338,79.88230,முதலியார்குப்பம்,village
Mugaiyur,,Villupuram,,11.97603,79.30959,முகையூர்,village
Mundiyambakkam,,Villupuram,,11.99816,79.51550,முண்டியம்பாக்கம்,village
Murukkeri,,Villupuram,,12.20326,79.84078,முருக்கேரி,village
Muttatur,,Villupuram,,12.11335,79.44540,,village
Nayampadi,,Villupuram,,12.22843,79.32724,,village
Nedi,,Villupuram,,12.12627,79.57380,நெடி,village
Nedimoliyanur,,Villupuram,,12.14040,79.55937,நெடிமோழியனூர்,village
Nemur,,Villupuram,,12.09723,79.45230,,village
Ongur,,Villupuram,,12.32777,79.77833,ஓங்கூர்,village
Ottampattu,,Villupuram,,12.15424,79.42855,,hamlet
Pachinamedu,,Villupuram,,12.09635,79.89946,,village
Pakkam,,Villupuram,,11.86066,79.68409,பாக்கம்,village
Palappattu,,Villupuram,,12.11377,79.57149,பலப்பட்டு,village
Pallapattu,,Villupuram,,12.17576,79.42728,,hamlet
Pallinaliyanur,,Villupuram,,11.90747,79.64899,பள்ளினலியனூர்,village
Pallithennal,,Villupuram,,11.90150,79.72474,பள்ளித்தென்னல்,village
Panayapuram,,Villupuram,,12.00818,79.53532,பனையபுரம்,village
Panjamadevi,,Villupuram,,11.87263,79.54983,பஞ்சமாதேவி,village
Periya Mudaliar Chavadi,,Villupuram,,11.98295,79.84666,பெரிய முதலியார் சாவடி,village
Periyathachur,,Villupuram,,12.10819,79.52681,,village
Pidaripattu,,Villupuram,,12.13483,79.49991,,village
Radhapuram,,Villupuram,,12.00111,79.58567,இராதாபுரம்,village
Ranganathapuram,,Villupuram,,12.04537,79.70686,ரங்கநாதபுரம்,village
Saram,,Villupuram,,12.28271,79.70703,சாரம்,village
Soolayuthamman,,Villupuram,,12.07557,79.88959,,village
Surapattu,,Villupuram,,12.00643,79.43143,,village
Thirunandipuram,,Villupuram,,12.12624,79.49095,,village
Thiruvennainalur,,Villupuram,,11.86516,79.36744,திருவெண்ணைநல்லூர்,village
Thumbur,,Villupuram,,12.02245,79.47633,,hamlet
Tindivanam,,Villupuram,,12.22617,79.65150,திண்டிவனம்,town
Tiruchitrambalam,,Villupuram,,11.99633,79.77856,திருச்சிற்றம்பலம்,village
Valavanur,,Villupuram,,11.92050,79.57767,வளவனூர்,village
Valudavur,,Villupuram,,11.97864,79.69744,வழுதாவூர்,village
Vanur,,Villupuram,,12.02445,79.72643,வானூர்,village
Vazapattu,,Villupuram,,12.00370,79.42080,வாழப்பட்டு,village
Veerangipuram,,Villupuram,,12.03093,79.35148,வீராங்கிப்புரம்,village
Veerapandi,,Villupuram,,12.04777,79.21499,வீரபாண்டி,village
Velangampadi,,Villupuram,,12.13571,79.59202,,village
Vikravandi,,Villupuram,,12.03738,79.54356,விக்கிரவாண்டி,town
Viluppuram,,Villupuram,,11.94259,79.49506,விழுப்புரம்,town
