village,taluk,district,census_code,lat,lng,name_ta,place_type
A. Muthulingapuram,,Virudhunagar,,9.45861,77.59369,,village
A. Thulukkapatti,,Virudhunagar,,9.44116,77.75892,,village
Achanthavilthan,,Virudhunagar,,9.43610,77.66518,,village
Akkaraipatti,,Virudhunagar,,9.45083,77.86017,,village
Alagapuri,,Virudhunagar,,9.40943,77.62107,,village
Alamarathupatti,,Virudhunagar,,9.47360,77.83977,,village
Alangulam,,Virudhunagar,,9.36440,77.67649,ஆலங்குளம்,village
Alathur,,Virudhunagar,,9.48947,77.66755,,village
Amathur,,Virudhunagar,,9.56212,77.85882,ஆமத்தூர்,village
Ammaiyappapuram,,Virudhunagar,,9.38790,77.51348,அம்மையப்பபுரம்,village
Ammankovilpatti,,Virudhunagar,,9.40821,77.61390,,village
Anaikulam,,Virudhunagar,,9.48343,78.29561,ஆனைகுளம்,village
Anaiyur,,Virudhunagar,,9.44828,77.76755,,village
Appaiyanayakkanpatti,,Virudhunagar,,9.29085,77.67392,அப்பையநாயக்கன்பட்டி,village
Appayanaickenpatti,,Virudhunagar,,9.48299,77.67243,,village
Arjunapuram,,Virudhunagar,,9.46998,77.99449,,village
Aruppukkottai,,Virudhunagar,,9.50732,78.09590,அருப்புக்கோட்டை,town
Attipatti,,Virudhunagar,,9.49510,78.12778,,village
Auttupannai,,Virudhunagar,,9.52568,77.59217,,hamlet
Avarangulam,,Virudhunagar,,9.72858,78.20502,,village
Avudaiyapuram,,Virudhunagar,,9.44331,77.95350,,village
Ayan Nachiyarkoil,,Virudhunagar,,9.46125,77.65474,,village
Ayankollankondan,,Virudhunagar,,9.40590,77.51922,அயன்கொல்லங்கொண்டான்,village
Ayyampatti,,Virudhunagar,,9.45552,77.76607,,village
Ayyanar koil,,Virudhunagar,,9.51067,77.45657,ஐயனார் கோயில்,hamlet
Chandragiripuram,,Virudhunagar,,9.59942,77.91613,,village
Chatrapatti,,Virudhunagar,,9.41500,77.59430,சத்திரப்பட்டி,village
Chatthirareddiapatti,,Virudhunagar,,9.62543,77.96647,,village
Chinna Kattangudi,,Virudhunagar,,9.55623,78.12794,,village
Chinna Maruluttu,,Virudhunagar,,9.52104,77.94692,,village
Chinna Perali,,Virudhunagar,,9.62347,77.98478,,village
Chinna Valaiyapatti,,Virudhunagar,,9.45507,77.98243,,village
Chinnachittuloti,,Virudhunagar,,9.63114,77.76653,,village
Chinnaiyapuram,,Virudhunagar,,9.44334,77.98250,,village
Chinnamuppanpatti,,Virudhunagar,,9.60645,77.93943,,village
Chinnapottalpatti,,Virudhunagar,,9.43451,77.75542,சின்னபொட்டல்பட்டி,village
Chokkalingapuram,,Virudhunagar,,9.47686,77.98033,,village
Chokkanathaputhur,,Virudhunagar,,9.35042,77.46294,சொக்கநாதபுத்தூர்,village
Cholapuram,,Virudhunagar,,9.36061,77.56104,சோழபுரம்,village
Desigapuram,,Virudhunagar,,9.38634,77.55378,,hamlet
Devadhanam,,Virudhunagar,,9.38655,77.46293,தேவதானம்,village
Dhalavaipuram,,Virudhunagar,,9.39255,77.49514,தளவாய்புரம்,village
Elakaipatti,,Virudhunagar,,9.61114,77.90025,,village
Ellinganayakkanpatti,,Virudhunagar,,9.62963,77.86815,,village
Eralanpatti,,Virudhunagar,,9.47594,77.95540,,village
Erichanatham,,Virudhunagar,,9.63106,77.81728,எரிச்சநத்தம்,village
Ettunayakkanpatti,,Virudhunagar,,9.49550,77.93990,,village
Etturvattam,,Virudhunagar,,9.39362,77.91163,எட்டூர்வட்டம்,village
Ganapathi Sundara Natchiyarpuram,,Virudhunagar,,9.43440,77.50492,,village
Gandhi nagar,,Virudhunagar,,9.38818,77.54547,,hamlet
Gopalapuram,,Virudhunagar,,9.54635,78.08999,,village
Guhanparai,,Virudhunagar,,9.28613,77.74578,குஹன்பாறை,village
Gurumurtinayakkanpatti,,Virudhunagar,,9.55057,77.85834,குருமூர்த்திநாயக்கன்பட்டி,village
Idayankulam,,Virudhunagar,,9.48808,77.58546,இடையன்குளம்,village
Ilanthiraikondan,,Virudhunagar,,9.38177,77.52793,இளந்திரைகொண்டான்,village
Inam Nachiarkoil,,Virudhunagar,,9.49673,77.65775,,village
Inamkarisalkulam,,Virudhunagar,,9.48136,77.62509,,hamlet
J.J. Nagar,,Virudhunagar,,9.39097,77.62932,,hamlet
K. Thottiapatti,,Virudhunagar,,9.46415,77.58300,,village
Kadukondan,,Virudhunagar,,9.58696,78.29596,,village
Kakkivadanpatti,,Virudhunagar,,9.40241,77.72042,காக்கிவாடன்பட்டி,village
Kalangaperi,,Virudhunagar,,9.43115,77.58466,கலங்காப்பேரி,village
Kalangaperipudhur,,Virudhunagar,,9.43665,77.58998,கலங்காப்பேரிபுதூர்,village
Kalattupatti,,Virudhunagar,,9.55274,78.12133,,village
Kalavasal,,Virudhunagar,,9.37814,77.65217,காளவாசல்,village
Kalkuruchi,,Virudhunagar,,9.60324,78.09726,கல்குறுச்சி,village
Kalloorani,,Virudhunagar,,9.46985,78.16256,கல்லூரணி,village
Kammapatti,,Virudhunagar,,9.44440,77.58434,,hamlet
Kanjampatti,,Virudhunagar,,9.36353,78.20663,,village
Kannarpatti,,Virudhunagar,,9.46342,77.62228,,hamlet
Kannithevanpatti,,Virudhunagar,,9.38161,77.62898,,village
