village,taluk,district,census_code,lat,lng,name_ta
Villupuram,Villupuram,Villupuram,607001,11.9398,79.4947,விழுப்புரம்
Tindivanam,Tindivanam,Villupuram,607002,12.2343,79.6554,திண்டிவனம்
Gingee,Gingee,Villupuram,607003,12.2523,79.4173,செஞ்சி
Vanur,Gingee,Villupuram,607004,12.0025,79.6638,வானூர்
Ulundurpet,Ulundurpet,Villupuram,607005,11.6997,79.3049,உளுந்தூர்பேட்டை
Tirukoilur,Tirukoilur,Villupuram,607006,11.9694,79.2045,திருக்கோவிலூர்
Marakkanam,Marakkanam,Villupuram,607007,12.2062,79.9488,மரக்காணம்
Vikravandi,Vikravandi,Villupuram,607008,12.0345,79.5440,விக்கிரவாண்டி
Koliyanur,Tindivanam,Villupuram,607009,11.9950,79.6146,கொளியனூர்
Mugaiyur,Villupuram,Villupuram,607010,11.9144,79.2877,முகையூர்
